Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1989,atl,2,1,1,0,0,1,1,1,1,0,1,1,10
1989,buf,0,0,1,1,1,1,2,0,1,1,1,1,10
1989,chi,2,2,1,1,2,0,2,2,2,2,2,2,20
1989,cin,0,2,1,2,1,1,1,1,1,2,1,1,14
1989,cle,1,1,0,1,2,1,1,1,0,1,1,1,11
1989,clt,1,0,1,1,0,1,2,1,1,1,1,2,12
1989,dal,1,2,2,1,3,0,1,1,1,1,1,1,15
1989,den,1,2,1,1,1,1,1,1,2,1,1,1,14
1989,det,1,1,1,1,1,1,1,1,1,1,1,1,12
1989,gnb,1,0,2,1,2,1,1,2,1,1,1,1,14
1989,hou,1,1,1,1,1,1,1,1,1,1,1,1,12
1989,kan,1,1,1,1,0,1,1,2,1,1,1,1,12
1989,lac,1,2,0,0,1,0,2,1,1,1,1,0,10
1989,mia,2,0,0,1,1,1,1,1,1,2,1,1,12
1989,min,0,1,1,1,0,1,1,1,0,0,1,2,9
1989,nor,1,1,1,1,1,1,1,1,1,1,1,1,12
1989,nwe,1,1,2,2,0,1,1,2,2,1,1,1,15
1989,nyg,1,0,2,2,1,1,1,1,1,1,1,1,13
1989,nyj,1,1,1,1,1,2,1,1,1,1,1,1,13
1989,phi,0,1,2,0,0,1,0,0,0,0,0,0,4
1989,pho,2,1,1,1,2,1,1,1,1,1,1,1,14
1989,pit,2,1,1,1,1,1,1,1,1,1,1,1,13
1989,rai,0,0,0,0,0,2,0,1,1,1,0,0,5
1989,ram,2,3,1,1,1,2,1,1,1,1,0,0,14
1989,sea,1,1,1,2,0,0,1,1,1,1,1,1,11
1989,sfo,1,1,1,1,1,1,0,0,1,1,2,1,11
1989,tam,1,1,0,1,1,2,0,1,1,1,3,1,13
1989,was,0,0,1,1,2,1,1,0,1,1,0,2,10
