Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1981,atl,1,1,1,1,1,1,0,1,1,1,1,1,11
1981,bal,2,0,1,1,0,1,1,2,1,2,1,1,13
1981,buf,1,2,2,0,1,1,1,0,1,1,1,1,12
1981,chi,1,1,1,1,0,1,1,1,1,1,1,1,11
1981,cin,1,1,1,1,1,1,1,1,2,1,1,1,13
1981,cle,1,0,0,1,1,1,1,0,1,1,1,1,9
1981,dal,1,1,1,2,1,1,2,1,1,1,1,1,14
1981,den,1,1,0,1,1,1,1,0,1,0,1,2,10
1981,det,1,1,1,1,1,1,1,1,2,1,1,0,12
1981,gnb,1,1,1,1,1,0,1,1,1,1,1,1,11
1981,hou,0,0,1,1,1,1,1,1,1,1,1,1,10
1981,kan,1,1,3,1,1,1,1,1,1,1,1,1,14
1981,lac,1,0,1,2,1,2,1,0,0,1,2,1,12
1981,mia,1,1,0,2,2,2,1,1,1,1,1,1,14
1981,min,0,3,1,1,1,0,1,1,0,1,1,1,11
1981,nor,1,2,2,0,2,3,1,2,1,1,1,1,17
1981,nwe,1,1,0,1,1,1,1,2,0,0,1,1,10
1981,nyg,1,1,1,1,1,2,1,3,1,1,0,1,14
1981,nyj,1,1,1,1,1,1,1,2,1,1,1,1,13
1981,phi,1,1,1,1,0,0,2,0,1,1,1,1,10
1981,pit,1,1,1,1,1,1,1,1,1,1,1,0,11
1981,rai,2,1,0,1,1,0,0,0,1,1,1,1,9
1981,ram,2,2,3,2,1,2,3,2,2,3,2,2,26
1981,sea,1,1,1,1,1,1,2,1,2,1,1,1,14
1981,sfo,1,2,1,0,2,1,0,1,0,0,1,2,11
1981,tam,1,1,0,1,0,0,0,1,1,1,1,1,8
1981,was,1,0,1,1,2,1,0,1,1,2,1,1,12
