Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1992,atl,2,1,1,1,0,1,1,2,1,1,1,0,12
1992,buf,1,1,1,1,1,1,1,1,1,1,1,1,12
1992,chi,1,1,1,1,1,1,1,0,1,1,1,1,11
1992,cin,2,1,1,1,1,1,1,1,1,1,1,1,13
1992,cle,1,1,2,0,0,2,1,0,1,1,1,2,12
1992,clt,2,1,0,2,1,1,1,2,1,1,0,1,13
1992,dal,2,2,2,1,2,1,0,0,2,1,1,1,15
1992,den,1,1,0,1,1,0,3,1,1,1,1,1,12
1992,det,1,2,1,0,0,1,0,1,0,0,1,0,7
1992,gnb,1,1,1,1,2,1,1,0,2,1,1,1,13
1992,hou,0,1,1,1,3,1,1,1,1,1,1,1,13
1992,kan,1,1,0,1,0,1,1,1,1,1,1,1,10
1992,lac,1,1,1,0,3,1,1,1,1,1,1,1,13
1992,mia,2,1,1,1,1,1,1,1,1,1,2,2,15
1992,min,0,1,0,1,1,1,1,1,2,1,1,1,11
1992,nor,1,0,1,2,1,1,0,1,1,1,1,1,11
1992,nwe,1,1,2,2,1,1,2,2,1,2,1,1,17
1992,nyg,1,1,1,1,1,1,1,1,1,1,1,1,12
1992,nyj,1,1,1,1,1,2,0,1,0,1,1,0,10
1992,phi,0,1,1,2,1,1,1,1,1,1,1,1,12
1992,pho,0,1,1,2,0,1,1,1,2,1,1,1,12
1992,pit,1,1,1,1,1,0,2,3,1,1,1,1,14
1992,rai,1,1,0,0,1,1,2,0,0,1,0,1,8
1992,ram,1,1,2,1,1,1,1,1,1,1,2,1,14
1992,sea,1,0,1,0,1,1,1,1,1,1,1,2,11
1992,sfo,1,1,1,1,0,1,0,0,1,1,1,1,9
1992,tam,0,1,2,1,2,1,1,2,0,1,1,1,13
1992,was,1,1,1,1,0,1,1,1,1,1,1,1,11
