Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1987,atl,1,1,0,1,1,1,1,1,1,1,1,1,11
1987,buf,1,2,2,1,0,0,1,1,1,0,1,1,11
1987,chi,1,1,0,1,2,1,1,1,1,1,1,1,12
1987,cin,1,1,2,1,2,1,1,1,1,1,1,1,14
1987,cle,1,1,2,0,0,1,0,1,0,1,1,0,8
1987,clt,1,0,1,1,1,1,1,1,1,1,1,1,11
1987,dal,1,1,1,1,1,1,1,1,1,1,1,1,12
1987,den,1,0,1,1,0,1,1,1,1,1,2,1,11
1987,det,1,0,1,1,0,1,1,1,1,1,1,1,10
1987,gnb,1,1,3,1,0,1,2,1,1,1,1,1,14
1987,hou,2,1,1,1,1,2,1,1,1,1,1,1,14
1987,kan,1,1,1,0,1,0,1,1,1,1,1,1,10
1987,lac,1,1,1,1,1,0,1,2,1,1,1,1,12
1987,mia,1,2,0,1,1,1,1,2,1,1,1,1,13
1987,min,1,1,1,1,0,1,0,1,1,1,1,1,10
1987,nor,1,1,1,1,1,1,1,1,1,1,1,1,12
1987,nwe,1,0,1,3,2,1,0,0,0,0,1,1,10
1987,nyg,1,1,1,1,1,2,0,1,2,1,1,2,14
1987,nyj,1,1,1,0,1,1,1,2,1,1,1,1,12
1987,phi,1,0,1,1,1,2,1,0,1,1,0,1,10
1987,pit,1,1,1,1,1,2,1,1,1,1,1,1,13
1987,rai,1,1,1,1,0,0,1,0,1,3,2,0,11
1987,ram,1,2,3,3,4,2,2,2,2,2,1,2,26
1987,sea,1,1,0,1,2,0,2,1,1,1,1,2,13
1987,sfo,2,1,0,0,1,1,1,1,1,1,1,0,10
1987,tam,1,3,1,3,2,1,2,1,2,1,1,2,20
1987,was,0,2,0,0,1,2,1,1,1,1,1,1,11
