Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Shaun Hill,30,5,10,"257 for 416, 2,686 yards, 16 td, 12 int, & 22 rushes for 123 yards and 0 td",,Starters_1,DET,2010,2025-08-15 19:09:46
RB,Jahvid Best,21,Rook,9,"171 rushes for 555 yards, 4 td, & 58 catches for 487 yards and 2 td",,Starters_1,DET,2010,2025-08-15 19:09:46
RB,Maurice Morris,31,8,7,"90 rushes for 336 yards, 5 td, & 25 catches for 170 yards and 0 td",,Starters_1,DET,2010,2025-08-15 19:09:46
WR,Nate Burleson,29,7,14,"55 catches for 625 yards, 6 td, & 7 rushes for 81 yards and 0 td",,Starters_1,DET,2010,2025-08-15 19:09:46
WR,Calvin Johnson*,25,3,15,"77 catches for 1,120 yards, 12 td, & 4 rushes for 32 yards and 0 td",,Starters_1,DET,2010,2025-08-15 19:09:46
TE,Brandon Pettigrew,25,1,16,"71 catches for 722 yards, 4 td",,Starters_1,DET,2010,2025-08-15 19:09:46
LT,Jeff Backus,33,9,16,1 fumble recovered,,Starters_1,DET,2010,2025-08-15 19:09:46
LG,Rob Sims,27,4,16,,,Starters_1,DET,2010,2025-08-15 19:09:46
C,Dominic Raiola,32,9,16,1 fumble recovered,,Starters_1,DET,2010,2025-08-15 19:09:46
RG,Stephen Peterman,28,5,16,,,Starters_1,DET,2010,2025-08-15 19:09:46
RT,Gosder Cherilus,26,2,12,,,Starters_1,DET,2010,2025-08-15 19:09:46
LDE,Cliff Avril,24,2,13,"8.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
LDT,Ndamukong Suh*+,23,Rook,16,"10.0 sacks, 1 interception, 1 fumble recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
RDT,Corey Williams,30,6,16,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
RDE,Kyle Vanden Bosch,32,9,11,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
LLB,Landon Johnson,29,6,8,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
MLB,DeAndre Levy,23,1,11,"0.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
RLB,Julian Peterson,32,10,14,"1.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
LCB,Chris Houston,26,3,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
RCB,Alphonso Smith,25,1,10,"0.0 sacks, 5 interceptions, 1 fumble recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
SS,Amari Spievey,22,Rook,9,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
FS,Louis Delmas,23,1,15,"2.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,DET,2010,2025-08-15 19:09:46
