Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Tom Brady,42,19,16,"373 for 613, 4,057 yards, 24 td, 8 int, & 26 rushes for 34 yards and 3 td",,Starters_1,NWE,2019,2025-08-15 19:25:10
RB,Sony Michel,24,1,14,"247 rushes for 912 yards, 7 td, & 12 catches for 94 yards and 0 td",,Starters_1,NWE,2019,2025-08-15 19:25:10
FB,Jakob Johnson,25,1,3,"0 rushes for yards, 0 td, & 1 catch for 5 yards and 0 td",,Starters_1,NWE,2019,2025-08-15 19:25:10
WR,Julian Edelman,33,10,13,"100 catches for 1,117 yards, 6 td, & 8 rushes for 27 yards and 0 td",,Starters_1,NWE,2019,2025-08-15 19:25:10
WR,Josh Gordon,28,7,6,"20 catches for 287 yards, 1 td, & 1 rush for 1 yards and 0 td",,Starters_1,NWE,2019,2025-08-15 19:25:10
TE,Matt LaCosse,27,4,8,"13 catches for 131 yards, 1 td",,Starters_1,NWE,2019,2025-08-15 19:25:10
LT,Isaiah Wynn,24,1,8,,,Starters_1,NWE,2019,2025-08-15 19:25:10
LG,Joe Thuney,27,3,16,,,Starters_1,NWE,2019,2025-08-15 19:25:10
C,Ted Karras,26,3,15,,,Starters_1,NWE,2019,2025-08-15 19:25:10
RG,Shaq Mason,26,4,15,,,Starters_1,NWE,2019,2025-08-15 19:25:10
RT,Marcus Cannon,31,8,15,,,Starters_1,NWE,2019,2025-08-15 19:25:10
LDE,Lawrence Guy,29,7,16,"3.0 sacks, 1 interception, 2 fumbles recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
LDT,Danny Shelton,26,4,14,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
RDE,John Simon,29,6,12,"4.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
LLB,Jamie Collins,30,6,15,"7.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
MLB,Dont'a Hightower*,29,7,15,"5.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
RLB,Kyle Van Noy,28,5,15,"6.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
LCB,Jason McCourty,32,10,10,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
RCB,Stephon Gilmore*+,29,7,16,"0.0 sacks, 6 interceptions, 1 fumble recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
SS,Patrick Chung,32,10,12,,,Starters_1,NWE,2019,2025-08-15 19:25:10
FS,Devin McCourty,32,9,16,"0.0 sacks, 5 interceptions, 1 fumble recovered",,Starters_1,NWE,2019,2025-08-15 19:25:10
DB,Jonathan Jones,26,3,9,,,Starters_1,NWE,2019,2025-08-15 19:25:10
