Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Joe Burrow*,26,2,16,"414 for 606, 4,475 yards, 35 td, 12 int, & 75 rushes for 257 yards and 5 td",,Starters_1,CIN,2022,2025-08-15 19:01:10
RB,Joe Mixon,26,5,14,"210 rushes for 814 yards, 7 td, & 60 catches for 441 yards and 2 td",,Starters_1,CIN,2022,2025-08-15 19:01:10
WR,Tyler Boyd,28,6,14,"58 catches for 762 yards, 5 td",,Starters_1,CIN,2022,2025-08-15 19:01:10
WR,Ja'Marr Chase*,22,1,12,"87 catches for 1,046 yards, 9 td, & 5 rushes for 8 yards and 0 td",,Starters_1,CIN,2022,2025-08-15 19:01:10
WR,Tee Higgins,23,2,14,"74 catches for 1,029 yards, 7 td",,Starters_1,CIN,2022,2025-08-15 19:01:10
TE,Hayden Hurst,29,4,13,"52 catches for 414 yards, 2 td",,Starters_1,CIN,2022,2025-08-15 19:01:10
LT,Jonah Williams,25,2,16,,,Starters_1,CIN,2022,2025-08-15 19:01:10
LG,Cordell Volson,24,Rook,16,,,Starters_1,CIN,2022,2025-08-15 19:01:10
C,Ted Karras,29,6,16,,,Starters_1,CIN,2022,2025-08-15 19:01:10
RG,Alex Cappa,27,4,16,,,Starters_1,CIN,2022,2025-08-15 19:01:10
RT,La'el Collins,29,7,15,,,Starters_1,CIN,2022,2025-08-15 19:01:10
LDE,Sam Hubbard,27,4,15,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
LDT,D.J. Reader,28,6,10,"0.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
RDT,B.J. Hill,27,4,16,"3.0 sacks, 0 interceptions, 3 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
RDE,Trey Hendrickson*,28,5,15,"8.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
LLB,Josh Tupou,28,5,6,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
MLB,Germaine Pratt,26,3,15,"1.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
RLB,Logan Wilson,26,2,15,"2.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
LCB,Eli Apple,27,6,15,,,Starters_1,CIN,2022,2025-08-15 19:01:10
RCB,Chidobe Awuzie,27,5,8,,,Starters_1,CIN,2022,2025-08-15 19:01:10
SS,Vonn Bell,28,6,16,"1.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
FS,Jessie Bates III,25,4,16,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,CIN,2022,2025-08-15 19:01:10
