No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
94,Zach Allen,23,LDT,13,7,285,6-5,Boston Col.,8/20/1997,1,4,Arizona Cardinals / 3rd / 65th pick /2019,"$690,171",CRD,2020,2025-08-15 13:36:47
85,Dan Arnold,25,TE,16,5,240,6-6,Wisconsin–Platteville,3/15/1995,2,4,,"$750,000",CRD,2020,2025-08-15 13:36:47
32,Budda Baker,24,SS,15,15,195,5-10,Washington,1/10/1996,3,15,Arizona Cardinals / 2nd / 36th pick /2017,"$1,000,000",CRD,2020,2025-08-15 13:36:47
31,Chris Banjo,30,FS,13,4,207,5-10,SMU,2/26/1990,7,2,,"$1,050,000",CRD,2020,2025-08-15 13:36:47
25,De'Vante Bausby,27,DB,1,0,190,6-2,Pittsburg St.,1/15/1993,4,0,,,CRD,2020,2025-08-15 13:36:47
89,Evan Baylis,27,TE,5,1,250,6-5,Oregon,11/18/1993,3,0,,"$585,000",CRD,2020,2025-08-15 13:36:47
68,Kelvin Beachum,31,RT,16,16,308,6-3,SMU,6/8/1989,8,8,Pittsburgh Steelers / 7th / 248th pick /2012,"$1,050,000",CRD,2020,2025-08-15 13:36:47
96,Angelo Blackson,28,NT,16,9,318,6-4,Auburn,11/14/1992,5,5,Tennessee Titans / 4th / 100th pick /2015,"$910,000",CRD,2020,2025-08-15 13:36:47
46,Aaron Brewer,30,LS,16,0,232,6-5,San Diego St.,7/5/1990,8,1,,"$1,050,000",CRD,2020,2025-08-15 13:36:47
59,De'Vondre Campbell,27,LILB,16,16,232,6-4,Minnesota,7/1/1993,4,7,Atlanta Falcons / 4th / 115th pick /2016,"$1,000,000",CRD,2020,2025-08-15 13:36:47
52,Mason Cole,24,C,14,14,298,6-5,Michigan,3/28/1996,2,6,Arizona Cardinals / 3rd / 97th pick /2018,"$750,000",CRD,2020,2025-08-15 13:36:47
93,Trevon Coley,26,DT,6,2,310,6-1,Florida Atlantic,7/13/1994,3,1,,"$825,000",CRD,2020,2025-08-15 13:36:47
81,Darrell Daniels,26,TE,12,8,256,6-3,Washington,11/22/1994,3,1,,"$825,000",CRD,2020,2025-08-15 13:36:47
86,Seth Devalve,27,TE,4,0,245,6-3,Princeton,1/29/1993,4,0,Cleveland Browns / 4th / 138th pick /2016,,CRD,2020,2025-08-15 13:36:47
91,Michael Dogbe,24,DE,3,0,295,6-3,Temple,5/5/1996,1,0,Arizona Cardinals / 7th / 249th pick /2019,"$585,000",CRD,2020,2025-08-15 13:36:47
41,Kenyan Drake,26,RB,15,13,216,6-1,Alabama,1/26/1994,4,6,Miami Dolphins / 3rd / 73rd pick /2016,"$8,483,000",CRD,2020,2025-08-15 13:36:47
29,Chase Edmonds,24,RB,16,2,201,5-9,Fordham,4/13/1996,2,6,Arizona Cardinals / 4th / 134th pick /2018,"$750,000",CRD,2020,2025-08-15 13:36:47
49,Kylie Fitts,26,LB,13,1,260,6-4,"UCLA,Utah",10/11/1994,2,1,Chicago Bears / 6th / 181st pick /2018,"$750,000",CRD,2020,2025-08-15 13:36:47
11,Larry Fitzgerald,37,WR,13,13,218,6-3,Pittsburgh,8/31/1983,16,4,Arizona Cardinals / 1st / 3rd pick /2004,"$11,000,000",CRD,2020,2025-08-15 13:36:47
37,D.J. Foster,27,WR,10,0,205,6-0,Arizona St.,11/22/1993,4,0,,"$126,000",CRD,2020,2025-08-15 13:36:47
95,Leki Fotu,22,DT,11,0,317,6-5,Utah,8/23/1998,Rook,1,Arizona Cardinals / 4th / 114th pick /2020,"$610,000",CRD,2020,2025-08-15 13:36:47
53,Lamont Gaillard,24,C,13,2,305,6-3,Georgia,2/8/1996,1,2,Arizona Cardinals / 6th / 179th pick /2019,"$675,000",CRD,2020,2025-08-15 13:36:47
73,Max Garcia,29,G,14,0,309,6-4,Florida,11/9/1991,5,1,Denver Broncos / 4th / 133rd pick /2015,"$910,000",CRD,2020,2025-08-15 13:36:47
