Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Jordan Love,25,2,17,"372 for 579, 4,159 yards, 32 td, 11 int, & 50 rushes for 247 yards and 4 td",,Starters_1,GNB,2023,2025-08-15 19:13:32
RB,Aaron Jones,29,6,11,"142 rushes for 656 yards, 2 td, & 30 catches for 233 yards and 1 td",,Starters_1,GNB,2023,2025-08-15 19:13:32
LH,Elgton Jenkins,28,4,15,,,Starters_1,GNB,2023,2025-08-15 19:13:32
WR,Romeo Doubs,23,1,16,"59 catches for 674 yards, 8 td",,Starters_1,GNB,2023,2025-08-15 19:13:32
WR,Jayden Reed,23,Rook,13,"64 catches for 793 yards, 8 td, & 11 rushes for 119 yards and 2 td",,Starters_1,GNB,2023,2025-08-15 19:13:32
WR,Christian Watson,24,1,9,"28 catches for 422 yards, 5 td, & 4 rushes for 11 yards and 0 td",,Starters_1,GNB,2023,2025-08-15 19:13:32
TE,Luke Musgrave,23,Rook,9,"34 catches for 352 yards, 1 td",,Starters_1,GNB,2023,2025-08-15 19:13:32
LT,Rasheed Walker,23,1,15,,,Starters_1,GNB,2023,2025-08-15 19:13:32
C,Josh Myers,25,2,17,,,Starters_1,GNB,2023,2025-08-15 19:13:32
RG,Jon Runyan Jr.,26,3,17,,,Starters_1,GNB,2023,2025-08-15 19:13:32
RT,Zach Tom,24,1,17,2 fumbles recovered,,Starters_1,GNB,2023,2025-08-15 19:13:32
LDE,Kenny Clark*,28,7,17,"7.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
NT,Tedarrell Slaton,26,2,17,,,Starters_1,GNB,2023,2025-08-15 19:13:32
LOLB,Preston Smith,31,8,17,"8.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
LILB,De'Vondre Campbell,30,7,11,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
RILB,Quay Walker,23,1,14,"2.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
ROLB,Rashan Gary,26,4,13,"9.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
LCB,Keisean Nixon+,26,4,13,"0.5 sacks, 1 interception, 2 fumbles recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
RCB,Carrington Valentine,22,Rook,12,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
SS,Jonathan Owens,28,4,11,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
FS,Rudy Ford,29,6,9,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1,GNB,2023,2025-08-15 19:13:32
DB,Corey Ballentine,27,4,6,,,Starters_1,GNB,2023,2025-08-15 19:13:32
