Coach,Team,Year,G,W,L,T,Coach_Win_Pct
Abe Gibron,CHI,1972,14,4,9,1,0.3214
Abe Gibron,CHI,1973,14,3,11,0,0.2143
Abe Gibron,CHI,1974,14,4,10,0,0.2857
Adam Gase,MIA,2016,16,10,6,0,0.625
Adam Gase,MIA,2017,16,6,10,0,0.375
Adam Gase,MIA,2018,16,7,9,0,0.4375
Adam Gase,NYJ,2019,16,7,9,0,0.4375
Adam Gase,NYJ,2020,16,2,14,0,0.125
Al Groh,NYJ,2000,16,9,7,0,0.5625
Al Saunders,SDG,1987,15,8,7,0,0.5333
Al Saunders,SDG,1988,16,6,10,0,0.375
Alex Webster,NYG,1970,14,9,5,0,0.6429
Alex Webster,NYG,1971,14,4,10,0,0.2857
Alex Webster,NYG,1972,14,8,6,0,0.5714
Alex Webster,NYG,1973,14,2,11,1,0.1786
Andy Reid,PHI,1999,16,5,11,0,0.3125
Andy Reid,PHI,2000,16,11,5,0,0.6875
Andy Reid,PHI,2001,16,11,5,0,0.6875
Andy Reid,PHI,2002,16,12,4,0,0.75
Andy Reid,PHI,2003,16,12,4,0,0.75
Andy Reid,PHI,2004,16,13,3,0,0.8125
Andy Reid,PHI,2005,16,6,10,0,0.375
Andy Reid,PHI,2006,16,10,6,0,0.625
Andy Reid,PHI,2007,16,8,8,0,0.5
Andy Reid,PHI,2008,16,9,6,1,0.5938
Andy Reid,PHI,2009,16,11,5,0,0.6875
Andy Reid,PHI,2010,16,10,6,0,0.625
Andy Reid,PHI,2011,16,8,8,0,0.5
Andy Reid,PHI,2012,16,4,12,0,0.25
Andy Reid,KAN,2013,16,11,5,0,0.6875
Andy Reid,KAN,2014,16,9,7,0,0.5625
Andy Reid,KAN,2015,16,11,5,0,0.6875
Andy Reid,KAN,2016,16,12,4,0,0.75
Andy Reid,KAN,2017,16,10,6,0,0.625
Andy Reid,KAN,2018,16,12,4,0,0.75
Andy Reid,KAN,2019,16,12,4,0,0.75
Andy Reid,KAN,2020,16,14,2,0,0.875
Andy Reid,KAN,2021,17,12,5,0,0.7059
Andy Reid,KAN,2022,17,14,3,0,0.8235
Andy Reid,KAN,2023,17,11,6,0,0.6471
Andy Reid,KAN,2024,17,15,2,0,0.8824
Anthony Lynn,SDG,2017,16,9,7,0,0.5625
Anthony Lynn,SDG,2018,16,12,4,0,0.75
Anthony Lynn,SDG,2019,16,5,11,0,0.3125
Anthony Lynn,SDG,2020,16,7,9,0,0.4375
Antonio Pierce,RAI,2024,17,4,13,0,0.2353
Art Shell,RAI,1990,16,12,4,0,0.75
Art Shell,RAI,1991,16,9,7,0,0.5625
Art Shell,RAI,1992,16,7,9,0,0.4375
Art Shell,RAI,1993,16,10,6,0,0.625
Art Shell,RAI,1994,16,9,7,0,0.5625
Art Shell,RAI,2006,16,2,14,0,0.125
Arthur Smith,ATL,2021,17,7,10,0,0.4118
Arthur Smith,ATL,2022,17,7,10,0,0.4118
Arthur Smith,ATL,2023,17,7,10,0,0.4118
Barry Switzer,DAL,1994,16,12,4,0,0.75
Barry Switzer,DAL,1995,16,12,4,0,0.75
Barry Switzer,DAL,1996,16,10,6,0,0.625
Barry Switzer,DAL,1997,16,6,10,0,0.375
Bart Starr,GNB,1975,14,4,10,0,0.2857
Bart Starr,GNB,1976,14,5,9,0,0.3571
Bart Starr,GNB,1977,14,4,10,0,0.2857
Bart Starr,GNB,1978,16,8,7,1,0.5312
Bart Starr,GNB,1979,16,5,11,0,0.3125
Bart Starr,GNB,1980,16,5,10,1,0.3438
Bart Starr,GNB,1981,16,8,8,0,0.5
Bart Starr,GNB,1982,9,5,3,1,0.6111
Bart Starr,GNB,1983,16,8,8,0,0.5
Ben McAdoo,NYG,2016,16,11,5,0,0.6875
Ben McAdoo,NYG,2017,12,2,10,0,0.1667
Bill Arnsparger,NYG,1974,14,2,12,0,0.1429
Bill Arnsparger,NYG,1975,14,5,9,0,0.3571
Bill Arnsparger,NYG,1976,7,0,7,0,0.0
Bill Austin,WAS,1970,14,6,8,0,0.4286
Bill Belichick,CLE,1991,16,6,10,0,0.375
Bill Belichick,CLE,1992,16,7,9,0,0.4375
Bill Belichick,CLE,1993,16,7,9,0,0.4375
Bill Belichick,CLE,1994,16,11,5,0,0.6875
Bill Belichick,CLE,1995,16,5,11,0,0.3125
Bill Belichick,NWE,2000,16,5,11,0,0.3125
Bill Belichick,NWE,2001,16,11,5,0,0.6875
Bill Belichick,NWE,2002,16,9,7,0,0.5625
Bill Belichick,NWE,2003,16,14,2,0,0.875
Bill Belichick,NWE,2004,16,14,2,0,0.875
Bill Belichick,NWE,2005,16,10,6,0,0.625
Bill Belichick,NWE,2006,16,12,4,0,0.75
Bill Belichick,NWE,2007,16,16,0,0,1.0
Bill Belichick,NWE,2008,16,11,5,0,0.6875
Bill Belichick,NWE,2009,16,10,6,0,0.625
Bill Belichick,NWE,2010,16,14,2,0,0.875
Bill Belichick,NWE,2011,16,13,3,0,0.8125
Bill Belichick,NWE,2012,16,12,4,0,0.75
Bill Belichick,NWE,2013,16,12,4,0,0.75
Bill Belichick,NWE,2014,16,12,4,0,0.75
Bill Belichick,NWE,2015,16,12,4,0,0.75
Bill Belichick,NWE,2016,16,14,2,0,0.875
Bill Belichick,NWE,2017,16,13,3,0,0.8125
Bill Belichick,NWE,2018,16,11,5,0,0.6875
Bill Belichick,NWE,2019,16,12,4,0,0.75
Bill Belichick,NWE,2020,16,7,9,0,0.4375
Bill Belichick,NWE,2021,17,10,7,0,0.5882
Bill Belichick,NWE,2022,17,8,9,0,0.4706
Bill Belichick,NWE,2023,17,4,13,0,0.2353
Bill Callahan,RAI,2002,16,11,5,0,0.6875
Bill Callahan,RAI,2003,16,4,12,0,0.25
Bill Cowher,PIT,1992,16,11,5,0,0.6875
Bill Cowher,PIT,1993,16,9,7,0,0.5625
Bill Cowher,PIT,1994,16,12,4,0,0.75
Bill Cowher,PIT,1995,16,11,5,0,0.6875
Bill Cowher,PIT,1996,16,10,6,0,0.625
