Team,Year,Primary_Coach,Combined_Coach,Total_Coaches
ATL,1970,Norm Van Brocklin,Norm Van Brocklin,1
ATL,1971,Norm Van Brocklin,Norm Van Brocklin,1
ATL,1972,Norm Van Brocklin,Norm Van Brocklin,1
ATL,1973,Norm Van Brocklin,Norm Van Brocklin,1
ATL,1974,Norm Van Brocklin,Marion Campbell / Norm Van Brocklin,2
ATL,1975,Marion Campbell,Marion Campbell,1
ATL,1976,Marion Campbell,Marion Campbell / Pat Peppler,2
ATL,1977,Leeman Bennett,Leeman Bennett,1
ATL,1978,Leeman Bennett,Leeman Bennett,1
ATL,1979,Leeman Bennett,Leeman Bennett,1
ATL,1980,Leeman Bennett,Leeman Bennett,1
ATL,1981,Leeman Bennett,Leeman Bennett,1
ATL,1982,Leeman Bennett,Leeman Bennett,1
ATL,1983,Dan Henning,Dan Henning,1
ATL,1984,Dan Henning,Dan Henning,1
ATL,1985,Dan Henning,Dan Henning,1
ATL,1986,Dan Henning,Dan Henning,1
ATL,1987,Marion Campbell,Marion Campbell,1
ATL,1988,Marion Campbell,Marion Campbell,1
ATL,1989,Marion Campbell,Jim Hanifan / Marion Campbell,2
ATL,1990,Jerry Glanville,Jerry Glanville,1
ATL,1991,Jerry Glanville,Jerry Glanville,1
ATL,1992,Jerry Glanville,Jerry Glanville,1
ATL,1993,Jerry Glanville,Jerry Glanville,1
ATL,1994,June Jones,June Jones,1
ATL,1995,June Jones,June Jones,1
ATL,1996,June Jones,June Jones,1
ATL,1997,Dan Reeves,Dan Reeves,1
ATL,1998,Dan Reeves,Dan Reeves,1
ATL,1999,Dan Reeves,Dan Reeves,1
ATL,2000,Dan Reeves,Dan Reeves,1
ATL,2001,Dan Reeves,Dan Reeves,1
ATL,2002,Dan Reeves,Dan Reeves,1
ATL,2003,Dan Reeves,Dan Reeves / Wade Phillips,2
ATL,2004,Jim Mora,Jim Mora,1
ATL,2005,Jim Mora,Jim Mora,1
ATL,2006,Jim Mora,Jim Mora,1
ATL,2007,Bobby Petrino,Bobby Petrino / Emmitt Thomas,2
ATL,2008,Mike Smith,Mike Smith,1
ATL,2009,Mike Smith,Mike Smith,1
ATL,2010,Mike Smith,Mike Smith,1
ATL,2011,Mike Smith,Mike Smith,1
ATL,2012,Mike Smith,Mike Smith,1
ATL,2013,Mike Smith,Mike Smith,1
ATL,2014,Mike Smith,Mike Smith,1
ATL,2015,Dan Quinn,Dan Quinn,1
ATL,2016,Dan Quinn,Dan Quinn,1
ATL,2017,Dan Quinn,Dan Quinn,1
ATL,2018,Dan Quinn,Dan Quinn,1
ATL,2019,Dan Quinn,Dan Quinn,1
ATL,2020,Dan Quinn,Dan Quinn / Raheem Morris,2
ATL,2021,Arthur Smith,Arthur Smith,1
ATL,2022,Arthur Smith,Arthur Smith,1
ATL,2023,Arthur Smith,Arthur Smith,1
ATL,2024,Raheem Morris,Raheem Morris,1
BOS,1970,Clive Rush,Clive Rush / John Mazur,2
BUF,1970,John Rauch,John Rauch,1
BUF,1971,Harvey Johnson,Harvey Johnson,1
BUF,1972,Lou Saban,Lou Saban,1
BUF,1973,Lou Saban,Lou Saban,1
BUF,1974,Lou Saban,Lou Saban,1
BUF,1975,Lou Saban,Lou Saban,1
BUF,1976,Lou Saban,Jim Ringo / Lou Saban,2
BUF,1977,Jim Ringo,Jim Ringo,1
BUF,1978,Chuck Knox,Chuck Knox,1
BUF,1979,Chuck Knox,Chuck Knox,1
BUF,1980,Chuck Knox,Chuck Knox,1
BUF,1981,Chuck Knox,Chuck Knox,1
BUF,1982,Chuck Knox,Chuck Knox,1
BUF,1983,Kay Stephenson,Kay Stephenson,1
BUF,1984,Kay Stephenson,Kay Stephenson,1
BUF,1985,Kay Stephenson,Hank Bullough / Kay Stephenson,2
BUF,1986,Hank Bullough,Hank Bullough / Marv Levy,2
BUF,1987,Marv Levy,Marv Levy,1
BUF,1988,Marv Levy,Marv Levy,1
BUF,1989,Marv Levy,Marv Levy,1
BUF,1990,Marv Levy,Marv Levy,1
BUF,1991,Marv Levy,Marv Levy,1
BUF,1992,Marv Levy,Marv Levy,1
BUF,1993,Marv Levy,Marv Levy,1
BUF,1994,Marv Levy,Marv Levy,1
BUF,1995,Marv Levy,Marv Levy,1
BUF,1996,Marv Levy,Marv Levy,1
BUF,1997,Marv Levy,Marv Levy,1
BUF,1998,Wade Phillips,Wade Phillips,1
BUF,1999,Wade Phillips,Wade Phillips,1
BUF,2000,Wade Phillips,Wade Phillips,1
BUF,2001,Gregg Williams,Gregg Williams,1
BUF,2002,Gregg Williams,Gregg Williams,1
BUF,2003,Gregg Williams,Gregg Williams,1
BUF,2004,Mike Mularkey,Mike Mularkey,1
BUF,2005,Mike Mularkey,Mike Mularkey,1
BUF,2006,Dick Jauron,Dick Jauron,1
BUF,2007,Dick Jauron,Dick Jauron,1
BUF,2008,Dick Jauron,Dick Jauron,1
BUF,2009,Dick Jauron,Dick Jauron / Perry Fewell,2
BUF,2010,Chan Gailey,Chan Gailey,1
BUF,2011,Chan Gailey,Chan Gailey,1
BUF,2012,Chan Gailey,Chan Gailey,1
BUF,2013,Doug Marrone,Doug Marrone,1
BUF,2014,Doug Marrone,Doug Marrone,1
BUF,2015,Rex Ryan,Rex Ryan,1
BUF,2016,Rex Ryan,Anthony Lynn / Rex Ryan,2
BUF,2017,Sean McDermott,Sean McDermott,1
BUF,2018,Sean McDermott,Sean McDermott,1
BUF,2019,Sean McDermott,Sean McDermott,1
BUF,2020,Sean McDermott,Sean McDermott,1
BUF,2021,Sean McDermott,Sean McDermott,1
BUF,2022,Sean McDermott,Sean McDermott,1
BUF,2023,Sean McDermott,Sean McDermott,1
BUF,2024,Sean McDermott,Sean McDermott,1
CAR,1995,Dom Capers,Dom Capers,1
CAR,1996,Dom Capers,Dom Capers,1
CAR,1997,Dom Capers,Dom Capers,1
CAR,1998,Dom Capers,Dom Capers,1
CAR,1999,George Seifert,George Seifert,1
CAR,2000,George Seifert,George Seifert,1
CAR,2001,George Seifert,George Seifert,1
CAR,2002,John Fox,John Fox,1
CAR,2003,John Fox,John Fox,1
CAR,2004,John Fox,John Fox,1
CAR,2005,John Fox,John Fox,1
CAR,2006,John Fox,John Fox,1
CAR,2007,John Fox,John Fox,1
CAR,2008,John Fox,John Fox,1
CAR,2009,John Fox,John Fox,1
CAR,2010,John Fox,John Fox,1
CAR,2011,Ron Rivera,Ron Rivera,1
CAR,2012,Ron Rivera,Ron Rivera,1
CAR,2013,Ron Rivera,Ron Rivera,1
CAR,2014,Ron Rivera,Ron Rivera,1
CAR,2015,Ron Rivera,Ron Rivera,1
CAR,2016,Ron Rivera,Ron Rivera,1
CAR,2017,Ron Rivera,Ron Rivera,1
CAR,2018,Ron Rivera,Ron Rivera,1
CAR,2019,Ron Rivera,Perry Fewell / Ron Rivera,2
CAR,2020,Matt Rhule,Matt Rhule,1
CAR,2021,Matt Rhule,Matt Rhule,1
CAR,2022,Matt Rhule,Matt Rhule / Steve Wilks,2
CAR,2023,Chris Tabor,Chris Tabor / Frank Reich,2
CAR,2024,Dave Canales,Dave Canales,1
CHI,1970,Jim Dooley,Jim Dooley,1
CHI,1971,Jim Dooley,Jim Dooley,1
CHI,1972,Abe Gibron,Abe Gibron,1
CHI,1973,Abe Gibron,Abe Gibron,1
CHI,1974,Abe Gibron,Abe Gibron,1
CHI,1975,Jack Pardee,Jack Pardee,1
CHI,1976,Jack Pardee,Jack Pardee,1
CHI,1977,Jack Pardee,Jack Pardee,1
CHI,1978,Neill Armstrong,Neill Armstrong,1
CHI,1979,Neill Armstrong,Neill Armstrong,1
CHI,1980,Neill Armstrong,Neill Armstrong,1
CHI,1981,Neill Armstrong,Neill Armstrong,1
CHI,1982,Mike Ditka,Mike Ditka,1
CHI,1983,Mike Ditka,Mike Ditka,1
CHI,1984,Mike Ditka,Mike Ditka,1
CHI,1985,Mike Ditka,Mike Ditka,1
CHI,1986,Mike Ditka,Mike Ditka,1
CHI,1987,Mike Ditka,Mike Ditka,1
CHI,1988,Mike Ditka,Mike Ditka,1
CHI,1989,Mike Ditka,Mike Ditka,1
CHI,1990,Mike Ditka,Mike Ditka,1
CHI,1991,Mike Ditka,Mike Ditka,1
CHI,1992,Mike Ditka,Mike Ditka,1
CHI,1993,Dave Wannstedt,Dave Wannstedt,1
CHI,1994,Dave Wannstedt,Dave Wannstedt,1
CHI,1995,Dave Wannstedt,Dave Wannstedt,1
CHI,1996,Dave Wannstedt,Dave Wannstedt,1
CHI,1997,Dave Wannstedt,Dave Wannstedt,1
CHI,1998,Dave Wannstedt,Dave Wannstedt,1
CHI,1999,Dick Jauron,Dick Jauron,1
CHI,2000,Dick Jauron,Dick Jauron,1
CHI,2001,Dick Jauron,Dick Jauron,1
CHI,2002,Dick Jauron,Dick Jauron,1
CHI,2003,Dick Jauron,Dick Jauron,1
CHI,2004,Lovie Smith,Lovie Smith,1
CHI,2005,Lovie Smith,Lovie Smith,1
CHI,2006,Lovie Smith,Lovie Smith,1
CHI,2007,Lovie Smith,Lovie Smith,1
CHI,2008,Lovie Smith,Lovie Smith,1
CHI,2009,Lovie Smith,Lovie Smith,1
CHI,2010,Lovie Smith,Lovie Smith,1
CHI,2011,Lovie Smith,Lovie Smith,1
CHI,2012,Lovie Smith,Lovie Smith,1
CHI,2013,Marc Trestman,Marc Trestman,1
CHI,2014,Marc Trestman,Marc Trestman,1
CHI,2015,John Fox,John Fox,1
CHI,2016,John Fox,John Fox,1
CHI,2017,John Fox,John Fox,1
CHI,2018,Matt Nagy,Matt Nagy,1
CHI,2019,Matt Nagy,Matt Nagy,1
CHI,2020,Matt Nagy,Matt Nagy,1
CHI,2021,Matt Nagy,Matt Nagy,1
CHI,2022,Matt Eberflus,Matt Eberflus,1
CHI,2023,Matt Eberflus,Matt Eberflus,1
CHI,2024,Matt Eberflus,Matt Eberflus / Thomas Brown,2
CIN,1970,Paul Brown,Paul Brown,1
CIN,1971,Paul Brown,Paul Brown,1
CIN,1972,Paul Brown,Paul Brown,1
CIN,1973,Paul Brown,Paul Brown,1
CIN,1974,Paul Brown,Paul Brown,1
CIN,1975,Paul Brown,Paul Brown,1
CIN,1976,Bill Johnson,Bill Johnson,1
CIN,1977,Bill Johnson,Bill Johnson,1
CIN,1978,Bill Johnson,Bill Johnson / Homer Rice,2
CIN,1979,Homer Rice,Homer Rice,1
CIN,1980,Forrest Gregg,Forrest Gregg,1
CIN,1981,Forrest Gregg,Forrest Gregg,1
CIN,1982,Forrest Gregg,Forrest Gregg,1
CIN,1983,Forrest Gregg,Forrest Gregg,1
CIN,1984,Sam Wyche,Sam Wyche,1
CIN,1985,Sam Wyche,Sam Wyche,1
CIN,1986,Sam Wyche,Sam Wyche,1
