Coach,Year,Team,Role,Age,num_times_hc,num_yr_col_pos,num_yr_col_coor,num_yr_col_hc,num_yr_nfl_pos,num_yr_nfl_coor,num_yr_nfl_hc,PF (Points For)__oc,Yds__oc,Y/P__oc,TO__oc,1stD__oc,Cmp Passing__oc,Att Passing__oc,Yds Passing__oc,TD Passing__oc,Int Passing__oc,NY/A Passing__oc,1stD Passing__oc,Att Rushing__oc,Yds Rushing__oc,TD Rushing__oc,Y/A Rushing__oc,1stD Rushing__oc,Pen__oc,Yds Penalties__oc,1stPy__oc,#Dr__oc,Sc%__oc,TO%__oc,Time Average Drive__oc,Plays Average Drive__oc,Yds Average Drive__oc,Pts Average Drive__oc,3DAtt__oc,3D%__oc,4DAtt__oc,4D%__oc,RZAtt__oc,RZPct__oc,PF (Points For)__dc,Yds__dc,Y/P__dc,TO__dc,1stD__dc,Cmp Passing__dc,Att Passing__dc,Yds Passing__dc,TD Passing__dc,Int Passing__dc,NY/A Passing__dc,1stD Passing__dc,Att Rushing__dc,Yds Rushing__dc,TD Rushing__dc,Y/A Rushing__dc,1stD Rushing__dc,Pen__dc,Yds Penalties__dc,1stPy__dc,#Dr__dc,Sc%__dc,TO%__dc,Time Average Drive__dc,Plays Average Drive__dc,Yds Average Drive__dc,Pts Average Drive__dc,3DAtt__dc,3D%__dc,4DAtt__dc,4D%__dc,RZAtt__dc,RZPct__dc,PF (Points For)__hc,Yds__hc,Y/P__hc,TO__hc,1stD__hc,Cmp Passing__hc,Att Passing__hc,Yds Passing__hc,TD Passing__hc,Int Passing__hc,NY/A Passing__hc,1stD Passing__hc,Att Rushing__hc,Yds Rushing__hc,TD Rushing__hc,Y/A Rushing__hc,1stD Rushing__hc,Pen__hc,Yds Penalties__hc,1stPy__hc,#Dr__hc,Sc%__hc,TO%__hc,Time Average Drive__hc,Plays Average Drive__hc,Yds Average Drive__hc,Pts Average Drive__hc,3DAtt__hc,3D%__hc,4DAtt__hc,4D%__hc,RZAtt__hc,RZPct__hc,PF (Points For)__opp__hc,Yds__opp__hc,Y/P__opp__hc,TO__opp__hc,1stD__opp__hc,Cmp Passing__opp__hc,Att Passing__opp__hc,Yds Passing__opp__hc,TD Passing__opp__hc,Int Passing__opp__hc,NY/A Passing__opp__hc,1stD Passing__opp__hc,Att Rushing__opp__hc,Yds Rushing__opp__hc,TD Rushing__opp__hc,Y/A Rushing__opp__hc,1stD Rushing__opp__hc,Pen__opp__hc,Yds Penalties__opp__hc,1stPy__opp__hc,#Dr__opp__hc,Sc%__opp__hc,TO%__opp__hc,Time Average Drive__opp__hc,Plays Average Drive__opp__hc,Yds Average Drive__opp__hc,Pts Average Drive__opp__hc,3DAtt__opp__hc,3D%__opp__hc,4DAtt__opp__hc,4D%__opp__hc,RZAtt__opp__hc,RZPct__opp__hc
Abe Gibron,1972,CHI,HC,47,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abe Gibron,1973,CHI,HC,48,1,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9149794255138703,-1.2941045610150022,-0.6690871931789643,0.3877365724620237,-1.5669496084934038,-2.8884876184657324,-2.6085077254921294,-2.6253224420900296,-1.336306209562122,-1.0234117947538943,-1.0649702600921345,-2.897984228520949,1.0667141847489436,1.0673792786794445,0.1842350638362206,0.6852482888641949,0.7485028082774715,0.2319320193721666,-0.7663569140857736,-1.2020611626727982,,,,,,,,,,,,,,-0.1311590434698772,-0.3431288243362034,-0.2555187014593437,0.3400955313297684,-0.4554182626385049,0.0408266034838144,-0.1645699413564805,0.1597909413317973,0.1129064894242472,0.4459459459459462,0.3566305673429831,-0.0397772219829259,0.097608213699355,-0.6488305489260721,-0.5585696017507576,-1.171507099434849,-0.626309837932693,-0.2211804468372457,-0.1825018383820736,0.3069202763554501,,,,,,,,,,,,,
Abe Gibron,1974,CHI,HC,49,1,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0985510779230019,-1.5208455444353501,-1.2721247619071523,0.7247397026186666,-1.4595469224524869,-1.9641509784191225,-1.6074492081599252,-2.1224934606530304,-1.277476015103817,-0.6886191525203662,-1.571986920922431,-2.052092688167913,0.5205165665909157,0.3942693666602708,-0.13542538912252294,0.09478334588379345,0.05511654088027751,0.6930563713295158,0.19932549817266,-0.3876799063899433,,,,,,,,,,,,,,0.32592779040483183,0.0021448602408180584,-0.01522840046210075,0.08490322306185415,0.01913580441600185,-0.3969669276244265,-0.5648042817329737,-0.2953424654930422,0.3182913356379244,-0.16881430063295047,0.014951868047594102,-0.3884957745318964,0.744051623018231,0.371938562332819,0.3152928709062673,-0.033428941292313774,0.39289474713518124,0.13619878276215636,-0.0555131416019583,0.39409296767940605,,,,,,,,,,,,,
Adam Gase,2016,MIA,HC,38,0,0,0,0,5,3,0,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Gase,2017,MIA,HC,39,1,0,0,0,5,3,1,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0216498558140574,-0.549855767062363,0.6697205446030633,0.1744041947081727,-1.5084799698421396,-1.0666878031594067,-1.890144996253407,-0.7341069462964044,0.3419605736116672,0.3897950217136972,0.7225240954138935,-1.2558075695914943,-0.2625974315136067,0.2801865711182758,0.031167927001908,0.7245333724107339,-0.2702707289502166,1.33074642737033,1.7239592997265374,-1.5100102208242945,0.6777741743905965,-0.788300029441653,-0.0463227248569351,-1.109916123835363,-2.4464170519209114,-0.7519204760087906,-0.2885107388993161,-1.716507517425793,-0.7455346211274207,-2.3883077847559098,-2.9937772654665205,-0.6765286144478478,-0.0043475384521519,0.2927408333497583,1.2559854000684492,0.3221535073039133,0.5608427047816474,1.0645776466223038,0.2583400163889556,0.5422573582676196,0.0335303570680532,1.004388610751554,0.8855216988061829,-0.3347798747496126,0.0,1.103503746917511,1.706379197878475,-0.4264292749715794,1.7320508075688752,1.0065628104277855,0.1107287450377928,-0.0846573673575245,1.8657096051526203,1.1369390446730725,-0.1395930202916286,0.6054698702143224,0.0956573405305923,0.0537696580838103,0.236852516839512,0.002296582117268,0.2181891110877978,-1.134326778627359,0.2494351729446229,0.3126957117927679,-0.1739500263400386,0.2083506362538692
Adam Gase,2018,MIA,HC,40,1,0,0,0,5,3,2,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5293562537669988,-0.6936823416988322,-0.0720846705212762,0.6490132084598945,-1.1728606127207317,0.005227547255436837,-0.24896643378736372,-0.42354235585038136,0.24159320126590084,1.0301155054741191,-0.019865363064434205,-0.5869912090273668,-0.9729865723344953,-0.5836399095287231,-0.8851516312274842,0.10353924137126608,-0.8912480226510363,1.7411374396201729,1.7667292560812178,-0.8206467793585968,0.6403070450202751,-0.9820614067099847,0.612816191763777,-0.9964048343215722,-1.7012957485473388,-0.8250097369143841,-0.7530635518616062,-1.3028343080567781,-1.2832569003080068,-0.40004924829259947,-1.9983428723300565,-0.8803918961710022,-0.0518095108024989,0.6633157494595993,0.6605317831160806,0.36804685562770745,-0.3603428617590055,0.744086175039814,0.12375406924571715,-0.0589916956829063,0.03803580493708305,0.804008972191552,-0.07489468755527329,0.12182122510912732,0.1415965489939,0.5670252657105975,0.8823342597123787,0.08093999210175298,0.8878455303855285,0.3951565861739492,0.9158825909715294,0.8082807552036289,1.59064594328912,0.6472810726588197,0.25816977960637144,-0.30936108109860916,0.0668867521252792,-0.2704328294569617,0.026921035936955898,0.4453115762945307,-0.4255714704858099,-0.7328551583540732,-0.7199616385576871,-0.5430905559017165,0.14858138407117785,0.747090147156109
Adam Gase,2019,NYJ,HC,41,1,0,0,0,5,3,3,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.595231422638422,-0.9617313116561969,-0.2312640258412639,0.5087480497378695,-1.3913483844257672,-0.4571295477837649,-0.7200382148709107,-0.7417812777318288,0.14200853455797513,0.6801127146492508,-0.3124565050737902,-0.830530781388425,-0.9287053942654144,-0.5039635691102077,-1.11503653560802,0.34742520589573145,-1.0151943726038029,1.1708306789578435,1.378258055075259,-0.841911044450767,0.604168882313367,-1.052976191791627,0.5023676454372282,-1.1150406041059986,-1.959188737494174,-1.0700327823186673,-0.8193880531346859,-1.2713066194254055,-1.4663906227870385,-0.5960725526827977,-1.203732507886035,-1.1982398920819024,-0.30953253854135593,0.8283213605778288,0.8642062165399107,0.6820428746737569,0.09801099152241259,0.7510801182406693,-0.18619124265178996,-0.39747592152088845,0.1397804463427583,0.8217720036290032,0.5181421302985635,0.6053321250240232,0.07502107234755401,0.926253434009452,1.150454673789305,0.3200985292839555,0.8945334110740006,0.5602260579498596,0.5931669940638794,0.35767056311221057,1.4941898137427791,0.5727189495916546,0.4542595105489868,0.04136459640626292,0.40812492827479613,-0.18425259569570485,0.3283646976074438,0.6364100103068079,-0.44517273458736323,-0.18263338278789268,-0.6152788010927774,-0.803164782645994,0.6276445476818955,0.5697236205261066
Adam Gase,2020,NYJ,HC,42,2,0,0,0,5,3,4,1.5326185885817845,1.348807367597769,1.0768748256532257,-0.33145813630085974,1.3276715430439117,0.9250295746613046,0.574731056589047,1.3165568732842272,1.6522880603465744,-0.40417970969691996,1.4348657130972793,1.1858341485983195,0.60429345897093,0.19704366080790567,0.6149907367015959,-0.2589911838588252,0.5977393658019675,0.4571460788366148,0.6373544768808975,0.21553392108590952,0.5096979923430128,1.2705094095310323,-0.5843544654451602,-0.05331715987023663,0.34687610162612215,0.9360943558884917,1.4018323248167617,-0.19804340974952753,1.1662956090698249,-0.8226159463805516,1.0374919455907448,1.0992168046127282,1.0816544073823613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7815409124406703,-1.2280612409960598,-0.63707622009544,0.4827988988497607,-1.5821141374921148,-0.5423861010496992,-0.6936682490730226,-0.8667406422426653,-0.16582450047752978,0.6513073100623546,-0.5483511736241043,-0.9189168856031362,-0.8716771706576506,-0.7238130509191887,-1.236983117316234,-0.23465535155585943,-1.1514990993380079,1.0183309216568284,1.4258710115333997,-0.7370238037023287,0.7330729172129524,-1.2867908468798377,0.3682568805074931,-1.128670688241425,-1.9142043975620355,-1.3253953121054787,-1.0937978556597172,-0.7929911139718043,-1.5174910705791553,-0.4275055202287523,-1.1092217033957912,-1.5167979339535353,-0.2842514315309649,0.5979104304433129,0.46611381800752993,0.23403419303274947,0.02065553367663709,0.3617094991322734,-0.06414602008963946,-0.1241549296393323,0.11596326825330568,0.619944520854673,0.33299210157811565,0.37987713776435966,-0.01791001991515867,0.686470553849067,0.5081293137015682,0.13927583226723003,0.11162727943106654,0.07289225444674696,0.4247751854957886,0.2355900780805167,1.3870214341319902,0.7951854005526402,0.24577708625811243,-0.136113952379515,0.1507593564481346,-0.42230396345551463,-0.0731480453771424,0.3523612012989583,0.1512249537292702,-0.13039753520480607,-0.7546277834033073,-1.0996305175367205,0.3747965769501085,0.35159284090475995
Al Groh,2000,NYJ,HC,56,0,8,3,7,7,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003718780913656028,0.1489014781852436,0.3452783605133257,-0.15006988242736308,-0.4947563557193124,-0.20976240227770537,-0.1335627343044441,0.08645315599443837,0.14474073489763228,-0.06853850872179487,0.19185808438784493,-0.46209039871368507,-0.03417181491755831,0.12360741651118501,-0.18558589746064813,0.4411462537245178,-0.06093317738513262,0.531750812160886,0.2607284774703812,-0.5311421112496568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Saunders,1987,SDG,HC,40,1,4,7,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1129160557254616,0.3078234098583574,-0.3616839356752753,1.778433867394298,1.2760599011622042,1.2235552122193103,1.5488792734117207,0.8121540390660591,0.0103489507601356,2.4003627882583496,0.0396930511415064,1.3917026632157978,-0.2006070167004526,-0.9188746955942836,0.9549332701021848,-1.470347140876786,-0.5140691413462775,1.165804946513921,1.277349132076245,-0.1733202144524837,,,,,,,,,,,,,,1.1164388665352525,0.4082064998799177,0.3369905364757851,0.1178397650277423,0.176217547579834,0.0512580353909479,-0.1701855051428927,1.043741008492414,1.2357836690479815,-0.8936311688542489,1.0014906167227826,0.6521692339650177,-0.157013715010659,-0.7149079809559963,-0.0606628238109784,-1.1706085249661609,-0.2227744505601964,0.3934439969842281,0.7023337767421651,-0.4147991089027722,,,,,,,,,,,,,
