Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,CLECLE,cle,-,53,24.4,156664052,59915427,77946523,32438232,46236097
2,SFSF,sfo,-,53,26.1,145364821,59518214,78589073,27342599,39433149
3,JAXJAX,jax,-,53,25.7,171292956,34574646,151852626,8145211,11295119
4,TENTEN,ten,-,53,27.1,161252092,29388759,149109415,4073982,8068695
5,NYJNYJ,nyj,-,53,25.4,144902320,22199908,98416921,25717942,20767457
6,TBTB,tam,-,53,26.5,153756128,18797828,125106587,21360939,7223802
7,INDIND,clt,-,53,25.5,156274655,18303815,90264198,38435699,27574758
8,MINMIN,min,-,53,26.4,153553781,16153930,117742794,23876146,11934841
9,HOUHOU,hou,-,54,26.1,159945016,12463708,99884814,46246048,13814154
10,BUFBUF,buf,-,52,26.8,154567897,12422000,104955026,20683295,28929576
11,LACLAC,lac,-,53,26.2,157638663,11949256,127034223,11787775,18816665
12,DENDEN,den,-,53,25.8,156404109,11413689,121736835,28744569,5457705
13,CINCIN,cin,-,52,25.6,161691563,11193103,128091070,29451628,4148865
14,OAKOAK,rai,-,53,26.2,164442467,9775008,144377592,15674134,4390741
15,DALDAL,dal,-,54,25.5,159808251,9111598,114468318,18609387,26658546
16,DETDET,det,-,52,26.0,161081019,7312612,130190524,19975680,10914815
17,CHICHI,chi,-,53,26.1,167722301,6689489,110629152,43846918,13239031
18,GBGB,gnb,-,53,25.6,168491403,6583373,115603840,40818541,12069022
19,PITPIT,pit,-,53,26.3,163380183,5498476,145814413,5091333,11859437
20,LARLAR,ram,-,53,25.4,156886564,5094547,137063130,9821854,10001580
21,BALBAL,bal,-,53,26.5,158870983,4540933,112215774,24654481,21993528
22,CARCAR,car,-,51,27.4,175448311,4483933,144363005,18955036,12130270
23,NENE,nwe,-,52,27.2,163713427,3847061,129468455,26316207,7226565
24,PHIPHI,phi,-,53,26.5,172566936,3776455,130626348,22357948,19582640
25,ARIARI,crd,-,53,27.0,169351526,2475592,104474970,57220158,7526798
26,KCKC,kan,-,51,26.3,167778858,2374735,135438141,16289314,16051403
27,WASWAS,was,-,54,26.0,174807970,1758695,114359646,47357539,12634355
28,SEASEA,sea,-,53,26.0,167367602,1741563,126625244,33335648,7356310
29,ATLATL,atl,-,53,26.8,166313787,1594641,147393869,10460779,8459139
30,NONO,nor,-,51,26.1,161717460,1434963,97762121,37652072,25613267
31,NYGNYG,nyg,-,54,25.6,167429914,288932,104596283,52752736,10080895
32,MIAMIA,mia,-,53,26.2,171947683,38597,102474406,49427310,20045967
