Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,JAXJAX,jax,-,53,25.6,136130404,32355703,107546334,19001605,9582465
2,TENTEN,ten,-,54,25.8,128662671,25690907,90472606,20323893,17866172
3,CLECLE,cle,-,53,25.8,139647560,22119840,102057621,30535195,7054744
4,NYGNYG,nyg,-,53,26.3,128321422,15090461,78694040,34027576,15599806
5,OAKOAK,rai,-,54,26.4,137071838,14800918,94352516,26030509,16688813
6,SFSF,sfo,-,52,25.6,136740459,13115521,74501722,33144637,29094100
7,TBTB,tam,-,53,25.8,133567282,11342607,86632966,21628583,25305733
8,DALDAL,dal,-,52,26.1,137816498,10761815,80128732,38468852,19218914
9,ATLATL,atl,-,53,26.8,136236065,10012750,99720594,14045930,22469541
10,GBGB,gnb,-,52,25.8,141856037,9615069,125157906,11235334,5436397
11,PHIPHI,phi,-,53,26.7,150325196,9547182,123889910,7038928,19396358
12,INDIND,clt,-,52,27.2,143402177,9021215,108214835,20924189,14263153
13,CINCIN,cin,-,53,26.5,143913511,8216924,134100760,4964686,4848065
14,MIAMIA,mia,-,52,25.4,144878936,8048001,90566641,23752877,30559418
15,BUFBUF,buf,-,53,25.9,138342172,7731712,91749336,32949072,13643764
16,WASWAS,was,-,52,26.7,139789532,6802213,97790178,28912273,13087081
17,PITPIT,pit,-,53,26.8,138860441,5198028,95331909,23114206,20143726
18,DENDEN,den,-,53,26.7,145098899,4967125,134668943,4281668,6148288
19,KCKC,kan,-,52,26.1,141444281,4699919,104438587,14902761,21535333
20,CARCAR,car,-,53,27.0,145230447,4141190,121004274,8785308,15374865
21,STLSTL,stlstl,-,53,25.4,140686890,3986497,94007833,35201011,11478046
22,BALBAL,bal,-,52,26.0,141217050,3914077,65521036,51686673,24009341
23,ARIARI,crd,-,52,26.6,144707976,3807890,120691340,11207227,12809409
24,CHICHI,chi,-,53,26.2,141512728,3655706,89976736,22513710,29022282
25,HOUHOU,hou,-,52,26.1,142403116,3622630,102642525,22336746,17423845
26,NENE,nwe,-,52,26.0,141316422,3261662,96415003,25397095,19484524
27,NYJNYJ,nyj,-,53,26.7,153010332,3139062,135479685,9275077,8255570
28,MINMIN,min,-,53,26.1,147022479,2605481,118160753,19711497,9150229
29,SDSD,sdsd,-,53,26.6,140814655,2157957,91395667,32423456,16995532
30,NONO,nor,-,53,27.1,143214027,1878403,93560943,14799378,34853706
31,DETDET,det,-,53,26.5,143215794,1102197,107062153,14916955,21236686
32,SEASEA,sea,-,53,26.4,147364599,893139,114840985,12551881,19635133
