Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
KC,15.97M,6.78M,11.89M,5.91M,24.54M,17.90M,22.02M,27.15M,1.47M,1.85M,0.57M,136.63M,2013,2025-08-15 15:18:22
SEA,5.59M,10.89M,18.14M,12.85M,28.45M,34.91M,5.75M,13.63M,0.62M,1.41M,0.77M,133.73M,2013,2025-08-15 15:18:22
DEN,18.84M,5.58M,9.54M,8.02M,27.95M,12.34M,20.54M,24.19M,3.31M,2.00M,0.66M,133.46M,2013,2025-08-15 15:18:22
IND,8.56M,7.36M,13.28M,2.86M,23.68M,15.31M,25.87M,24.31M,3.40M,2.98M,0.48M,129.05M,2013,2025-08-15 15:18:22
MIN,9.27M,15.55M,11.56M,4.65M,20.62M,37.30M,13.39M,11.89M,0.51M,0.45M,1.05M,128.95M,2013,2025-08-15 15:18:22
CHI,11.37M,10.17M,19.41M,4.58M,11.66M,29.30M,14.54M,20.10M,3.53M,1.73M,1.11M,128.43M,2013,2025-08-15 15:18:22
TB,10.90M,4.38M,15.45M,2.54M,26.23M,20.68M,9.22M,29.60M,3.93M,3.25M,0.56M,127.71M,2013,2025-08-15 15:18:22
NYG,22.16M,7.87M,9.09M,3.00M,22.89M,20.85M,13.04M,24.05M,0.62M,1.83M,1.05M,127.52M,2013,2025-08-15 15:18:22
TEN,8.54M,16.00M,14.05M,7.77M,32.07M,7.74M,14.43M,20.88M,2.80M,1.35M,0.49M,127.46M,2013,2025-08-15 15:18:22
CIN,2.76M,5.94M,9.40M,4.42M,24.19M,39.83M,10.13M,23.24M,1.60M,2.78M,1.34M,127.06M,2013,2025-08-15 15:18:22
PHI,13.53M,6.36M,19.41M,5.90M,27.08M,13.03M,17.02M,18.32M,0.66M,0.63M,1.04M,127.00M,2013,2025-08-15 15:18:22
PIT,15.39M,4.08M,11.29M,9.47M,14.33M,13.78M,27.55M,26.08M,1.80M,0.59M,0.62M,125.46M,2013,2025-08-15 15:18:22
STL,13.39M,2.64M,5.93M,5.87M,26.43M,23.83M,16.86M,27.22M,0.51M,0.48M,0.66M,124.33M,2013,2025-08-15 15:18:22
BAL,7.38M,6.83M,10.63M,4.52M,22.96M,20.27M,25.53M,17.21M,2.28M,2.50M,0.76M,124.11M,2013,2025-08-15 15:18:22
NO,18.25M,9.16M,11.82M,4.05M,18.39M,9.90M,23.62M,23.20M,2.32M,1.95M,0.76M,124.06M,2013,2025-08-15 15:18:22
NE,14.60M,4.29M,14.95M,7.30M,23.12M,19.96M,17.05M,17.80M,3.40M,0.45M,0.56M,124.04M,2013,2025-08-15 15:18:22
HOU,11.76M,10.13M,17.62M,7.16M,18.84M,15.73M,12.16M,26.95M,0.45M,1.33M,0.69M,123.83M,2013,2025-08-15 15:18:22
NYJ,15.62M,4.35M,13.08M,4.21M,21.66M,8.10M,25.26M,28.47M,0.62M,0.42M,0.70M,122.96M,2013,2025-08-15 15:18:22
ATL,9.90M,7.95M,17.72M,7.15M,18.23M,16.40M,17.22M,22.74M,2.96M,0.58M,0.48M,122.21M,2013,2025-08-15 15:18:22
SF,2.47M,9.01M,18.67M,10.13M,17.61M,12.37M,17.87M,25.28M,2.92M,4.08M,0.63M,122.18M,2013,2025-08-15 15:18:22
OAK,13.89M,11.78M,10.27M,3.59M,11.04M,27.70M,16.35M,17.57M,5.06M,0.46M,1.13M,121.16M,2013,2025-08-15 15:18:22
GB,12.81M,2.74M,10.10M,11.57M,18.48M,17.97M,20.55M,19.58M,2.35M,1.11M,0.82M,120.68M,2013,2025-08-15 15:18:22
SD,16.00M,5.17M,17.95M,8.96M,20.29M,6.85M,19.97M,16.52M,1.13M,3.79M,0.74M,120.45M,2013,2025-08-15 15:18:22
JAX,8.48M,9.06M,17.67M,7.52M,18.08M,20.90M,17.67M,14.87M,3.29M,0.68M,0.59M,120.19M,2013,2025-08-15 15:18:22
ARI,12.22M,6.27M,15.62M,5.06M,23.18M,22.35M,15.15M,15.37M,2.05M,1.58M,1.09M,120.05M,2013,2025-08-15 15:18:22
DET,21.56M,5.15M,17.87M,7.45M,14.49M,27.64M,12.08M,10.85M,0.62M,0.45M,0.62M,119.77M,2013,2025-08-15 15:18:22
DAL,13.89M,2.28M,7.62M,6.03M,21.45M,10.61M,30.40M,21.61M,0.56M,0.56M,0.99M,116.24M,2013,2025-08-15 15:18:22
BUF,8.57M,8.33M,11.10M,4.97M,15.53M,32.88M,7.38M,22.26M,1.83M,0.53M,1.06M,115.15M,2013,2025-08-15 15:18:22
MIA,5.87M,1.93M,9.97M,6.01M,20.30M,29.14M,13.60M,21.88M,0.78M,1.65M,1.09M,112.35M,2013,2025-08-15 15:18:22
CAR,7.52M,9.37M,11.79M,4.88M,18.18M,18.24M,19.42M,15.08M,2.75M,0.50M,0.87M,110.90M,2013,2025-08-15 15:18:22
CLE,5.06M,6.37M,6.19M,2.03M,25.18M,25.62M,21.41M,15.67M,0.98M,0.41M,1.06M,110.07M,2013,2025-08-15 15:18:22
WAS,6.03M,2.36M,19.87M,5.14M,23.12M,17.18M,16.89M,13.08M,0.56M,0.88M,1.29M,107.39M,2013,2025-08-15 15:18:22
