Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
CAR,9.41M,23.42M,37.64M,8.31M,39.55M,27.70M,43.36M,36.90M,2.25M,2.15M,1.16M,232.77M,2023,2025-08-15 15:17:21
PHI,8.90M,5.45M,22.66M,9.45M,60.58M,64.80M,16.96M,37.62M,3.38M,1.17M,1.22M,232.19M,2023,2025-08-15 15:17:21
DEN,25.29M,7.42M,37.07M,7.00M,42.38M,29.49M,34.41M,42.35M,2.93M,1.47M,0.87M,231.77M,2023,2025-08-15 15:17:21
BUF,20.18M,8.92M,26.47M,10.97M,40.74M,45.08M,14.27M,54.65M,2.08M,2.18M,1.08M,228.64M,2023,2025-08-15 15:17:21
CHI,9.91M,7.83M,29.57M,12.50M,42.28M,56.27M,27.91M,31.91M,5.12M,0.89M,1.11M,227.51M,2023,2025-08-15 15:17:21
HOU,10.82M,7.49M,37.59M,6.37M,62.68M,29.86M,22.97M,37.11M,4.45M,3.60M,1.09M,226.98M,2023,2025-08-15 15:17:21
PIT,10.31M,7.00M,26.25M,3.76M,44.57M,41.12M,48.56M,36.28M,5.64M,1.11M,0.94M,226.30M,2023,2025-08-15 15:17:21
MIA,13.32M,9.20M,34.55M,6.70M,40.51M,35.49M,36.28M,40.28M,2.45M,1.09M,1.20M,223.98M,2023,2025-08-15 15:17:21
IND,30.31M,11.62M,12.56M,9.50M,52.31M,45.05M,31.02M,24.10M,3.08M,2.90M,1.42M,223.87M,2023,2025-08-15 15:17:21
TB,39.04M,9.58M,44.04M,7.62M,32.58M,25.68M,40.93M,20.19M,1.74M,1.04M,1.24M,223.68M,2023,2025-08-15 15:17:21
LV,14.42M,22.66M,36.87M,7.16M,40.75M,51.69M,18.53M,21.38M,4.31M,2.55M,1.44M,223.47M,2023,2025-08-15 15:17:21
NYG,23.45M,13.95M,39.25M,6.46M,34.88M,44.44M,18.27M,34.42M,5.32M,1.60M,1.10M,223.44M,2023,2025-08-15 15:17:21
DET,36.17M,9.19M,22.71M,4.92M,58.36M,29.60M,18.79M,36.07M,1.57M,1.97M,1.62M,223.41M,2023,2025-08-15 15:17:21
ATL,9.95M,11.70M,12.13M,18.07M,52.40M,43.21M,34.93M,30.79M,4.76M,2.67M,0.87M,222.64M,2023,2025-08-15 15:17:21
BAL,26.02M,8.12M,19.62M,19.36M,49.92M,23.31M,23.79M,39.95M,5.96M,1.04M,1.34M,222.56M,2023,2025-08-15 15:17:21
NYJ,20.02M,11.00M,20.97M,15.01M,43.67M,29.70M,34.17M,40.62M,2.78M,2.13M,1.38M,222.55M,2023,2025-08-15 15:17:21
DAL,29.90M,18.24M,21.60M,4.69M,44.73M,39.76M,11.01M,46.45M,0.75M,3.00M,1.23M,222.10M,2023,2025-08-15 15:17:21
CLE,23.93M,18.69M,34.50M,17.11M,34.83M,36.45M,15.16M,35.18M,2.78M,1.94M,1.34M,221.90M,2023,2025-08-15 15:17:21
NE,7.98M,5.37M,22.39M,34.57M,39.21M,31.40M,33.01M,41.59M,1.56M,3.27M,1.51M,221.85M,2023,2025-08-15 15:17:21
TEN,39.51M,19.16M,23.65M,6.88M,26.17M,25.94M,37.80M,36.31M,2.92M,0.97M,1.09M,221.49M,2023,2025-08-15 15:17:21
NO,12.93M,13.36M,24.83M,13.04M,44.55M,54.69M,15.36M,35.15M,3.25M,1.36M,1.55M,220.53M,2023,2025-08-15 15:17:21
WAS,9.76M,7.86M,33.12M,12.58M,32.48M,55.33M,12.45M,47.97M,2.35M,3.50M,0.95M,219.16M,2023,2025-08-15 15:17:21
LAC,10.15M,10.87M,34.40M,12.35M,32.20M,26.25M,47.09M,39.65M,1.67M,1.49M,1.37M,218.51M,2023,2025-08-15 15:17:21
ARI,21.45M,12.90M,42.83M,16.22M,36.18M,20.35M,26.87M,36.14M,2.75M,0.90M,1.53M,218.12M,2023,2025-08-15 15:17:21
GB,45.77M,11.42M,9.44M,6.83M,39.97M,23.55M,36.51M,39.94M,1.79M,1.23M,1.28M,218.05M,2023,2025-08-15 15:17:21
JAX,12.47M,6.70M,38.05M,7.81M,43.75M,26.45M,40.97M,35.85M,2.01M,2.60M,1.12M,217.78M,2023,2025-08-15 15:17:21
KC,38.48M,6.39M,21.19M,18.09M,31.25M,54.28M,9.85M,29.02M,5.13M,2.63M,1.32M,217.62M,2023,2025-08-15 15:17:21
LAR,21.97M,4.63M,45.65M,9.95M,31.16M,37.20M,32.33M,31.64M,0.93M,0.80M,0.91M,217.17M,2023,2025-08-15 15:17:21
CIN,21.22M,11.69M,26.87M,4.94M,47.22M,60.28M,14.67M,26.27M,1.03M,0.78M,0.88M,215.84M,2023,2025-08-15 15:17:21
SEA,14.48M,6.70M,31.48M,18.11M,26.74M,38.49M,28.56M,40.73M,3.04M,3.30M,0.75M,214.98M,2023,2025-08-15 15:17:21
MIN,24.43M,11.52M,29.96M,9.94M,29.81M,33.38M,38.10M,28.71M,2.01M,0.87M,1.30M,212.74M,2023,2025-08-15 15:17:21
SF,16.05M,7.36M,20.64M,13.49M,28.10M,45.04M,31.24M,26.87M,0.98M,1.80M,1.26M,199.53M,2023,2025-08-15 15:17:21
