Team,OFF,QB,RB,WR,TE,OL,DEF,DL,LB,SEC,SPT,K,P,LS,Total,Year,Scraped_Date
OAK,75.95M,4.63M,2.92M,19.40M,6.09M,37.74M,78.10M,17.92M,27.06M,33.12M,10.19M,3.96M,5.05M,1.18M,164.34M,2016,2025-08-15 15:18:49
NYJ,75.06M,10.11M,6.08M,23.13M,3.01M,33.25M,77.53M,24.45M,14.69M,38.57M,4.75M,3.34M,0.47M,0.93M,158.08M,2016,2025-08-15 15:18:49
MIN,81.96M,12.63M,14.18M,9.69M,10.16M,34.43M,70.84M,28.40M,12.08M,30.36M,3.61M,2.11M,0.72M,0.78M,157.20M,2016,2025-08-15 15:18:49
CIN,72.15M,14.20M,7.70M,18.15M,3.98M,27.15M,78.53M,31.30M,15.78M,31.45M,5.71M,1.64M,3.02M,1.06M,156.40M,2016,2025-08-15 15:18:49
ARI,79.69M,21.12M,5.17M,25.81M,6.23M,21.67M,73.26M,26.49M,18.04M,28.72M,2.61M,0.60M,1.37M,0.64M,155.86M,2016,2025-08-15 15:18:49
TB,74.09M,8.19M,10.54M,22.18M,5.31M,28.73M,77.52M,32.71M,16.34M,28.47M,3.09M,0.74M,1.75M,0.60M,155.73M,2016,2025-08-15 15:18:49
SD,79.65M,17.18M,8.70M,19.39M,8.31M,26.40M,72.12M,23.28M,22.67M,26.16M,2.89M,0.90M,1.09M,0.90M,155.47M,2016,2025-08-15 15:18:49
NYG,74.31M,25.60M,9.78M,13.78M,3.07M,20.69M,75.45M,33.90M,15.96M,25.59M,5.04M,1.93M,1.98M,1.13M,154.90M,2016,2025-08-15 15:18:49
GB,71.34M,20.06M,5.14M,20.56M,3.92M,22.35M,77.52M,27.64M,22.31M,27.57M,3.87M,2.40M,0.87M,0.60M,154.21M,2016,2025-08-15 15:18:49
ATL,92.36M,25.63M,2.26M,26.59M,5.59M,32.13M,53.94M,26.89M,9.52M,17.54M,6.78M,3.19M,2.73M,0.86M,153.82M,2016,2025-08-15 15:18:49
DAL,85.73M,24.28M,9.85M,20.14M,9.65M,21.39M,60.91M,14.55M,16.96M,29.40M,5.92M,3.30M,1.45M,1.17M,152.74M,2016,2025-08-15 15:18:49
KC,73.54M,20.34M,8.21M,16.20M,4.92M,21.60M,72.85M,18.04M,33.40M,21.43M,6.03M,1.05M,4.45M,0.53M,152.51M,2016,2025-08-15 15:18:49
IND,82.01M,20.21M,5.74M,17.62M,11.26M,27.63M,63.27M,10.72M,26.11M,26.44M,6.75M,3.25M,2.70M,0.80M,152.48M,2016,2025-08-15 15:18:49
BUF,68.91M,10.29M,10.63M,15.93M,8.21M,22.53M,78.65M,39.35M,7.72M,31.58M,4.48M,2.76M,0.60M,1.12M,152.34M,2016,2025-08-15 15:18:49
HOU,66.77M,14.41M,10.32M,7.16M,2.87M,31.43M,81.41M,24.64M,28.50M,28.28M,3.81M,1.13M,1.80M,0.88M,152.06M,2016,2025-08-15 15:18:49
PHI,80.00M,16.58M,14.42M,8.55M,6.48M,35.04M,66.69M,20.72M,21.89M,24.09M,4.15M,0.68M,2.21M,1.27M,151.96M,2016,2025-08-15 15:18:49
PIT,83.65M,25.78M,5.10M,17.08M,7.43M,28.56M,64.01M,14.33M,31.10M,18.59M,2.92M,1.72M,0.53M,0.68M,151.42M,2016,2025-08-15 15:18:49
MIA,65.46M,13.38M,2.83M,8.09M,10.78M,30.42M,82.81M,41.17M,11.68M,29.97M,3.07M,0.56M,1.30M,1.22M,151.39M,2016,2025-08-15 15:18:49
BAL,74.40M,24.16M,6.25M,15.43M,7.69M,21.38M,67.76M,8.12M,26.37M,33.27M,7.54M,3.50M,3.10M,0.94M,150.96M,2016,2025-08-15 15:18:49
