Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
MIA,5.71M,6.26M,15.79M,4.03M,36.13M,28.01M,19.78M,13.87M,1.34M,1.29M,0.85M,133.07M,2011,2025-08-15 15:18:04
PIT,15.46M,4.03M,9.27M,6.00M,20.40M,19.06M,28.65M,22.75M,1.15M,0.98M,0.79M,128.56M,2011,2025-08-15 15:18:04
ATL,16.48M,13.06M,13.48M,10.18M,16.78M,12.79M,22.40M,17.50M,1.81M,0.40M,0.94M,126.21M,2011,2025-08-15 15:18:04
WAS,2.61M,4.80M,10.05M,8.57M,29.18M,21.57M,15.38M,29.91M,0.53M,1.35M,0.45M,126.05M,2011,2025-08-15 15:18:04
PHI,20.71M,1.88M,10.62M,3.77M,18.72M,33.30M,9.32M,24.98M,0.48M,0.38M,0.92M,125.77M,2011,2025-08-15 15:18:04
NYG,18.09M,11.92M,6.81M,1.52M,26.80M,24.96M,12.33M,18.86M,1.50M,0.86M,0.92M,125.05M,2011,2025-08-15 15:18:04
NYJ,19.31M,3.04M,10.59M,3.13M,27.24M,9.80M,28.31M,21.72M,0.55M,0.38M,0.45M,124.98M,2011,2025-08-15 15:18:04
MIN,8.04M,14.17M,8.10M,9.26M,14.09M,28.12M,15.41M,21.87M,2.38M,1.51M,0.90M,123.85M,2011,2025-08-15 15:18:04
DET,9.05M,7.47M,24.03M,5.64M,22.67M,27.31M,9.12M,12.07M,2.85M,1.37M,0.88M,122.45M,2011,2025-08-15 15:18:04
HOU,12.33M,3.45M,16.17M,7.07M,18.87M,30.11M,8.57M,22.03M,2.15M,0.35M,0.45M,122.14M,2011,2025-08-15 15:18:04
CAR,5.49M,10.93M,13.44M,7.12M,28.96M,16.62M,17.10M,15.75M,2.40M,1.96M,1.20M,121.91M,2011,2025-08-15 15:18:04
IND,19.82M,8.75M,13.19M,10.35M,12.72M,8.50M,28.65M,15.29M,2.60M,0.53M,-,120.76M,2011,2025-08-15 15:18:04
BAL,6.13M,5.44M,12.84M,2.72M,20.05M,12.85M,28.21M,25.43M,2.10M,1.90M,0.45M,120.45M,2011,2025-08-15 15:18:04
ARI,11.71M,4.64M,20.49M,4.49M,23.29M,11.71M,14.21M,23.63M,2.25M,0.67M,1.00M,118.51M,2011,2025-08-15 15:18:04
SD,16.01M,4.16M,18.44M,7.41M,24.39M,17.78M,9.16M,13.88M,1.80M,1.34M,0.45M,117.12M,2011,2025-08-15 15:18:04
GB,8.82M,5.68M,18.07M,3.12M,19.07M,11.53M,18.26M,25.48M,2.25M,0.41M,0.73M,116.06M,2011,2025-08-15 15:18:04
SF,7.09M,10.14M,12.39M,9.11M,18.01M,20.85M,14.55M,17.57M,1.92M,1.34M,1.13M,115.37M,2011,2025-08-15 15:18:04
NE,14.04M,3.86M,11.51M,4.36M,27.54M,18.66M,18.21M,13.38M,2.60M,0.50M,0.38M,115.25M,2011,2025-08-15 15:18:04
TEN,10.23M,7.38M,9.09M,3.89M,28.27M,10.44M,17.06M,21.57M,3.23M,1.13M,-,113.61M,2011,2025-08-15 15:18:04
OAK,8.35M,14.99M,14.80M,5.04M,9.79M,21.64M,11.93M,14.69M,3.73M,4.30M,0.96M,110.66M,2011,2025-08-15 15:18:04
STL,14.62M,11.64M,7.02M,2.84M,29.60M,16.76M,5.69M,16.38M,3.56M,1.34M,0.38M,109.92M,2011,2025-08-15 15:18:04
BUF,8.16M,9.21M,11.54M,3.24M,8.63M,26.14M,18.16M,19.20M,1.97M,1.68M,0.48M,109.50M,2011,2025-08-15 15:18:04
DEN,0.70M,5.95M,6.42M,6.99M,11.88M,18.83M,30.99M,23.80M,2.44M,0.41M,1.05M,109.43M,2011,2025-08-15 15:18:04
SEA,7.65M,6.18M,13.63M,5.67M,25.66M,17.94M,12.78M,16.84M,-,1.21M,0.41M,109.31M,2011,2025-08-15 15:18:04
CIN,2.95M,5.14M,9.35M,5.19M,25.96M,18.14M,13.55M,26.03M,0.69M,0.57M,0.60M,108.79M,2011,2025-08-15 15:18:04
CHI,10.00M,4.46M,10.30M,5.02M,16.03M,18.43M,20.12M,17.00M,2.15M,2.90M,1.05M,108.19M,2011,2025-08-15 15:18:04
NO,13.09M,11.37M,12.51M,2.07M,15.72M,13.47M,21.19M,15.38M,1.63M,0.52M,0.41M,107.73M,2011,2025-08-15 15:18:04
DAL,10.22M,4.69M,11.25M,10.31M,15.65M,11.65M,18.20M,20.45M,1.27M,2.58M,0.81M,107.08M,2011,2025-08-15 15:18:04
CLE,4.05M,3.88M,7.03M,9.56M,33.64M,7.71M,14.30M,20.20M,3.25M,1.31M,-,105.42M,2011,2025-08-15 15:18:04
KC,16.38M,9.49M,8.71M,1.64M,9.04M,22.22M,12.87M,18.27M,0.93M,1.98M,0.69M,104.48M,2011,2025-08-15 15:18:04
JAX,4.45M,8.24M,6.33M,5.14M,14.24M,17.30M,11.91M,14.12M,2.41M,-,0.88M,90.62M,2011,2025-08-15 15:18:04
TB,2.90M,2.41M,7.59M,9.17M,26.36M,10.34M,8.74M,13.18M,1.84M,4.00M,0.78M,87.73M,2011,2025-08-15 15:18:04
WAS,-,0.53M,-,-,-,-,-,-,-,-,-,0.53M,2011,2025-08-15 15:18:04
