Team,OFF,QB,RB,WR,TE,OL,DEF,DL,LB,SEC,SPT,K,P,LS,Total,Year,Scraped_Date
KC,56.39M,9.98M,10.02M,18.03M,5.12M,13.55M,77.57M,24.94M,24.69M,31.74M,5.50M,2.40M,2.31M,0.79M,143.96M,2012,2025-08-15 15:18:14
SF,59.35M,11.05M,9.43M,14.26M,9.20M,14.45M,70.83M,20.20M,30.15M,22.79M,6.73M,3.62M,1.96M,1.15M,139.21M,2012,2025-08-15 15:18:14
TB,79.76M,8.82M,3.58M,22.52M,4.19M,40.17M,42.91M,21.54M,12.85M,14.81M,8.71M,4.91M,3.00M,0.81M,137.72M,2012,2025-08-15 15:18:14
DEN,55.88M,19.76M,8.13M,7.31M,4.44M,16.23M,73.69M,12.18M,34.58M,27.94M,2.93M,1.81M,0.54M,0.57M,133.89M,2012,2025-08-15 15:18:14
DAL,67.39M,11.29M,7.53M,18.52M,9.19M,19.97M,61.85M,19.13M,24.65M,19.02M,2.85M,0.50M,1.39M,0.95M,133.05M,2012,2025-08-15 15:18:14
DET,63.39M,11.58M,4.03M,21.09M,5.97M,24.53M,60.39M,32.74M,10.45M,17.65M,4.82M,3.23M,0.99M,0.61M,132.86M,2012,2025-08-15 15:18:14
NYJ,57.50M,9.99M,3.08M,16.23M,8.35M,20.19M,65.48M,8.69M,31.66M,32.33M,1.65M,0.64M,0.47M,0.54M,132.82M,2012,2025-08-15 15:18:14
BUF,51.29M,9.80M,7.55M,16.52M,4.10M,13.14M,70.90M,40.28M,15.86M,18.59M,5.59M,2.52M,2.07M,1.01M,132.48M,2012,2025-08-15 15:18:14
BAL,52.68M,8.49M,10.46M,12.72M,2.04M,14.57M,63.45M,15.22M,28.29M,29.93M,3.73M,0.99M,2.20M,0.54M,129.85M,2012,2025-08-15 15:18:14
NE,61.74M,9.06M,3.78M,19.42M,10.20M,24.76M,55.05M,20.21M,19.26M,18.65M,4.05M,3.00M,0.59M,0.47M,129.56M,2012,2025-08-15 15:18:14
ATL,65.28M,14.04M,9.84M,14.92M,7.54M,18.35M,57.59M,17.11M,14.24M,27.54M,3.52M,2.61M,0.49M,0.42M,127.68M,2012,2025-08-15 15:18:14
CAR,63.09M,6.41M,13.46M,11.78M,4.65M,26.61M,56.60M,21.10M,18.78M,19.70M,3.34M,1.61M,0.97M,0.77M,127.17M,2012,2025-08-15 15:18:14
