Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
IND,56.55M,5.95M,20.72M,10.98M,51.47M,51.66M,7.97M,22.31M,0.70M,2.16M,0.91M,231.39M,2020,2025-08-15 15:24:23
BUF,8.79M,5.54M,37.43M,10.23M,43.35M,52.86M,17.38M,38.20M,1.54M,0.75M,0.98M,218.23M,2020,2025-08-15 15:24:23
KC,8.22M,4.63M,37.73M,13.50M,38.81M,45.74M,22.84M,38.85M,3.20M,1.32M,1.02M,216.75M,2020,2025-08-15 15:24:23
TEN,23.33M,9.51M,21.89M,8.24M,47.88M,42.85M,13.27M,38.61M,4.91M,3.56M,1.89M,216.61M,2020,2025-08-15 15:24:23
LV,31.66M,8.10M,18.84M,15.82M,53.46M,33.41M,18.56M,31.18M,0.90M,0.78M,0.75M,214.15M,2020,2025-08-15 15:24:23
HOU,14.38M,17.19M,37.25M,6.23M,38.51M,24.71M,34.14M,29.60M,4.83M,2.42M,0.91M,210.78M,2020,2025-08-15 15:24:23
CHI,16.48M,6.47M,28.56M,15.81M,31.53M,23.99M,45.67M,30.69M,2.77M,1.85M,0.89M,204.71M,2020,2025-08-15 15:24:23
CAR,17.52M,12.54M,21.30M,6.99M,55.65M,38.32M,22.19M,23.44M,2.36M,1.71M,1.19M,204.04M,2020,2025-08-15 15:24:23
MIA,18.72M,11.83M,14.89M,4.61M,25.95M,29.85M,24.04M,68.52M,0.77M,2.13M,0.79M,202.76M,2020,2025-08-15 15:24:23
SF,28.16M,12.64M,13.34M,8.93M,37.38M,39.90M,10.04M,37.81M,5.01M,0.87M,1.72M,202.66M,2020,2025-08-15 15:24:23
DET,23.87M,5.27M,19.51M,11.03M,30.00M,40.65M,18.32M,44.95M,3.90M,1.32M,1.00M,201.27M,2020,2025-08-15 15:24:23
SEA,32.07M,10.08M,18.37M,14.89M,31.98M,32.42M,30.03M,24.26M,3.60M,0.82M,1.04M,200.89M,2020,2025-08-15 15:24:23
PHI,21.77M,4.06M,30.90M,16.03M,40.11M,42.52M,10.69M,30.04M,2.63M,0.75M,1.10M,200.59M,2020,2025-08-15 15:24:23
GB,24.65M,7.15M,20.56M,8.74M,47.64M,16.78M,42.70M,25.46M,4.02M,0.87M,0.77M,199.88M,2020,2025-08-15 15:24:23
TB,27.83M,7.36M,15.65M,19.06M,40.51M,21.39M,50.02M,13.59M,1.01M,2.72M,0.71M,199.84M,2020,2025-08-15 15:24:23
ATL,21.53M,15.38M,28.77M,3.89M,47.20M,34.81M,13.77M,30.09M,0.94M,0.63M,1.05M,199.34M,2020,2025-08-15 15:24:23
CLE,12.09M,8.90M,33.66M,9.70M,43.52M,34.14M,21.44M,31.42M,1.10M,0.68M,1.00M,199.10M,2020,2025-08-15 15:24:23
CIN,7.97M,10.34M,37.68M,10.18M,30.31M,40.37M,8.32M,45.73M,2.51M,3.05M,1.17M,197.64M,2020,2025-08-15 15:24:23
LAR,29.77M,13.96M,38.31M,12.71M,23.12M,35.05M,17.37M,19.47M,1.05M,4.69M,1.11M,196.61M,2020,2025-08-15 15:24:23
LAC,13.08M,7.69M,21.37M,16.25M,34.93M,46.44M,20.73M,32.99M,0.76M,0.76M,0.83M,195.83M,2020,2025-08-15 15:24:23
DEN,17.83M,9.86M,9.49M,8.57M,25.52M,24.45M,43.76M,48.33M,4.81M,1.53M,0.61M,195.78M,2020,2025-08-15 15:24:23
MIN,21.87M,7.16M,28.26M,11.57M,24.38M,29.77M,26.92M,38.26M,2.28M,1.82M,0.98M,195.03M,2020,2025-08-15 15:24:23
PIT,25.94M,4.24M,7.98M,8.49M,37.13M,32.35M,39.33M,30.49M,2.76M,1.86M,1.14M,194.67M,2020,2025-08-15 15:24:23
ARI,9.58M,17.28M,23.60M,6.07M,29.39M,14.82M,54.06M,32.49M,3.69M,2.01M,1.17M,194.16M,2020,2025-08-15 15:24:23
NO,35.59M,10.12M,16.00M,13.54M,32.79M,31.70M,16.94M,26.43M,4.20M,4.87M,1.00M,194.08M,2020,2025-08-15 15:24:23
WAS,30.03M,5.83M,12.61M,7.94M,40.42M,38.66M,14.87M,35.53M,3.44M,2.60M,1.20M,193.14M,2020,2025-08-15 15:24:23
NYG,9.23M,12.96M,24.93M,10.61M,36.51M,25.00M,29.95M,35.10M,3.23M,2.79M,1.09M,192.62M,2020,2025-08-15 15:24:23
DAL,35.87M,12.92M,18.42M,6.61M,34.35M,35.73M,19.62M,22.02M,1.97M,2.74M,0.89M,191.28M,2020,2025-08-15 15:24:23
BAL,6.06M,8.16M,13.24M,12.30M,28.00M,33.49M,28.34M,49.67M,5.10M,2.19M,1.42M,190.99M,2020,2025-08-15 15:24:23
NE,16.38M,11.91M,22.96M,2.95M,39.48M,23.21M,8.28M,56.36M,2.42M,0.75M,1.08M,186.65M,2020,2025-08-15 15:24:23
JAX,21.50M,8.94M,16.75M,7.15M,33.80M,28.34M,34.02M,26.59M,4.83M,0.89M,0.61M,184.29M,2020,2025-08-15 15:24:23
NYJ,10.91M,17.81M,33.47M,5.33M,30.58M,22.51M,27.27M,31.17M,1.07M,0.65M,0.95M,182.50M,2020,2025-08-15 15:24:23
