Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
CAR,14.64M,15.03M,32.94M,19.16M,69.83M,24.28M,26.47M,52.58M,2.55M,2.73M,1.15M,261.36M,2024,2025-08-15 15:16:57
LAC,21.92M,5.76M,39.90M,7.57M,33.00M,12.34M,69.32M,61.60M,2.39M,2.51M,1.46M,259.84M,2024,2025-08-15 15:16:57
CIN,31.04M,9.76M,37.12M,10.92M,49.44M,64.80M,21.17M,30.43M,2.63M,1.02M,0.99M,259.32M,2024,2025-08-15 15:16:57
NYJ,29.24M,6.13M,29.75M,14.94M,45.81M,58.15M,24.33M,44.09M,2.50M,2.05M,1.39M,258.49M,2024,2025-08-15 15:16:57
NYG,54.87M,6.02M,21.86M,6.76M,50.96M,37.00M,44.05M,24.56M,7.77M,2.67M,1.15M,258.03M,2024,2025-08-15 15:16:57
ARI,50.55M,16.24M,17.20M,8.73M,48.75M,35.82M,21.55M,50.01M,5.60M,1.84M,1.64M,257.92M,2024,2025-08-15 15:16:57
BUF,33.49M,4.96M,45.34M,12.18M,37.59M,46.82M,24.43M,41.19M,4.57M,2.07M,1.21M,256.07M,2024,2025-08-15 15:16:57
NO,18.16M,23.33M,25.26M,18.31M,54.91M,44.77M,19.45M,46.79M,1.14M,0.80M,1.41M,255.45M,2024,2025-08-15 15:16:57
CHI,11.60M,10.52M,39.25M,19.98M,40.16M,47.28M,37.72M,39.49M,4.26M,1.02M,2.27M,254.72M,2024,2025-08-15 15:16:57
LAR,50.19M,4.18M,40.09M,18.98M,68.66M,32.62M,14.44M,22.62M,0.87M,1.03M,0.92M,254.60M,2024,2025-08-15 15:16:57
HOU,15.20M,9.99M,32.04M,15.40M,53.53M,59.78M,15.06M,42.54M,4.40M,2.23M,1.15M,253.61M,2024,2025-08-15 15:16:57
SEA,27.97M,5.47M,42.74M,16.15M,24.03M,38.62M,27.64M,59.25M,5.51M,3.92M,0.92M,253.36M,2024,2025-08-15 15:16:57
ATL,33.43M,10.95M,20.02M,16.95M,55.88M,38.74M,29.07M,38.11M,5.53M,3.00M,0.99M,253.13M,2024,2025-08-15 15:16:57
MIN,40.86M,10.63M,18.33M,16.61M,50.18M,23.02M,40.04M,45.88M,1.06M,0.99M,1.70M,252.56M,2024,2025-08-15 15:16:57
DEN,66.11M,7.43M,20.92M,7.37M,45.61M,32.60M,30.88M,32.83M,4.09M,2.04M,0.99M,252.14M,2024,2025-08-15 15:16:57
JAX,19.12M,7.74M,45.02M,11.35M,51.43M,30.78M,47.20M,34.65M,0.85M,2.62M,1.31M,252.09M,2024,2025-08-15 15:16:57
BAL,34.07M,11.93M,17.89M,19.40M,41.02M,20.06M,30.92M,64.72M,4.08M,1.16M,1.46M,251.87M,2024,2025-08-15 15:16:57
GB,22.46M,22.13M,8.82M,5.60M,49.09M,65.10M,13.79M,60.77M,1.29M,0.92M,1.33M,251.59M,2024,2025-08-15 15:16:57
PHI,19.86M,6.66M,26.47M,13.42M,55.32M,33.23M,47.54M,41.16M,4.57M,1.34M,1.04M,250.87M,2024,2025-08-15 15:16:57
IND,14.06M,13.34M,28.26M,12.98M,69.27M,51.98M,25.92M,24.57M,6.01M,2.51M,1.43M,250.32M,2024,2025-08-15 15:16:57
KC,39.79M,6.26M,28.25M,25.91M,61.43M,41.57M,12.42M,28.45M,3.94M,0.87M,1.15M,250.03M,2024,2025-08-15 15:16:57
CLE,31.78M,11.58M,22.84M,14.25M,53.39M,52.84M,11.85M,43.40M,3.06M,1.56M,1.96M,248.71M,2024,2025-08-15 15:16:57
PIT,13.94M,8.85M,16.90M,7.61M,47.65M,37.40M,58.77M,47.68M,4.72M,3.03M,1.16M,247.81M,2024,2025-08-15 15:16:57
SF,10.67M,11.67M,27.69M,16.47M,43.01M,53.73M,30.53M,43.98M,1.94M,2.40M,1.30M,247.00M,2024,2025-08-15 15:16:57
TEN,15.01M,12.12M,32.71M,4.51M,36.28M,32.15M,46.68M,59.61M,3.97M,0.99M,1.15M,245.17M,2024,2025-08-15 15:16:57
TB,11.72M,5.07M,57.98M,4.23M,31.31M,34.90M,38.31M,53.12M,5.00M,1.48M,1.36M,244.48M,2024,2025-08-15 15:16:57
WAS,14.70M,6.75M,39.26M,9.93M,51.34M,62.87M,16.75M,29.76M,3.05M,3.75M,1.45M,240.63M,2024,2025-08-15 15:16:57
DAL,53.01M,11.00M,28.57M,4.75M,41.88M,45.76M,10.88M,37.78M,0.92M,3.80M,1.15M,240.41M,2024,2025-08-15 15:16:57
MIA,13.65M,8.25M,40.92M,7.33M,33.28M,23.09M,50.73M,49.59M,4.51M,1.68M,2.17M,238.32M,2024,2025-08-15 15:16:57
DET,29.65M,11.50M,17.97M,6.09M,53.63M,47.02M,22.16M,39.55M,2.10M,3.98M,0.80M,234.43M,2024,2025-08-15 15:16:57
NE,17.88M,10.48M,30.55M,10.12M,41.18M,32.99M,32.74M,49.70M,1.37M,0.96M,1.63M,229.60M,2024,2025-08-15 15:16:57
LV,16.86M,7.10M,33.75M,10.09M,35.58M,72.71M,14.54M,26.10M,4.65M,3.52M,1.13M,226.10M,2024,2025-08-15 15:16:57
