Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
NYJ,5.31M,8.15M,21.61M,4.27M,33.75M,18.19M,17.11M,40.75M,1.77M,0.62M,0.88M,153.01M,2015,2025-08-15 15:18:42
PHI,17.68M,15.05M,11.55M,6.91M,28.22M,18.61M,20.95M,27.36M,0.85M,2.08M,1.07M,150.33M,2015,2025-08-15 15:18:42
SEA,8.56M,10.39M,17.89M,10.65M,15.58M,29.18M,13.86M,34.29M,3.33M,1.50M,0.85M,147.36M,2015,2025-08-15 15:18:42
MIN,5.27M,16.96M,22.30M,8.96M,29.94M,26.54M,12.12M,20.58M,2.24M,0.63M,0.89M,147.02M,2015,2025-08-15 15:18:42
CAR,15.43M,14.33M,13.08M,9.18M,21.78M,31.53M,17.94M,13.73M,3.10M,0.68M,1.03M,145.23M,2015,2025-08-15 15:18:42
DEN,19.16M,2.53M,23.10M,8.38M,26.77M,10.21M,24.55M,25.19M,1.32M,2.35M,0.85M,145.10M,2015,2025-08-15 15:18:42
MIA,7.50M,3.52M,18.88M,6.48M,24.93M,34.53M,17.87M,28.20M,0.47M,1.31M,1.18M,144.88M,2015,2025-08-15 15:18:42
ARI,11.86M,2.81M,18.60M,5.46M,32.84M,29.36M,14.47M,27.01M,0.51M,1.13M,0.67M,144.71M,2015,2025-08-15 15:18:42
CIN,10.41M,4.07M,19.37M,3.46M,26.20M,26.68M,21.97M,25.52M,1.95M,2.77M,0.90M,143.91M,2015,2025-08-15 15:18:42
IND,11.26M,6.29M,13.84M,4.16M,19.33M,16.49M,32.99M,31.78M,2.75M,3.20M,1.30M,143.40M,2015,2025-08-15 15:18:42
DET,18.68M,9.17M,26.11M,7.77M,11.27M,34.86M,13.71M,18.39M,1.48M,0.63M,0.67M,143.22M,2015,2025-08-15 15:18:42
NO,25.36M,6.30M,10.31M,13.07M,24.80M,12.76M,22.39M,22.29M,0.59M,3.47M,0.88M,143.21M,2015,2025-08-15 15:18:42
HOU,9.87M,10.93M,14.40M,5.50M,25.30M,21.36M,21.89M,28.94M,0.64M,2.08M,0.94M,142.40M,2015,2025-08-15 15:18:42
GB,19.94M,4.09M,12.58M,3.35M,21.19M,24.35M,25.18M,24.17M,3.55M,1.34M,1.03M,141.86M,2015,2025-08-15 15:18:42
CHI,17.84M,11.81M,18.62M,7.53M,17.74M,18.70M,23.08M,20.91M,3.60M,0.57M,1.11M,141.51M,2015,2025-08-15 15:18:42
KC,21.48M,9.74M,16.03M,4.53M,16.94M,13.51M,23.05M,28.91M,1.53M,3.80M,0.44M,141.44M,2015,2025-08-15 15:18:42
NE,14.83M,3.99M,16.81M,12.53M,25.72M,10.34M,24.71M,26.46M,3.60M,1.09M,0.48M,141.32M,2015,2025-08-15 15:18:42
BAL,17.07M,12.60M,11.45M,8.80M,22.14M,16.97M,21.86M,24.24M,2.36M,2.40M,0.67M,141.22M,2015,2025-08-15 15:18:42
SD,23.16M,13.06M,10.30M,11.60M,20.34M,13.46M,17.80M,24.99M,0.81M,4.35M,0.88M,140.81M,2015,2025-08-15 15:18:42
STL,8.84M,5.53M,11.91M,14.15M,22.44M,31.77M,30.03M,10.46M,0.80M,2.37M,0.85M,140.69M,2015,2025-08-15 15:18:42
WAS,8.88M,3.56M,24.78M,6.17M,28.22M,27.07M,17.40M,19.93M,0.62M,0.51M,1.11M,139.79M,2015,2025-08-15 15:18:42
CLE,7.13M,3.16M,15.45M,6.55M,27.95M,16.32M,23.74M,36.00M,0.44M,2.05M,0.44M,139.65M,2015,2025-08-15 15:18:42
PIT,20.37M,4.31M,11.67M,6.27M,19.40M,14.99M,29.67M,23.63M,5.48M,0.44M,0.67M,138.86M,2015,2025-08-15 15:18:42
BUF,6.10M,10.37M,13.66M,7.45M,16.67M,44.55M,10.37M,22.95M,2.90M,0.51M,1.05M,138.34M,2015,2025-08-15 15:18:42
DAL,20.03M,4.32M,16.80M,8.40M,21.89M,14.73M,14.79M,31.38M,2.50M,1.00M,1.12M,137.82M,2015,2025-08-15 15:18:42
OAK,3.42M,4.73M,12.69M,4.95M,31.26M,23.90M,19.08M,26.22M,3.61M,1.54M,1.23M,137.07M,2015,2025-08-15 15:18:42
SF,17.32M,5.25M,13.78M,7.38M,23.45M,18.78M,22.01M,20.80M,4.13M,0.98M,0.81M,136.74M,2015,2025-08-15 15:18:42
ATL,20.58M,3.45M,25.78M,2.98M,28.45M,22.75M,8.61M,15.44M,3.03M,3.36M,0.76M,136.24M,2015,2025-08-15 15:18:42
JAX,8.25M,6.23M,7.38M,16.64M,25.11M,40.04M,13.70M,14.99M,2.32M,0.88M,0.59M,136.13M,2015,2025-08-15 15:18:42
TB,5.97M,4.71M,18.63M,4.57M,27.88M,34.98M,17.04M,17.57M,0.67M,0.44M,0.51M,133.57M,2015,2025-08-15 15:18:42
TEN,6.57M,6.54M,8.35M,11.48M,17.80M,22.53M,20.54M,29.53M,1.92M,2.00M,0.83M,128.66M,2015,2025-08-15 15:18:42
NYG,15.25M,7.42M,15.21M,2.23M,26.28M,22.88M,11.77M,22.34M,1.35M,1.41M,1.36M,128.32M,2015,2025-08-15 15:18:42
