Team,OFF,QB,RB,WR,TE,OL,DEF,DL,LB,SEC,SPT,K,P,LS,Total,Year,Scraped_Date
SF,119.25M,40.72M,9.10M,20.26M,8.28M,38.31M,74.09M,23.07M,24.09M,26.93M,4.05M,2.25M,0.75M,1.05M,199.31M,2018,2025-08-15 15:19:08
JAX,80.26M,11.12M,15.94M,17.83M,7.63M,28.26M,113.84M,57.68M,12.56M,43.78M,2.85M,0.83M,0.75M,1.27M,198.53M,2018,2025-08-15 15:19:08
MIN,89.14M,26.47M,8.44M,18.39M,10.08M,26.90M,101.97M,44.57M,19.05M,38.78M,3.56M,2.08M,0.56M,0.93M,196.61M,2018,2025-08-15 15:19:08
TB,88.61M,12.64M,4.55M,35.04M,10.96M,26.32M,92.16M,53.88M,15.04M,23.26M,8.21M,4.58M,3.00M,0.63M,189.90M,2018,2025-08-15 15:19:08
CAR,94.82M,22.38M,9.99M,14.80M,9.43M,37.56M,83.38M,43.44M,18.03M,21.92M,6.27M,3.69M,1.53M,1.06M,184.47M,2018,2025-08-15 15:19:08
TEN,75.50M,9.91M,6.89M,12.65M,12.70M,33.83M,94.11M,29.74M,33.06M,35.25M,8.08M,2.95M,3.86M,1.27M,182.40M,2018,2025-08-15 15:19:08
CLE,105.56M,25.84M,7.65M,26.73M,6.83M,38.38M,71.51M,18.42M,22.84M,30.68M,3.77M,0.51M,2.55M,0.71M,181.95M,2018,2025-08-15 15:19:08
DEN,82.82M,19.15M,2.12M,22.59M,3.02M,36.01M,91.16M,20.93M,35.35M,35.57M,6.21M,3.50M,2.08M,0.63M,181.62M,2018,2025-08-15 15:19:08
CIN,85.34M,17.87M,6.56M,23.80M,9.27M,27.36M,89.89M,39.31M,19.03M,31.71M,4.93M,1.50M,2.30M,1.13M,180.33M,2018,2025-08-15 15:19:08
LAR,70.33M,8.86M,9.04M,19.45M,2.81M,31.05M,100.78M,42.44M,23.18M,35.16M,7.79M,3.76M,2.68M,1.35M,179.88M,2018,2025-08-15 15:19:08
BUF,92.81M,15.29M,12.95M,17.37M,10.40M,35.34M,80.88M,46.81M,10.93M,23.39M,5.06M,3.00M,1.51M,0.56M,179.60M,2018,2025-08-15 15:19:08
CHI,89.59M,15.51M,3.07M,27.24M,15.54M,27.59M,80.38M,21.15M,36.85M,25.87M,5.94M,3.81M,1.50M,0.63M,179.46M,2018,2025-08-15 15:19:08
OAK,110.30M,26.17M,7.37M,25.86M,11.85M,38.92M,62.77M,25.38M,13.91M,23.86M,3.74M,1.20M,0.68M,1.85M,178.87M,2018,2025-08-15 15:19:08
LAC,98.48M,23.13M,4.92M,25.87M,6.98M,37.28M,73.20M,36.21M,8.81M,29.57M,3.84M,2.07M,0.71M,1.07M,177.29M,2018,2025-08-15 15:19:08
KC,85.09M,10.06M,5.81M,18.27M,13.33M,35.82M,86.71M,15.62M,41.26M,31.63M,3.09M,0.56M,1.70M,0.83M,176.89M,2018,2025-08-15 15:19:08
NYJ,89.84M,18.01M,9.33M,20.31M,3.85M,39.02M,83.19M,26.84M,17.51M,39.52M,2.41M,1.21M,0.65M,0.56M,176.80M,2018,2025-08-15 15:19:08
NO,101.03M,27.09M,9.63M,13.24M,13.21M,37.50M,70.23M,31.17M,17.15M,22.19M,3.84M,0.63M,2.65M,0.56M,176.02M,2018,2025-08-15 15:19:08
NE,85.83M,23.41M,8.89M,17.13M,16.06M,22.12M,78.70M,18.95M,19.92M,39.82M,7.86M,5.00M,2.00M,0.86M,175.83M,2018,2025-08-15 15:19:08
GB,101.01M,22.13M,2.40M,29.65M,14.46M,34.31M,65.65M,19.85M,28.54M,17.77M,6.32M,5.25M,0.57M,0.50M,175.77M,2018,2025-08-15 15:19:08
DET,86.09M,27.44M,8.94M,16.49M,5.06M,27.99M,82.24M,32.53M,19.61M,30.18M,6.87M,3.20M,2.93M,0.75M,175.50M,2018,2025-08-15 15:19:08
SEA,81.84M,25.72M,5.54M,22.99M,3.77M,24.00M,88.11M,22.21M,26.58M,39.91M,3.80M,2.02M,1.15M,0.63M,175.23M,2018,2025-08-15 15:19:08
DAL,93.00M,11.08M,8.03M,27.78M,3.13M,44.50M,71.85M,39.24M,19.36M,15.54M,3.70M,1.28M,1.70M,0.72M,173.99M,2018,2025-08-15 15:19:08
ATL,97.66M,22.38M,7.43M,24.77M,3.41M,40.12M,67.72M,27.25M,4.72M,36.38M,6.71M,2.53M,2.70M,1.49M,173.65M,2018,2025-08-15 15:19:08
ARI,83.47M,23.02M,6.28M,22.52M,8.70M,23.59M,80.95M,26.39M,16.94M,37.62M,7.22M,3.71M,2.63M,0.88M,172.92M,2018,2025-08-15 15:19:08
WAS,92.45M,22.40M,7.55M,12.10M,16.52M,35.17M,74.56M,17.12M,24.34M,33.10M,4.50M,1.60M,1.75M,1.15M,172.80M,2018,2025-08-15 15:19:08
HOU,71.71M,4.59M,9.23M,25.40M,6.40M,25.78M,96.95M,20.45M,33.36M,43.26M,2.60M,0.56M,1.08M,0.97M,172.09M,2018,2025-08-15 15:19:08
PHI,87.39M,21.52M,5.34M,17.98M,8.65M,35.76M,80.08M,47.14M,9.92M,23.15M,2.10M,0.56M,0.74M,0.81M,171.56M,2018,2025-08-15 15:19:08
NYG,83.20M,23.63M,11.11M,15.45M,7.28M,26.45M,83.26M,27.65M,30.88M,25.21M,3.22M,0.56M,1.65M,1.02M,170.98M,2018,2025-08-15 15:19:08
BAL,80.83M,27.57M,4.90M,17.32M,7.09M,24.73M,78.17M,10.71M,25.29M,42.74M,10.18M,5.49M,3.55M,1.14M,170.53M,2018,2025-08-15 15:19:08
MIA,79.63M,10.63M,4.19M,26.22M,6.07M,33.08M,88.35M,53.20M,17.52M,17.65M,1.70M,0.50M,0.56M,0.65M,170.26M,2018,2025-08-15 15:19:08
PIT,80.33M,24.91M,2.20M,13.25M,5.80M,35.09M,72.33M,18.69M,23.28M,31.17M,5.86M,3.23M,1.91M,0.73M,161.69M,2018,2025-08-15 15:19:08
IND,94.38M,25.84M,4.06M,22.36M,13.80M,28.26M,44.34M,25.60M,6.31M,12.88M,4.19M,3.63M,0.56M,-,144.25M,2018,2025-08-15 15:19:08
