Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
NYJ,13.52M,8.67M,33.27M,8.19M,46.29M,39.96M,16.72M,34.30M,0.73M,1.15M,1.12M,205.74M,2021,2025-08-15 15:21:15
DAL,19.18M,10.04M,33.93M,8.82M,39.21M,43.48M,21.67M,21.57M,2.87M,1.93M,0.99M,205.33M,2021,2025-08-15 15:21:15
CLE,18.44M,11.44M,35.58M,16.53M,48.83M,29.68M,9.08M,27.86M,1.40M,0.95M,1.15M,202.64M,2021,2025-08-15 15:21:15
NE,8.44M,7.50M,22.13M,15.57M,33.15M,20.14M,32.41M,55.28M,2.87M,0.96M,1.18M,200.57M,2021,2025-08-15 15:21:15
DET,36.04M,5.67M,11.43M,13.07M,32.65M,14.87M,45.34M,32.76M,2.28M,0.80M,0.73M,196.59M,2021,2025-08-15 15:21:15
MIA,12.17M,6.66M,40.21M,10.31M,26.27M,26.79M,16.78M,50.60M,3.39M,1.10M,0.83M,195.16M,2021,2025-08-15 15:21:15
SF,33.05M,11.24M,12.90M,9.27M,33.96M,44.10M,17.04M,26.32M,2.80M,1.05M,0.96M,195.10M,2021,2025-08-15 15:21:15
WAS,25.83M,5.25M,12.32M,6.89M,46.45M,34.85M,11.37M,45.11M,2.03M,2.61M,0.69M,193.57M,2021,2025-08-15 15:21:15
CIN,10.35M,11.86M,21.09M,8.82M,31.56M,50.86M,7.59M,45.85M,0.78M,1.26M,1.26M,191.29M,2021,2025-08-15 15:21:15
ARI,11.56M,4.68M,23.25M,11.70M,39.71M,18.51M,54.94M,22.10M,2.01M,1.12M,1.56M,191.13M,2021,2025-08-15 15:21:15
LV,27.96M,10.70M,13.94M,9.79M,45.04M,31.93M,20.85M,22.74M,3.51M,1.25M,1.37M,189.93M,2021,2025-08-15 15:21:15
BUF,13.82M,5.56M,23.74M,2.51M,40.27M,47.13M,23.62M,27.39M,1.46M,1.60M,1.45M,189.34M,2021,2025-08-15 15:21:15
PHI,37.56M,4.03M,21.92M,12.59M,39.42M,44.21M,4.59M,20.24M,2.10M,0.68M,1.83M,189.18M,2021,2025-08-15 15:21:15
CHI,15.16M,7.06M,25.85M,10.87M,25.38M,29.04M,43.05M,28.63M,1.63M,1.08M,0.99M,188.75M,2021,2025-08-15 15:21:15
MIN,33.51M,7.60M,14.91M,6.76M,23.02M,36.73M,23.98M,32.66M,2.90M,2.66M,0.89M,188.62M,2021,2025-08-15 15:21:15
DEN,7.91M,14.05M,16.89M,7.28M,32.53M,14.63M,43.23M,45.94M,2.31M,2.78M,0.78M,188.34M,2021,2025-08-15 15:21:15
IND,22.99M,7.50M,16.70M,10.36M,44.20M,42.37M,13.57M,25.35M,1.21M,2.00M,1.06M,187.32M,2021,2025-08-15 15:21:15
HOU,23.82M,12.00M,18.52M,7.22M,33.47M,19.42M,30.24M,33.52M,4.40M,3.18M,0.99M,186.83M,2021,2025-08-15 15:21:15
ATL,28.82M,7.68M,17.29M,12.11M,32.70M,32.10M,26.69M,23.61M,0.98M,1.22M,0.85M,185.50M,2021,2025-08-15 15:21:15
NO,22.68M,9.77M,21.13M,6.63M,31.96M,32.96M,12.36M,38.76M,3.96M,2.66M,1.18M,185.31M,2021,2025-08-15 15:21:15
KC,9.61M,6.18M,22.72M,10.23M,29.06M,49.53M,18.05M,32.79M,3.98M,0.85M,1.26M,185.11M,2021,2025-08-15 15:21:15
TEN,12.26M,16.95M,16.64M,7.59M,50.11M,12.15M,21.92M,38.92M,1.61M,3.38M,1.44M,184.42M,2021,2025-08-15 15:21:15
LAR,46.23M,15.31M,19.54M,8.79M,19.91M,29.14M,16.06M,23.72M,0.94M,3.69M,0.91M,184.24M,2021,2025-08-15 15:21:15
LAC,8.96M,8.57M,35.25M,8.05M,31.93M,21.19M,32.93M,32.69M,1.02M,0.85M,0.87M,183.05M,2021,2025-08-15 15:21:15
BAL,4.27M,9.12M,14.79M,11.72M,28.35M,33.30M,19.97M,50.23M,3.48M,2.92M,0.66M,182.78M,2021,2025-08-15 15:21:15
NYG,8.95M,13.50M,23.20M,13.66M,34.14M,21.04M,16.91M,41.35M,3.91M,2.77M,1.20M,182.52M,2021,2025-08-15 15:21:15
CAR,29.44M,10.03M,17.82M,5.39M,23.01M,35.97M,22.23M,31.80M,2.58M,1.39M,1.44M,181.77M,2021,2025-08-15 15:21:15
GB,30.18M,6.83M,26.10M,6.50M,28.19M,15.88M,37.50M,24.87M,3.33M,1.07M,0.87M,181.32M,2021,2025-08-15 15:21:15
TB,13.89M,8.15M,31.82M,11.48M,34.07M,20.75M,35.03M,17.80M,3.83M,2.89M,1.41M,181.12M,2021,2025-08-15 15:21:15
JAX,9.12M,6.73M,15.10M,8.09M,51.74M,21.12M,34.57M,26.51M,5.04M,1.69M,0.78M,180.47M,2021,2025-08-15 15:21:15
PIT,29.86M,5.52M,8.88M,9.86M,26.35M,25.49M,22.81M,37.55M,4.82M,0.91M,0.89M,175.91M,2021,2025-08-15 15:21:15
SEA,33.77M,9.16M,13.48M,6.73M,29.85M,26.29M,23.57M,20.32M,4.35M,2.37M,1.12M,172.70M,2021,2025-08-15 15:21:15
