Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
BUF,13.63M,11.58M,19.84M,3.40M,19.48M,40.76M,13.28M,19.92M,3.64M,0.42M,1.23M,147.68M,2014,2025-08-15 15:18:32
MIA,9.01M,5.68M,28.92M,3.08M,20.27M,25.36M,23.57M,21.47M,0.53M,3.59M,0.98M,142.46M,2014,2025-08-15 15:18:32
TB,5.70M,3.57M,17.26M,4.35M,27.16M,39.37M,10.59M,24.44M,0.42M,3.26M,0.42M,137.12M,2014,2025-08-15 15:18:32
DEN,18.64M,4.16M,19.31M,4.45M,28.48M,10.38M,20.63M,24.59M,1.43M,3.25M,0.58M,135.89M,2014,2025-08-15 15:18:32
CLE,7.17M,9.97M,11.40M,4.70M,30.95M,18.29M,25.71M,24.73M,0.77M,0.50M,0.68M,135.40M,2014,2025-08-15 15:18:32
PHI,3.78M,12.49M,17.78M,5.74M,31.27M,11.01M,22.85M,22.95M,0.53M,1.34M,1.06M,134.78M,2014,2025-08-15 15:18:32
NE,15.61M,4.03M,14.39M,15.19M,20.84M,13.84M,18.46M,26.33M,3.80M,0.50M,0.75M,134.32M,2014,2025-08-15 15:18:32
SD,17.94M,8.85M,14.77M,9.32M,24.33M,7.64M,19.48M,24.40M,1.70M,4.14M,0.84M,134.24M,2014,2025-08-15 15:18:32
GB,19.28M,3.15M,9.49M,2.95M,20.62M,14.49M,30.47M,27.08M,3.40M,1.24M,0.84M,134.04M,2014,2025-08-15 15:18:32
CAR,9.00M,11.73M,11.00M,9.88M,19.17M,33.51M,21.06M,11.37M,1.75M,0.59M,0.98M,133.40M,2014,2025-08-15 15:18:32
ARI,15.95M,3.58M,15.02M,5.04M,25.85M,27.74M,16.20M,20.65M,0.42M,1.70M,1.09M,133.23M,2014,2025-08-15 15:18:32
ATL,18.58M,7.44M,18.79M,3.00M,30.29M,16.24M,18.11M,14.74M,3.31M,1.17M,0.67M,133.01M,2014,2025-08-15 15:18:32
KC,8.84M,11.56M,18.84M,5.65M,12.44M,14.79M,24.76M,29.05M,1.18M,3.80M,0.60M,132.72M,2014,2025-08-15 15:18:32
WAS,7.09M,2.88M,22.40M,4.04M,28.56M,25.74M,25.34M,12.92M,0.59M,0.58M,0.91M,132.41M,2014,2025-08-15 15:18:32
DET,17.03M,7.68M,21.43M,5.56M,12.53M,39.33M,13.14M,12.10M,0.57M,0.54M,0.64M,132.39M,2014,2025-08-15 15:18:32
HOU,15.45M,9.88M,19.92M,6.25M,23.55M,10.55M,15.28M,27.23M,0.62M,2.08M,0.79M,132.04M,2014,2025-08-15 15:18:32
PIT,21.33M,3.09M,7.70M,7.88M,19.58M,9.58M,34.92M,24.46M,1.76M,0.42M,0.64M,131.95M,2014,2025-08-15 15:18:32
NYG,21.14M,5.39M,13.02M,3.04M,27.70M,18.70M,9.74M,27.41M,1.35M,1.98M,1.15M,131.94M,2014,2025-08-15 15:18:32
NO,19.15M,5.95M,15.31M,6.37M,25.78M,10.10M,17.68M,24.14M,1.60M,3.24M,0.86M,131.77M,2014,2025-08-15 15:18:32
CIN,11.00M,4.26M,11.06M,7.93M,21.66M,31.44M,14.60M,24.66M,1.40M,2.32M,0.76M,131.64M,2014,2025-08-15 15:18:32
SF,6.35M,8.76M,15.94M,9.55M,23.80M,19.93M,23.50M,16.92M,2.00M,2.40M,0.57M,131.51M,2014,2025-08-15 15:18:32
CHI,19.37M,10.92M,14.53M,7.86M,17.82M,17.27M,20.87M,17.69M,2.73M,1.25M,0.57M,131.43M,2014,2025-08-15 15:18:32
STL,20.33M,3.66M,7.95M,8.16M,26.60M,30.97M,17.69M,13.01M,0.62M,0.72M,0.75M,131.03M,2014,2025-08-15 15:18:32
SEA,2.07M,9.62M,16.76M,6.77M,24.15M,32.25M,11.65M,22.30M,1.70M,1.40M,0.89M,130.44M,2014,2025-08-15 15:18:32
DAL,13.47M,2.92M,8.52M,10.20M,24.97M,19.81M,20.22M,25.75M,1.70M,0.65M,1.01M,130.23M,2014,2025-08-15 15:18:32
MIN,10.39M,16.62M,10.65M,7.26M,25.58M,27.44M,13.78M,13.32M,0.60M,0.54M,1.27M,130.02M,2014,2025-08-15 15:18:32
JAX,11.50M,5.81M,8.81M,10.95M,21.15M,33.50M,20.42M,10.37M,4.19M,0.77M,0.50M,129.18M,2014,2025-08-15 15:18:32
TEN,6.92M,10.99M,10.15M,8.41M,28.39M,16.19M,17.18M,25.31M,1.34M,1.47M,0.58M,127.60M,2014,2025-08-15 15:18:32
BAL,15.60M,8.31M,7.80M,4.85M,19.66M,22.73M,20.02M,20.19M,0.57M,2.80M,1.14M,124.87M,2014,2025-08-15 15:18:32
OAK,12.43M,7.04M,8.57M,2.17M,21.30M,18.37M,14.26M,31.02M,3.07M,0.57M,1.08M,124.44M,2014,2025-08-15 15:18:32
IND,9.79M,4.41M,13.05M,2.94M,18.88M,20.01M,23.97M,24.42M,2.25M,2.95M,0.57M,123.73M,2014,2025-08-15 15:18:32
NYJ,10.29M,6.31M,19.44M,3.42M,26.93M,9.42M,16.90M,19.92M,3.60M,0.50M,0.80M,118.35M,2014,2025-08-15 15:18:32
