Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1982,NWE,DC,28,10,4,17,17,21,21,5,3,2,27,5,5,28,28,9,3,8,13,7,12,26,25,17,21,7,10,5,5,14,8
1986,NOR,HC,28,17,14,15,19,21,19,22,9,8,13,9,22,26,23,26,22,16,14,7,4,17,4,8,1,12,25,21,11,5,12
1987,NOR,HC,28,2,1,3,7,14,2,3,1,3,1,21,13,27,21,11,1,8,4,5,1,1,3,2,17,10,16,6,20,1,5
1988,NOR,HC,28,5,15,11,13,16,18,8,10,11,25,15,16,16,18,10,6,17,12,4,19,6,11,2,14,12,14,18,12,17,18
1989,NOR,HC,28,10,7,6,15,11,5,7,10,11,3,17,5,23,13,8,12,6,12,11,6,2,1,7,2,4,27,26,19,9,14
1990,NOR,HC,28,14,26,16,18,23,22,24,11,16,12,15,19,21,26,21,23,20,15,8,22,8,6,4,8,2,25,19,15,28,15
1991,NOR,HC,28,5,1,5,4,15,8,11,8,14,12,22,15,11,10,7,10,10,2,1,1,1,2,4,6,4,11,2,1,1,3
1992,NOR,HC,28,3,5,3,7,14,10,9,10,17,16,24,11,25,11,11,10,2,2,1,5,4,7,6,22,2,24,1,4,14,1
1993,NOR,HC,28,14,20,20,15,21,11,18,23,14,15,6,12,22,21,13,22,15,7,22,14,25,25,5,20,2,1,1,21,25,4
1994,NOR,HC,28,17,15,22,17,12,9,19,27,26,17,18,19,8,8,10,16,4,25,27,13,18,18,8,19,7,18,26,27,13,22
1995,NOR,HC,30,18,7,20,20,19,20,6,27,28,18,24,5,13,10,10,8,11,22,18,18,22,21,14,16,19,11,22,15,12,22
1996,NOR,HC,30,28,28,28,27,29,29,26,29,30,16,26,29,19,25,27,12,25,13,20,28,29,27,12,22,22,2,3,16,25,13
1998,IND,HC,30,28,29,28,24,12,19,21,29,26,25,17,2,1,6,8,29,11,29,29,28,29,29,27,30,15,4,16,25,30,26
1999,IND,HC,31,2,19,4,8,4,3,10,21,19,6,16,11,13,4,4,15,2,15,17,27,8,18,18,26,13,20,19,17,30,13
2000,IND,HC,31,9,22,7,9,3,4,15,16,16,12,9,20,8,2,2,9,2,21,15,25,20,25,16,23,27,14,18,16,23,18
2001,IND,HC,31,22,28,23,10,2,2,27,17,7,4,4,25,7,2,4,27,3,29,31,23,19,25,29,29,24,9,27,29,20,26
