Year,Age,Level,Employer,Role
1961,26,College,Occidental,Assistant Coach
1962,27,College,Occidental,Assistant Coach
1963,28,College,Occidental,Assistant Coach
1964,29,College,Occidental,Head Coach
1965,30,College,Occidental,Head Coach
1966,31,College,Occidental,Head Coach
1967,32,College,Stanford,Linebackers
1968,33,College,Colorado,Defensive Ends/OLB/DB
1969,34,College,Colorado,Defensive Ends/OLB/DB
1970,35,College,Colorado,Defensive Ends/OLB/DB
1971,36,College,Colorado,Defensive Ends/OLB/DB
1972,37,College,Colorado,Defensive Ends/OLB/DB
1973,38,College,Colorado,Defensive Ends/OLB/DB
1974,39,College,UCLA,Linebackers
1975,40,College,Washington,Defensive Coordinator
1976,41,College,Washington,Defensive Coordinator
1977,42,College,Washington,Defensive Coordinator
1978,43,NFL,Seattle Seahawks,Defensive Line
1979,44,NFL,Seattle Seahawks,Defensive Line
1980,45,NFL,Seattle Seahawks,Defensive Line
1981,46,NFL,Seattle Seahawks,Defensive Line
1982,47,NFL,New England Patriots,Defensive Coordinator
1982,47,NFL,New England Patriots,Defensive Line
1983,48,USFL,Philadelphia Stars,Head Coach
1984,49,USFL,Philadelphia Stars,Head Coach
1985,50,USFL,Baltimore Stars,Head Coach
1986,51,NFL,New Orleans Saints,Head Coach
1987,52,NFL,New Orleans Saints,Head Coach
1988,53,NFL,New Orleans Saints,Head Coach
1989,54,NFL,New Orleans Saints,Head Coach
1990,55,NFL,New Orleans Saints,Head Coach
1991,56,NFL,New Orleans Saints,Head Coach
1992,57,NFL,New Orleans Saints,Head Coach
1993,58,NFL,New Orleans Saints,Head Coach
1994,59,NFL,New Orleans Saints,Head Coach
1995,60,NFL,New Orleans Saints,Head Coach
1996,61,NFL,New Orleans Saints,Head Coach
1998,63,NFL,Indianapolis Colts,Head Coach
1999,64,NFL,Indianapolis Colts,Head Coach
2000,65,NFL,Indianapolis Colts,Head Coach
2001,66,NFL,Indianapolis Colts,Head Coach
