Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,JAXJAX,3-14-0,58,25.5,180473269,28496887,126905443,29358361,23625065
2,PHIPHI,9-8-0,62,25.3,189181452,17817323,101610988,22982139,63769525
3,DENDEN,7-10-0,55,25.8,188343846,12465470,107269390,43515363,37144693
4,PITPIT,9-7-1,53,25.8,175907130,11542925,124164123,20351790,30380017
5,SEASEA,7-10-0,57,26.4,172703125,11228110,137955994,19983486,13921645
6,CLECLE,8-9-0,56,25.6,202643673,9266018,126473899,46545095,29003079
7,LACLAC,9-8-0,53,26.5,183047309,8683218,159785508,16228955,6203246
8,HOUHOU,4-13-0,56,26.8,186825534,7643225,115736939,22643248,48012147
9,WASWAS,7-10-0,56,25.7,193566718,6172203,108019140,62442393,22258385
10,TENTEN,12-5-0,56,27.0,184416734,6128963,141092116,11214566,30830452
11,NENE,10-7-0,59,27.0,200573159,5239388,147576468,18877570,33592321
12,NYJNYJ,4-13-0,55,25.4,205736640,4861174,88174985,79238768,35850220
13,GBGB,13-4-0,58,26.1,181317830,4856188,162492766,6802181,10739283
14,CARCAR,5-12-0,56,25.8,181771931,4745701,96749377,30685691,53966463
15,DALDAL,12-5-0,58,26.2,205327031,4635488,167631750,10017026,27047455
16,CINCIN,10-7-0,61,26.0,191286587,3851688,154339838,17685584,18929965
17,INDIND,9-8-0,57,26.3,187317746,3717651,170696313,8862253,6736780
18,KCKC,12-5-0,54,26.4,185112146,3320964,160366274,6035101,17790771
19,NYGNYG,4-13-0,49,26.1,182521051,2972804,121896505,40829531,19015015
20,LARLAR,12-5-0,54,25.9,184237455,2861686,121817079,11982361,49435215
21,MIAMIA,9-8-0,55,25.9,195163942,2019904,149454584,20371008,24429950
22,CHICHI,6-11-0,53,27.4,188749384,1383458,128620134,33066901,26298749
23,DETDET,3-13-1,56,25.0,196592545,1134882,76519893,52394859,67101393
24,TBTB,13-4-0,57,27.6,181119199,931909,149094323,19333000,11189876
25,ARIARI,11-6-0,56,27.3,191127625,913352,153976241,20408331,15710653
26,SFSF,10-7-0,55,26.9,195101014,662008,138172427,32186465,23504522
27,LVLV,10-7-0,54,26.4,189930974,296100,129494524,22935487,36524563
28,BALBAL,8-9-0,56,27.1,182781957,265482,113199729,49218097,19685331
29,NONO,9-8-0,54,26.7,185310258,180246,107680541,28080568,49107949
30,ATLATL,7-10-0,55,26.7,185499791,-493883,141096481,13098200,30323910
31,BUFBUF,11-6-0,55,26.5,189337479,-960520,165564312,10985000,9888567
32,MINMIN,8-9-0,56,26.0,188620675,-1346576,118144787,44293641,25570247
