No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
91,Eli Ankou,25,DT,9,2,325,6-3,UCLA,6/8/1994,2,1,,,CLE,2019,2025-08-15 13:51:07
55,Genard Avery,24,LB,2,0,250,6-0,Memphis,4/26/1995,1,0,Cleveland Browns / 5th / 150th pick /2018,"$570,000",CLE,2019,2025-08-15 13:51:07
13,Odell Beckham Jr.,27,WR,16,15,200,5-11,LSU,11/5/1992,5,9,New York Giants / 1st / 12th pick /2014,"$16,750,000",CLE,2019,2025-08-15 13:51:07
75,Joel Bitonio,28,LG,16,16,320,6-4,Nevada,10/11/1991,5,11,Cleveland Browns / 2nd / 35th pick /2014,"$6,500,000",CLE,2019,2025-08-15 13:51:07
86,Pharaoh Brown,25,TE,9,6,260,6-5,Oregon,5/4/1994,2,0,,"$570,000",CLE,2019,2025-08-15 13:51:07
90,Brandin Bryant,26,DT,4,0,294,6-3,Florida Atlantic,9/16/1993,Rook,0,,"$495,000",CLE,2019,2025-08-15 13:51:07
42,Morgan Burnett,30,FS,8,8,210,6-1,Georgia Tech,1/13/1989,9,3,Green Bay Packers / 3rd / 71st pick /2010,"$1,000,000",CLE,2019,2025-08-15 13:51:07
31,Juston Burris,26,DB,14,9,210,6-0,North Carolina St.,8/4/1993,3,4,New York Jets / 4th / 118th pick /2016,"$645,000",CLE,2019,2025-08-15 13:51:07
11,Antonio Callaway,22,WR,4,2,200,5-11,Florida,1/9/1997,1,1,Cleveland Browns / 4th / 105th pick /2018,"$570,000",CLE,2019,2025-08-15 13:51:07
89,Stephen Carlson,23,TE,9,5,248,6-4,Princeton,12/12/1996,Rook,0,,,CLE,2019,2025-08-15 13:51:07
38,T.J. Carrie,29,LCB,16,6,204,6-0,Ohio,7/28/1990,5,3,Oakland Raiders / 7th / 219th pick /2014,"$7,500,000",CLE,2019,2025-08-15 13:51:07
24,Nick Chubb,24,RB,16,16,227,5-11,Georgia,12/27/1995,1,12,Cleveland Browns / 2nd / 35th pick /2018,"$815,595",CLE,2019,2025-08-15 13:51:07
63,Austin Corbett,24,G,3,0,305,6-4,Nevada,9/5/1995,1,0,Cleveland Browns / 2nd / 33rd pick /2018,"$821,745",CLE,2019,2025-08-15 13:51:07
94,Bryan Cox Jr.,25,DE,6,2,270,6-3,Florida,6/25/1994,2,1,,,CLE,2019,2025-08-15 13:51:07
55,Tae Davis,23,LB,9,0,222,6-0,Chattanooga,8/14/1996,1,1,,,CLE,2019,2025-08-15 13:51:07
96,Daniel Ekuale,25,DT,7,0,300,6-3,Washington St.,1/13/1994,1,1,,"$495,000",CLE,2019,2025-08-15 13:51:07
79,Drew Forbes,22,G,2,0,308,6-5,SE Missouri St.,1/18/1997,Rook,0,Cleveland Browns / 6th / 189th pick /2019,"$495,000",CLE,2019,2025-08-15 13:51:07
95,Myles Garrett,24,LDE,10,10,272,6-4,Texas A&M,12/29/1995,2,5,Cleveland Browns / 1st / 1st pick /2017,"$3,229,750",CLE,2019,2025-08-15 13:51:07
