Background,1970s,1980s,1990s,2000s,2010s,2020s
Defensive,30.8,30.6,36.2,40.7,39.5,38.6
Offensive,48.7,51.6,55.1,51.9,54.3,57.9
Other,20.5,17.7,8.7,7.4,6.2,3.5
