Background,Season_Number,Avg_Cumulative_WAR,Std_Cumulative_WAR,Coach_Count,Avg_Single_Season_WAR
Defensive,1,-0.39,1.61,100,-0.39
Defensive,2,-0.35,2.57,88,0.0
Defensive,3,-0.03,3.88,71,0.09
Defensive,4,1.17,4.62,53,0.27
Defensive,5,2.33,5.33,47,0.42
Defensive,6,2.94,6.21,42,0.1
Defensive,7,3.57,6.82,37,0.38
Defensive,8,4.54,7.58,35,0.6
Defensive,9,6.42,7.36,28,0.29
Defensive,10,7.37,8.0,24,0.92
Defensive,11,7.91,8.96,23,0.46
Defensive,12,9.53,9.94,18,0.57
Defensive,13,12.16,9.85,17,1.85
Defensive,14,13.08,11.26,15,1.26
Defensive,15,13.4,12.02,15,0.32
Offensive,1,-0.19,1.82,144,-0.19
Offensive,2,0.1,3.15,125,0.09
Offensive,3,0.24,3.94,105,-0.01
Offensive,4,0.38,4.69,94,0.09
Offensive,5,1.41,5.55,72,0.4
Offensive,6,1.93,6.68,62,0.28
Offensive,7,3.03,7.61,49,0.26
Offensive,8,3.45,7.91,44,0.13
Offensive,9,4.75,8.18,35,0.59
Offensive,10,5.45,9.2,31,0.08
Offensive,11,4.94,9.87,28,-0.23
Offensive,12,4.96,10.45,27,-0.13
Offensive,13,6.55,11.12,19,0.5
Offensive,14,6.81,11.52,18,0.67
Offensive,15,7.75,12.28,15,0.16
Other,1,-0.7,1.87,25,-0.7
Other,2,-0.98,3.38,25,-0.28
Other,3,-1.57,4.48,24,-0.64
Other,4,-1.75,5.32,23,-0.09
Other,5,-1.07,5.82,20,0.21
Other,6,-0.77,6.58,20,0.3
Other,7,-0.26,7.11,19,0.71
Other,8,0.54,8.71,18,0.55
Other,9,0.43,9.46,15,-0.33
Other,10,3.47,5.75,11,-0.23
Other,11,4.3,5.78,9,0.2
Other,12,4.99,6.15,9,0.69
Other,13,5.76,7.08,8,0.08
Other,14,5.76,7.56,8,-0.0
Other,15,4.61,7.88,7,0.0
