Coach,Background,Has_OC_Data,Has_DC_Data,Total_Seasons
Jim Caldwell,Offensive,True,False,7
Mike Ditka,Other,False,False,14
Joe Gibbs,Offensive,True,False,16
Bill Belichick,Defensive,False,True,29
Jim Mora Sr,Defensive,False,True,16
Sean Payton,Offensive,True,False,17
Dan Campbell,Other,False,False,4
Tom Flores,Other,False,False,12
Don Shula,Defensive,False,True,29
Bill Walsh,Offensive,True,False,10
Bill Cowher,Defensive,False,True,15
Dennis Green,Other,False,False,13
John Madden,Other,False,False,9
Pete Carroll,Defensive,False,True,18
Tony Dungy,Defensive,False,True,13
Mike McCoy,Offensive,True,False,4
Mike Sherman,Offensive,True,False,6
Mike Holmgren,Offensive,True,False,17
Ron Rivera,Defensive,False,True,13
Andy Reid,Other,False,False,26
John Harbaugh,Other,False,False,17
Al Saunders,Other,False,False,2
Kyle Shanahan,Offensive,True,False,8
Kevin Stefanski,Offensive,True,False,5
Mike Zimmer,Defensive,False,True,8
Bill Parcells,Defensive,False,True,19
Bud Grant,Other,False,False,15
Chuck Knox,Other,False,False,37
Mike Smith,Defensive,False,True,7
Bill O'Brien,Offensive,True,False,7
Brian Billick,Offensive,True,False,9
Mike McDaniel,Offensive,True,False,3
Jimmy Johnson,Other,False,False,9
George Seifert,Defensive,False,True,11
Mike Martz,Offensive,True,False,6
John Fox,Defensive,False,True,16
Dan Reeves,Offensive,True,False,23
Nick Skorich,Offensive,True,False,4
Mike McCarthy,Offensive,True,False,18
Mike Tomlin,Defensive,False,True,18
Tom Coughlin,Other,False,False,20
Gary Kubiak,Offensive,True,False,10
Chuck Pagano,Defensive,False,True,6
Dick Jauron,Defensive,False,True,9
Wade Phillips,Both,True,True,12
Ron Meyer,Other,False,False,11
Marty Schottenheimer,Defensive,False,True,20
Jason Garrett,Offensive,True,False,9
Doug Pederson,Offensive,True,False,8
Bobby Ross,Other,False,False,12
Tony Sparano,Other,False,False,4
Jim Hanifan,Other,False,False,6
Chuck Noll,Other,False,False,22
Tom Landry,Other,False,False,19
Chan Gailey,Offensive,True,False,5
Chuck Fairbanks,Other,False,False,6
Bruce Arians,Offensive,True,False,8
Red Miller,Other,False,False,4
Norv Turner,Offensive,True,False,15
Todd Bowles,Defensive,False,True,7
Forrest Gregg,Other,False,False,11
Chip Kelly,Other,False,False,4
Adam Gase,Offensive,True,False,5
Marvin Lewis,Defensive,False,True,16
Mike White,Other,False,False,2
Sean McDermott,Defensive,False,True,8
Jerry Glanville,Defensive,False,True,8
Mike Shanahan,Offensive,True,False,23
John Ralston,Other,False,False,5
Kevin O'Connell,Offensive,True,False,3
Ted Marchibroda,Offensive,True,False,12
Wayne Fontes,Defensive,False,True,8
Rex Ryan,Defensive,False,True,8
Dave Wannstedt,Defensive,False,True,11
Jeff Fisher,Defensive,False,True,21
Bum Phillips,Defensive,False,True,11
Jack Del Rio,Defensive,False,True,12
Don Coryell,Other,False,False,16
Steve Mariucci,Other,False,False,9
Bart Starr,Other,False,False,9
Don McCafferty,Other,False,False,4
Raymond Berry,Other,False,False,5
John McKay,Other,False,False,9
Marv Levy,Other,False,False,16
Paul Brown,Other,False,False,6
Zac Taylor,Other,False,False,6
Matt LaFleur,Offensive,True,False,6
Mike Vrabel,Defensive,False,True,6
Joe Walton,Offensive,True,False,7
Anthony Lynn,Offensive,True,False,4
Lou Saban,Other,False,False,13
Weeb Ewbank,Other,False,False,4
Nick Sirianni,Offensive,True,False,4
Monte Clark,Offensive,True,False,8
Sean McVay,Offensive,True,False,8
Romeo Crennel,Defensive,False,True,5
Art Shell,Other,False,False,6
Jack Patera,Other,False,False,10
Sid Gillman,Defensive,False,True,5
Ray Perkins,Offensive,True,False,11
Lovie Smith,Defensive,False,True,12
Dan Quinn,Defensive,False,True,7
Rich Kotite,Offensive,True,False,6
Jon Gruden,Offensive,True,False,15
Kliff Kingsbury,Other,False,False,4
Tommy Prothro,Defensive,False,True,16
Dennis Erickson,Other,False,False,6
Joe Schmidt,Other,False,False,3
Gene Stallings,Other,False,False,7
Jim Harbaugh,Other,False,False,5
Ken Whisenhunt,Offensive,True,False,8
Ray Rhodes,Defensive,False,True,5
Brad Childress,Both,True,True,8
Leeman Bennett,Other,False,False,8
Matt Nagy,Offensive,True,False,4
Barry Switzer,Other,False,False,4
Mike Riley,Other,False,False,3
Vince Tobin,Defensive,False,True,5
Jack Pardee,Other,False,False,11
John Robinson,Other,False,False,24
Dick Nolan,Other,False,False,9
Arthur Smith,Offensive,True,False,3
Ray Malavasi,Defensive,False,True,25
Steve Spurrier,Other,False,False,2
Dick Vermeil,Other,False,False,15
Sam Wyche,Other,False,False,12
Jerry Burns,Offensive,True,False,6
John North,Other,False,False,6
Mike Macdonald,Defensive,False,True,1
Dan Devine,Other,False,False,4
Jonathan Gannon,Defensive,False,True,2
Ray Handley,Other,False,False,2
Vic Fangio,Defensive,False,True,3
Frank Reich,Offensive,True,False,6
Jay Gruden,Offensive,True,False,6
Leslie Frazier,Defensive,False,True,3
George Allen,Other,False,False,11
Al Groh,Defensive,False,True,1
Bill Johnson,Other,False,False,6
Tom Cable,Other,False,False,2
Ron Erhardt,Offensive,True,False,3
John McVay,Other,False,False,3
Dirk Koetter,Offensive,True,False,3
Ben McAdoo,Offensive,True,False,2
Hue Jackson,Offensive,True,False,4
Lindy Infante,Offensive,True,False,6
Rod Marinelli,Other,False,False,3
Norm Van Brocklin,Other,False,False,5
Charley Winner,Defensive,False,True,3
Jim Fassel,Offensive,True,False,7
Bob Hollway,Other,False,False,2
Dom Capers,Defensive,False,True,8
Darryl Rogers,Other,False,False,4
Mike Tice,Other,False,False,4
Eric Mangini,Defensive,False,True,5
Walt Michaels,Defensive,False,True,6
Dennis Allen,Defensive,False,True,6
Alex Webster,Other,False,False,4
Brian Daboll,Offensive,True,False,3
Rick Forzano,Other,False,False,6
Buddy Ryan,Defensive,False,True,7
Matt Rhule,Other,False,False,3
Gregg Williams,Defensive,False,True,3
Herm Edwards,Other,False,False,8
Lou Holtz,Other,False,False,4
Doug Marrone,Offensive,True,False,6
Robert Saleh,Defensive,False,True,4
Charlie Waller,Other,False,False,1
Raheem Morris,Defensive,False,True,4
Shane Steichen,Offensive,True,False,2
Joe Philbin,Offensive,True,False,4
Jim Mora Jr,Defensive,False,True,4
Jim Dooley,Other,False,False,2
Matt Patricia,Defensive,False,True,3
Sam Rutigliano,Other,False,False,7
Bill Callahan,Offensive,True,False,2
Brian Flores,Other,False,False,3
Jerry Williams,Other,False,False,5
Ed Biles,Other,False,False,3
Butch Davis,Defensive,False,True,4
Josh McDaniels,Offensive,True,False,4
Howard Schnellenberger,Other,False,False,2
Hank Stram,Other,False,False,7
Greg Schiano,Other,False,False,2
David Shula,Offensive,True,False,5
Neill Armstrong,Defensive,False,True,4
Vance Joseph,Defensive,False,True,2
Frank Gansz,Other,False,False,2
Nick Saban,Defensive,False,True,2
DeMeco Ryans,Defensive,False,True,2
Joe Vitt,Other,False,False,1
Brandon Staley,Defensive,False,True,3
Todd Haley,Offensive,True,False,3
Dave Campo,Defensive,False,True,3
Antonio Pierce,Other,False,False,1
Mike Mularkey,Offensive,True,False,5
Jim Tomsula,Other,False,False,1
Kevin Gilbride,Offensive,True,False,2
Dick MacPherson,Other,False,False,2
Marion Campbell,Defensive,False,True,14
Kay Stephenson,Other,False,False,3
Mike McCormack,Other,False,False,5
Bruce Coslet,Offensive,True,False,8
Dave Canales,Offensive,True,False,1
Mike Pettine,Defensive,False,True,2
Phil Bengtson,Other,False,False,1
