Background,1970s,1980s,1990s,2000s,2010s,2020s
Defensive,0.57,0.46,0.19,0.08,0.53,0.16
Offensive,-0.35,0.42,-0.14,0.14,0.25,0.57
Other,0.02,-0.11,0.51,0.04,0.43,-0.07
