Decade,Year,Difference,p_value,cohens_d,n_offensive,n_defensive
1970s,1970,-0.9271947997583702,0.0002538481095613901,-0.532234799040907,95,101
1980s,1980,-0.035381138254231004,0.8931648825806051,-0.019105944341695127,149,76
1990s,1990,-0.33290503425111717,0.1654011044718414,-0.17352738002222828,163,102
2000s,2000,0.06272106040605918,0.7754246149333481,0.03483710657880781,165,122
2010s,2010,-0.2818723482649424,0.20405404305155783,-0.15100551538426984,163,126
2020s,2020,0.41551552034899286,0.11608453029298482,0.25701638581328196,91,61
