Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,OFF,DEF,Year,Scraped_Date
SF,sfo,40.72,9.1,20.26,8.28,38.31,116.67,23.07,24.09,26.93,74.09,2.25,0.75,1.05,4.05,199.31,119.25M,74.09M,2018,2025-08-15 15:19:08
JAX,jax,11.12,15.94,17.83,7.63,28.26,80.78,57.68,12.56,43.78,114.02,0.83,0.75,1.27,2.85,198.53,80.26M,113.84M,2018,2025-08-15 15:19:08
MIN,min,26.47,8.44,18.39,10.08,26.9,90.28,44.57,19.05,38.78,102.4,2.08,0.56,0.93,3.5700000000000003,196.61,89.14M,101.97M,2018,2025-08-15 15:19:08
TB,tam,12.64,4.55,35.04,10.96,26.32,89.51,53.88,15.04,23.26,92.18,4.58,3.0,0.63,8.21,189.9,88.61M,92.16M,2018,2025-08-15 15:19:08
CAR,car,22.38,9.99,14.8,9.43,37.56,94.16,43.44,18.03,21.92,83.39,3.69,1.53,1.06,6.279999999999999,184.47,94.82M,83.38M,2018,2025-08-15 15:19:08
TEN,oti,9.91,6.89,12.65,12.7,33.83,75.98,29.74,33.06,35.25,98.05,2.95,3.86,1.27,8.08,182.4,75.50M,94.11M,2018,2025-08-15 15:19:08
CLE,cle,25.84,7.65,26.73,6.83,38.38,105.43,18.42,22.84,30.68,71.94,0.51,2.55,0.71,3.7699999999999996,181.95,105.56M,71.51M,2018,2025-08-15 15:19:08
DEN,den,19.15,2.12,22.59,3.02,36.01,82.89,20.93,35.35,35.57,91.85,3.5,2.08,0.63,6.21,181.62,82.82M,91.16M,2018,2025-08-15 15:19:08
CIN,cin,17.87,6.56,23.8,9.27,27.36,84.86,39.31,19.03,31.71,90.05000000000001,1.5,2.3,1.13,4.93,180.33,85.34M,89.89M,2018,2025-08-15 15:19:08
LAR,ram,8.86,9.04,19.45,2.81,31.05,71.21,42.44,23.18,35.16,100.78,3.76,2.68,1.35,7.789999999999999,179.88,70.33M,100.78M,2018,2025-08-15 15:19:08
BUF,buf,15.29,12.95,17.37,10.4,35.34,91.35,46.81,10.93,23.39,81.13,3.0,1.51,0.56,5.07,179.6,92.81M,80.88M,2018,2025-08-15 15:19:08
CHI,chi,15.51,3.07,27.24,15.54,27.59,88.94999999999999,21.15,36.85,25.87,83.87,3.81,1.5,0.63,5.94,179.46,89.59M,80.38M,2018,2025-08-15 15:19:08
OAK,rai,26.17,7.37,25.86,11.85,38.92,110.17,25.38,13.91,23.86,63.15,1.2,0.68,1.85,3.73,178.87,110.30M,62.77M,2018,2025-08-15 15:19:08
LAC,sdg,23.13,4.92,25.87,6.98,37.28,98.18,36.21,8.81,29.57,74.59,2.07,0.71,1.07,3.8499999999999996,177.29,98.48M,73.20M,2018,2025-08-15 15:19:08
KC,kan,10.06,5.81,18.27,13.33,35.82,83.28999999999999,15.62,41.26,31.63,88.50999999999999,0.56,1.7,0.83,3.09,176.89,85.09M,86.71M,2018,2025-08-15 15:19:08
NYJ,nyj,18.01,9.33,20.31,3.85,39.02,90.52000000000001,26.84,17.51,39.52,83.87,1.21,0.65,0.56,2.42,176.8,89.84M,83.19M,2018,2025-08-15 15:19:08
NO,nor,27.09,9.63,13.24,13.21,37.5,100.67,31.17,17.15,22.19,70.51,0.63,2.65,0.56,3.84,176.02,101.03M,70.23M,2018,2025-08-15 15:19:08
NE,nwe,23.41,8.89,17.13,16.06,22.12,87.61,18.95,19.92,39.82,78.69,5.0,2.0,0.86,7.86,175.83,85.83M,78.70M,2018,2025-08-15 15:19:08
GB,gnb,22.13,2.4,29.65,14.46,34.31,102.94999999999999,19.85,28.54,17.77,66.16,5.25,0.57,0.5,6.32,175.77,101.01M,65.65M,2018,2025-08-15 15:19:08
DET,det,27.44,8.94,16.49,5.06,27.99,85.92,32.53,19.61,30.18,82.32,3.2,2.93,0.75,6.880000000000001,175.5,86.09M,82.24M,2018,2025-08-15 15:19:08
SEA,sea,25.72,5.54,22.99,3.77,24.0,82.02000000000001,22.21,26.58,39.91,88.69999999999999,2.02,1.15,0.63,3.8,175.23,81.84M,88.11M,2018,2025-08-15 15:19:08
DAL,dal,11.08,8.03,27.78,3.13,44.5,94.52000000000001,39.24,19.36,15.54,74.14,1.28,1.7,0.72,3.7,173.99,93.00M,71.85M,2018,2025-08-15 15:19:08
ATL,atl,22.38,7.43,24.77,3.41,40.12,98.10999999999999,27.25,4.72,36.38,68.35,2.53,2.7,1.49,6.720000000000001,173.65,97.66M,67.72M,2018,2025-08-15 15:19:08
ARI,crd,23.02,6.28,22.52,8.7,23.59,84.11,26.39,16.94,37.62,80.94999999999999,3.71,2.63,0.88,7.22,172.92,83.47M,80.95M,2018,2025-08-15 15:19:08
WAS,was,22.4,7.55,12.1,16.52,35.17,93.74,17.12,24.34,33.1,74.56,1.6,1.75,1.15,4.5,172.8,92.45M,74.56M,2018,2025-08-15 15:19:08
HOU,htx,4.59,9.23,25.4,6.4,25.78,71.4,20.45,33.36,43.26,97.07,0.56,1.08,0.97,2.6100000000000003,172.09,71.71M,96.95M,2018,2025-08-15 15:19:08
PHI,phi,21.52,5.34,17.98,8.65,35.76,89.25,47.14,9.92,23.15,80.21000000000001,0.56,0.74,0.81,2.1100000000000003,171.56,87.39M,80.08M,2018,2025-08-15 15:19:08
NYG,nyg,23.63,11.11,15.45,7.28,26.45,83.92,27.65,30.88,25.21,83.74000000000001,0.56,1.65,1.02,3.23,170.98,83.20M,83.26M,2018,2025-08-15 15:19:08
BAL,rav,27.57,4.9,17.32,7.09,24.73,81.61,10.71,25.29,42.74,78.74000000000001,5.49,3.55,1.14,10.18,170.53,80.83M,78.17M,2018,2025-08-15 15:19:08
MIA,mia,10.63,4.19,26.22,6.07,33.08,80.19,53.2,17.52,17.65,88.37,0.5,0.56,0.65,1.71,170.26,79.63M,88.35M,2018,2025-08-15 15:19:08
PIT,pit,24.91,2.2,13.25,5.8,35.09,81.25,18.69,23.28,31.17,73.14,3.23,1.91,0.73,5.869999999999999,161.69,80.33M,72.33M,2018,2025-08-15 15:19:08
IND,clt,25.84,4.06,22.36,13.8,28.26,94.32000000000001,25.6,6.31,12.88,44.79,3.63,0.56,,4.1899999999999995,144.25,94.38M,44.34M,2018,2025-08-15 15:19:08
