Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
CAR,car,9.41,23.42,37.64,8.31,39.55,118.33,27.7,43.36,36.9,107.96000000000001,2.25,2.15,1.16,5.5600000000000005,232.77,2023,2025-08-15 15:17:21
PHI,phi,8.9,5.45,22.66,9.45,60.58,107.04,64.8,16.96,37.62,119.38,3.38,1.17,1.22,5.77,232.19,2023,2025-08-15 15:17:21
DEN,den,25.29,7.42,37.07,7.0,42.38,119.16,29.49,34.41,42.35,106.25,2.93,1.47,0.87,5.2700000000000005,231.77,2023,2025-08-15 15:17:21
BUF,buf,20.18,8.92,26.47,10.97,40.74,107.28,45.08,14.27,54.65,114.0,2.08,2.18,1.08,5.34,228.64,2023,2025-08-15 15:17:21
CHI,chi,9.91,7.83,29.57,12.5,42.28,102.09,56.27,27.91,31.91,116.09,5.12,0.89,1.11,7.12,227.51,2023,2025-08-15 15:17:21
HOU,htx,10.82,7.49,37.59,6.37,62.68,124.95,29.86,22.97,37.11,89.94,4.45,3.6,1.09,9.14,226.98,2023,2025-08-15 15:17:21
PIT,pit,10.31,7.0,26.25,3.76,44.57,91.89,41.12,48.56,36.28,125.96000000000001,5.64,1.11,0.94,7.6899999999999995,226.3,2023,2025-08-15 15:17:21
MIA,mia,13.32,9.2,34.55,6.7,40.51,104.28,35.49,36.28,40.28,112.05000000000001,2.45,1.09,1.2,4.74,223.98,2023,2025-08-15 15:17:21
IND,clt,30.31,11.62,12.56,9.5,52.31,116.30000000000001,45.05,31.02,24.1,100.16999999999999,3.08,2.9,1.42,7.4,223.87,2023,2025-08-15 15:17:21
TB,tam,39.04,9.58,44.04,7.62,32.58,132.86,25.68,40.93,20.19,86.8,1.74,1.04,1.24,4.0200000000000005,223.68,2023,2025-08-15 15:17:21
LV,rai,14.42,22.66,36.87,7.16,40.75,121.85999999999999,51.69,18.53,21.38,91.6,4.31,2.55,1.44,8.299999999999999,223.47,2023,2025-08-15 15:17:21
NYG,nyg,23.45,13.95,39.25,6.46,34.88,117.99000000000001,44.44,18.27,34.42,97.13,5.32,1.6,1.1,8.02,223.44,2023,2025-08-15 15:17:21
DET,det,36.17,9.19,22.71,4.92,58.36,131.35,29.6,18.79,36.07,84.46000000000001,1.57,1.97,1.62,5.16,223.41,2023,2025-08-15 15:17:21
ATL,atl,9.95,11.7,12.13,18.07,52.4,104.25,43.21,34.93,30.79,108.93,4.76,2.67,0.87,8.299999999999999,222.64,2023,2025-08-15 15:17:21
BAL,rav,26.02,8.12,19.62,19.36,49.92,123.04,23.31,23.79,39.95,87.05,5.96,1.04,1.34,8.34,222.56,2023,2025-08-15 15:17:21
NYJ,nyj,20.02,11.0,20.97,15.01,43.67,110.67,29.7,34.17,40.62,104.49000000000001,2.78,2.13,1.38,6.29,222.55,2023,2025-08-15 15:17:21
DAL,dal,29.9,18.24,21.6,4.69,44.73,119.16,39.76,11.01,46.45,97.22,0.75,3.0,1.23,4.98,222.1,2023,2025-08-15 15:17:21
CLE,cle,23.93,18.69,34.5,17.11,34.83,129.06,36.45,15.16,35.18,86.78999999999999,2.78,1.94,1.34,6.06,221.9,2023,2025-08-15 15:17:21
NE,nwe,7.98,5.37,22.39,34.57,39.21,109.52000000000001,31.4,33.01,41.59,106.0,1.56,3.27,1.51,6.34,221.85,2023,2025-08-15 15:17:21
TEN,oti,39.51,19.16,23.65,6.88,26.17,115.36999999999999,25.94,37.8,36.31,100.05,2.92,0.97,1.09,4.9799999999999995,221.49,2023,2025-08-15 15:17:21
NO,nor,12.93,13.36,24.83,13.04,44.55,108.71,54.69,15.36,35.15,105.19999999999999,3.25,1.36,1.55,6.16,220.53,2023,2025-08-15 15:17:21
WAS,was,9.76,7.86,33.12,12.58,32.48,95.79999999999998,55.33,12.45,47.97,115.75,2.35,3.5,0.95,6.8,219.16,2023,2025-08-15 15:17:21
LAC,sdg,10.15,10.87,34.4,12.35,32.2,99.97,26.25,47.09,39.65,112.99000000000001,1.67,1.49,1.37,4.53,218.51,2023,2025-08-15 15:17:21
ARI,crd,21.45,12.9,42.83,16.22,36.18,129.58,20.35,26.87,36.14,83.36,2.75,0.9,1.53,5.18,218.12,2023,2025-08-15 15:17:21
GB,gnb,45.77,11.42,9.44,6.83,39.97,113.43,23.55,36.51,39.94,100.0,1.79,1.23,1.28,4.3,218.05,2023,2025-08-15 15:17:21
JAX,jax,12.47,6.7,38.05,7.81,43.75,108.78,26.45,40.97,35.85,103.27000000000001,2.01,2.6,1.12,5.7299999999999995,217.78,2023,2025-08-15 15:17:21
KC,kan,38.48,6.39,21.19,18.09,31.25,115.4,54.28,9.85,29.02,93.14999999999999,5.13,2.63,1.32,9.08,217.62,2023,2025-08-15 15:17:21
LAR,ram,21.97,4.63,45.65,9.95,31.16,113.36,37.2,32.33,31.64,101.17,0.93,0.8,0.91,2.64,217.17,2023,2025-08-15 15:17:21
CIN,cin,21.22,11.69,26.87,4.94,47.22,111.94,60.28,14.67,26.27,101.22,1.03,0.78,0.88,2.69,215.84,2023,2025-08-15 15:17:21
SEA,sea,14.48,6.7,31.48,18.11,26.74,97.50999999999999,38.49,28.56,40.73,107.78,3.04,3.3,0.75,7.09,214.98,2023,2025-08-15 15:17:21
MIN,min,24.43,11.52,29.96,9.94,29.81,105.66,33.38,38.1,28.71,100.19,2.01,0.87,1.3,4.18,212.74,2023,2025-08-15 15:17:21
SF,sfo,16.05,7.36,20.64,13.49,28.1,85.64,45.04,31.24,26.87,103.15,0.98,1.8,1.26,4.04,199.53,2023,2025-08-15 15:17:21
