Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,OFF,DEF,Year,Scraped_Date
OAK,rai,4.63,2.92,19.4,6.09,37.74,70.78,17.92,27.06,33.12,78.1,3.96,5.05,1.18,10.19,164.34,75.95M,78.10M,2016,2025-08-15 15:18:49
NYJ,nyj,10.11,6.08,23.13,3.01,33.25,75.57999999999998,24.45,14.69,38.57,77.71000000000001,3.34,0.47,0.93,4.739999999999999,158.08,75.06M,77.53M,2016,2025-08-15 15:18:49
MIN,min,12.63,14.18,9.69,10.16,34.43,81.09,28.4,12.08,30.36,70.84,2.11,0.72,0.78,3.6100000000000003,157.2,81.96M,70.84M,2016,2025-08-15 15:18:49
CIN,cin,14.2,7.7,18.15,3.98,27.15,71.17999999999999,31.3,15.78,31.45,78.53,1.64,3.02,1.06,5.720000000000001,156.4,72.15M,78.53M,2016,2025-08-15 15:18:49
ARI,crd,21.12,5.17,25.81,6.23,21.67,80.0,26.49,18.04,28.72,73.25,0.6,1.37,0.64,2.6100000000000003,155.86,79.69M,73.26M,2016,2025-08-15 15:18:49
TB,tam,8.19,10.54,22.18,5.31,28.73,74.95,32.71,16.34,28.47,77.52,0.74,1.75,0.6,3.0900000000000003,155.73,74.09M,77.52M,2016,2025-08-15 15:18:49
SD,sd,17.18,8.7,19.39,8.31,26.4,79.97999999999999,23.28,22.67,26.16,72.11,0.9,1.09,0.9,2.89,155.47,79.65M,72.12M,2016,2025-08-15 15:18:49
NYG,nyg,25.6,9.78,13.78,3.07,20.69,72.92,33.9,15.96,25.59,75.45,1.93,1.98,1.13,5.04,154.9,74.31M,75.45M,2016,2025-08-15 15:18:49
GB,gnb,20.06,5.14,20.56,3.92,22.35,72.03,27.64,22.31,27.57,77.52000000000001,2.4,0.87,0.6,3.87,154.21,71.34M,77.52M,2016,2025-08-15 15:18:49
ATL,atl,25.63,2.26,26.59,5.59,32.13,92.20000000000002,26.89,9.52,17.54,53.949999999999996,3.19,2.73,0.86,6.78,153.82,92.36M,53.94M,2016,2025-08-15 15:18:49
DAL,dal,24.28,9.85,20.14,9.65,21.39,85.31,14.55,16.96,29.4,60.91,3.3,1.45,1.17,5.92,152.74,85.73M,60.91M,2016,2025-08-15 15:18:49
KC,kan,20.34,8.21,16.2,4.92,21.6,71.27000000000001,18.04,33.4,21.43,72.87,1.05,4.45,0.53,6.03,152.51,73.54M,72.85M,2016,2025-08-15 15:18:49
IND,clt,20.21,5.74,17.62,11.26,27.63,82.46000000000001,10.72,26.11,26.44,63.269999999999996,3.25,2.7,0.8,6.75,152.48,82.01M,63.27M,2016,2025-08-15 15:18:49
BUF,buf,10.29,10.63,15.93,8.21,22.53,67.59,39.35,7.72,31.58,78.65,2.76,0.6,1.12,4.48,152.34,68.91M,78.65M,2016,2025-08-15 15:18:49
HOU,htx,14.41,10.32,7.16,2.87,31.43,66.19,24.64,28.5,28.28,81.42,1.13,1.8,0.88,3.8099999999999996,152.06,66.77M,81.41M,2016,2025-08-15 15:18:49
