Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
ARI,crd,11.71,4.64,20.49,4.49,23.29,64.62,11.71,14.21,23.63,49.55,2.25,0.67,1.0,3.92,118.51,2011,2025-08-15 15:18:04
ATL,atl,16.48,13.06,13.48,10.18,16.78,69.97999999999999,12.79,22.4,17.5,52.69,1.81,0.4,0.94,3.15,126.21,2011,2025-08-15 15:18:04
BAL,rav,6.13,5.44,12.84,2.72,20.05,47.18,12.85,28.21,25.43,66.49000000000001,2.1,1.9,0.45,4.45,120.45,2011,2025-08-15 15:18:04
BUF,buf,8.16,9.21,11.54,3.24,8.63,40.78,26.14,18.16,19.2,63.5,1.97,1.68,0.48,4.13,109.5,2011,2025-08-15 15:18:04
CAR,car,5.49,10.93,13.44,7.12,28.96,65.94,16.62,17.1,15.75,49.47,2.4,1.96,1.2,5.56,121.91,2011,2025-08-15 15:18:04
CHI,chi,10.0,4.46,10.3,5.02,16.03,45.81,18.43,20.12,17.0,55.55,2.15,2.9,1.05,6.1,108.19,2011,2025-08-15 15:18:04
CIN,cin,2.95,5.14,9.35,5.19,25.96,48.59,18.14,13.55,26.03,57.72,0.69,0.57,0.6,1.8599999999999999,108.79,2011,2025-08-15 15:18:04
CLE,cle,4.05,3.88,7.03,9.56,33.64,58.160000000000004,7.71,14.3,20.2,42.21,3.25,1.31,0.0,4.5600000000000005,105.42,2011,2025-08-15 15:18:04
DAL,dal,10.22,4.69,11.25,10.31,15.65,52.12,11.65,18.2,20.45,50.3,1.27,2.58,0.81,4.66,107.08,2011,2025-08-15 15:18:04
DEN,den,0.7,5.95,6.42,6.99,11.88,31.940000000000005,18.83,30.99,23.8,73.61999999999999,2.44,0.41,1.05,3.9000000000000004,109.43,2011,2025-08-15 15:18:04
DET,det,9.05,7.47,24.03,5.64,22.67,68.86,27.31,9.12,12.07,48.5,2.85,1.37,0.88,5.1000000000000005,122.45,2011,2025-08-15 15:18:04
GB,gnb,8.82,5.68,18.07,3.12,19.07,54.76,11.53,18.26,25.48,55.269999999999996,2.25,0.41,0.73,3.39,116.06,2011,2025-08-15 15:18:04
HOU,htx,12.33,3.45,16.17,7.07,18.87,57.89,30.11,8.57,22.03,60.71,2.15,0.35,0.45,2.95,122.14,2011,2025-08-15 15:18:04
IND,clt,19.82,8.75,13.19,10.35,12.72,64.83,8.5,28.65,15.29,52.44,2.6,0.53,0.0,3.13,120.76,2011,2025-08-15 15:18:04
JAX,jax,4.45,8.24,6.33,5.14,14.24,38.400000000000006,17.3,11.91,14.12,43.33,2.41,0.0,0.88,3.29,90.62,2011,2025-08-15 15:18:04
KC,kan,16.38,9.49,8.71,1.64,9.04,45.26,22.22,12.87,18.27,53.36,0.93,1.98,0.69,3.6,104.48,2011,2025-08-15 15:18:04
MIA,mia,5.71,6.26,15.79,4.03,36.13,67.92,28.01,19.78,13.87,61.660000000000004,1.34,1.29,0.85,3.48,133.07,2011,2025-08-15 15:18:04
MIN,min,8.04,14.17,8.1,9.26,14.09,53.66,28.12,15.41,21.87,65.4,2.38,1.51,0.9,4.79,123.85,2011,2025-08-15 15:18:04
NE,nwe,14.04,3.86,11.51,4.36,27.54,61.309999999999995,18.66,18.21,13.38,50.25000000000001,2.6,0.5,0.38,3.48,115.25,2011,2025-08-15 15:18:04
NO,nor,13.09,11.37,12.51,2.07,15.72,54.76,13.47,21.19,15.38,50.040000000000006,1.63,0.52,0.41,2.56,107.73,2011,2025-08-15 15:18:04
NYG,nyg,18.09,11.92,6.81,1.52,26.8,65.14,24.96,12.33,18.86,56.15,1.5,0.86,0.92,3.28,125.05,2011,2025-08-15 15:18:04
NYJ,nyj,19.31,3.04,10.59,3.13,27.24,63.31,9.8,28.31,21.72,59.83,0.55,0.38,0.45,1.3800000000000001,124.98,2011,2025-08-15 15:18:04
OAK,rai,8.35,14.99,14.8,5.04,9.79,52.97,21.64,11.93,14.69,48.26,3.73,4.3,0.96,8.989999999999998,110.66,2011,2025-08-15 15:18:04
PHI,phi,20.71,1.88,10.62,3.77,18.72,55.7,33.3,9.32,24.98,67.6,0.48,0.38,0.92,1.78,125.77,2011,2025-08-15 15:18:04
PIT,pit,15.46,4.03,9.27,6.0,20.4,55.160000000000004,19.06,28.65,22.75,70.46,1.15,0.98,0.79,2.92,128.56,2011,2025-08-15 15:18:04
SD,sdg,16.01,4.16,18.44,7.41,24.39,70.41,17.78,9.16,13.88,40.82,1.8,1.34,0.45,3.5900000000000003,117.12,2011,2025-08-15 15:18:04
SEA,sea,7.65,6.18,13.63,5.67,25.66,58.790000000000006,17.94,12.78,16.84,47.56,0.0,1.21,0.41,1.6199999999999999,109.31,2011,2025-08-15 15:18:04
SF,sfo,7.09,10.14,12.39,9.11,18.01,56.74000000000001,20.85,14.55,17.57,52.970000000000006,1.92,1.34,1.13,4.39,115.37,2011,2025-08-15 15:18:04
STL,ram,14.62,11.64,7.02,2.84,29.6,65.72,16.76,5.69,16.38,38.83,3.56,1.34,0.38,5.28,109.92,2011,2025-08-15 15:18:04
TB,tam,2.9,2.41,7.59,9.17,26.36,48.43,10.34,8.74,13.18,32.26,1.84,4.0,0.78,6.62,87.73,2011,2025-08-15 15:18:04
TEN,oti,10.23,7.38,9.09,3.89,28.27,58.86,10.44,17.06,21.57,49.07,3.23,1.13,0.0,4.359999999999999,113.61,2011,2025-08-15 15:18:04
WAS,was,2.61,5.33,10.05,8.57,29.18,55.74,21.57,15.38,29.91,66.86,0.53,1.35,0.45,2.33,126.58,2011,2025-08-15 15:18:04
