Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
KC,kan,15.97,6.78,11.89,5.91,24.54,65.09,17.9,22.02,27.15,67.07,1.47,1.85,0.57,3.89,136.63,2013,2025-08-15 15:18:22
SEA,sea,5.59,10.89,18.14,12.85,28.45,75.92,34.91,5.75,13.63,54.29,0.62,1.41,0.77,2.8,133.73,2013,2025-08-15 15:18:22
DEN,den,18.84,5.58,9.54,8.02,27.95,69.93,12.34,20.54,24.19,57.06999999999999,3.31,2.0,0.66,5.970000000000001,133.46,2013,2025-08-15 15:18:22
IND,clt,8.56,7.36,13.28,2.86,23.68,55.74,15.31,25.87,24.31,65.49,3.4,2.98,0.48,6.859999999999999,129.05,2013,2025-08-15 15:18:22
MIN,min,9.27,15.55,11.56,4.65,20.62,61.650000000000006,37.3,13.39,11.89,62.58,0.51,0.45,1.05,2.01,128.95,2013,2025-08-15 15:18:22
CHI,chi,11.37,10.17,19.41,4.58,11.66,57.19,29.3,14.54,20.1,63.940000000000005,3.53,1.73,1.11,6.37,128.43,2013,2025-08-15 15:18:22
TB,tam,10.9,4.38,15.45,2.54,26.23,59.5,20.68,9.22,29.6,59.5,3.93,3.25,0.56,7.74,127.71,2013,2025-08-15 15:18:22
NYG,nyg,22.16,7.87,9.09,3.0,22.89,65.01,20.85,13.04,24.05,57.94,0.62,1.83,1.05,3.5,127.52,2013,2025-08-15 15:18:22
TEN,oti,8.54,16.0,14.05,7.77,32.07,78.43,7.74,14.43,20.88,43.05,2.8,1.35,0.49,4.640000000000001,127.46,2013,2025-08-15 15:18:22
CIN,cin,2.76,5.94,9.4,4.42,24.19,46.71000000000001,39.83,10.13,23.24,73.2,1.6,2.78,1.34,5.72,127.06,2013,2025-08-15 15:18:22
PHI,phi,13.53,6.36,19.41,5.9,27.08,72.28,13.03,17.02,18.32,48.37,0.66,0.63,1.04,2.33,127.0,2013,2025-08-15 15:18:22
