Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
IND,clt,56.55,5.95,20.72,10.98,51.47,145.67000000000002,51.66,7.97,22.31,81.94,0.7,2.16,0.91,3.7700000000000005,231.39,2020,2025-08-15 15:24:23
BUF,buf,8.79,5.54,37.43,10.23,43.35,105.34,52.86,17.38,38.2,108.44,1.54,0.75,0.98,3.27,218.23,2020,2025-08-15 15:24:23
KC,kan,8.22,4.63,37.73,13.5,38.81,102.89,45.74,22.84,38.85,107.43,3.2,1.32,1.02,5.540000000000001,216.75,2020,2025-08-15 15:24:23
TEN,oti,23.33,9.51,21.89,8.24,47.88,110.85,42.85,13.27,38.61,94.73,4.91,3.56,1.89,10.360000000000001,216.61,2020,2025-08-15 15:24:23
LV,rai,31.66,8.1,18.84,15.82,53.46,127.88,33.41,18.56,31.18,83.15,0.9,0.78,0.75,2.43,214.15,2020,2025-08-15 15:24:23
HOU,htx,14.38,17.19,37.25,6.23,38.51,113.56,24.71,34.14,29.6,88.45,4.83,2.42,0.91,8.16,210.78,2020,2025-08-15 15:24:23
CHI,chi,16.48,6.47,28.56,15.81,31.53,98.85,23.99,45.67,30.69,100.35,2.77,1.85,0.89,5.51,204.71,2020,2025-08-15 15:24:23
CAR,car,17.52,12.54,21.3,6.99,55.65,114.0,38.32,22.19,23.44,83.95,2.36,1.71,1.19,5.26,204.04,2020,2025-08-15 15:24:23
MIA,mia,18.72,11.83,14.89,4.61,25.95,76.0,29.85,24.04,68.52,122.41,0.77,2.13,0.79,3.69,202.76,2020,2025-08-15 15:24:23
SF,sfo,28.16,12.64,13.34,8.93,37.38,100.45,39.9,10.04,37.81,87.75,5.01,0.87,1.72,7.6,202.66,2020,2025-08-15 15:24:23
DET,det,23.87,5.27,19.51,11.03,30.0,89.68,40.65,18.32,44.95,103.92,3.9,1.32,1.0,6.22,201.27,2020,2025-08-15 15:24:23
SEA,sea,32.07,10.08,18.37,14.89,31.98,107.39,32.42,30.03,24.26,86.71000000000001,3.6,0.82,1.04,5.46,200.89,2020,2025-08-15 15:24:23
PHI,phi,21.77,4.06,30.9,16.03,40.11,112.86999999999999,42.52,10.69,30.04,83.25,2.63,0.75,1.1,4.48,200.59,2020,2025-08-15 15:24:23
GB,gnb,24.65,7.15,20.56,8.74,47.64,108.74000000000001,16.78,42.7,25.46,84.94,4.02,0.87,0.77,5.66,199.88,2020,2025-08-15 15:24:23
TB,tam,27.83,7.36,15.65,19.06,40.51,110.41,21.39,50.02,13.59,85.0,1.01,2.72,0.71,4.44,199.84,2020,2025-08-15 15:24:23
ATL,atl,21.53,15.38,28.77,3.89,47.2,116.77000000000001,34.81,13.77,30.09,78.67,0.94,0.63,1.05,2.62,199.34,2020,2025-08-15 15:24:23
CLE,cle,12.09,8.9,33.66,9.7,43.52,107.87,34.14,21.44,31.42,87.0,1.1,0.68,1.0,2.7800000000000002,199.1,2020,2025-08-15 15:24:23
CIN,cin,7.97,10.34,37.68,10.18,30.31,96.47999999999999,40.37,8.32,45.73,94.41999999999999,2.51,3.05,1.17,6.7299999999999995,197.64,2020,2025-08-15 15:24:23
