Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
NYJ,nyj,13.52,8.67,33.27,8.19,46.29,109.94,39.96,16.72,34.3,90.97999999999999,0.73,1.15,1.12,3.0,205.74,2021,2025-08-15 15:21:15
DAL,dal,19.18,10.04,33.93,8.82,39.21,111.18,43.48,21.67,21.57,86.72,2.87,1.93,0.99,5.79,205.33,2021,2025-08-15 15:21:15
CLE,cle,18.44,11.44,35.58,16.53,48.83,130.82,29.68,9.08,27.86,66.62,1.4,0.95,1.15,3.4999999999999996,202.64,2021,2025-08-15 15:21:15
NE,nwe,8.44,7.5,22.13,15.57,33.15,86.78999999999999,20.14,32.41,55.28,107.83,2.87,0.96,1.18,5.01,200.57,2021,2025-08-15 15:21:15
DET,det,36.04,5.67,11.43,13.07,32.65,98.86000000000001,14.87,45.34,32.76,92.97,2.28,0.8,0.73,3.81,196.59,2021,2025-08-15 15:21:15
MIA,mia,12.17,6.66,40.21,10.31,26.27,95.61999999999999,26.79,16.78,50.6,94.17,3.39,1.1,0.83,5.32,195.16,2021,2025-08-15 15:21:15
SF,sfo,33.05,11.24,12.9,9.27,33.96,100.41999999999999,44.1,17.04,26.32,87.46000000000001,2.8,1.05,0.96,4.81,195.1,2021,2025-08-15 15:21:15
WAS,was,25.83,5.25,12.32,6.89,46.45,96.74000000000001,34.85,11.37,45.11,91.33,2.03,2.61,0.69,5.33,193.57,2021,2025-08-15 15:21:15
CIN,cin,10.35,11.86,21.09,8.82,31.56,83.67999999999999,50.86,7.59,45.85,104.30000000000001,0.78,1.26,1.26,3.3,191.29,2021,2025-08-15 15:21:15
ARI,crd,11.56,4.68,23.25,11.7,39.71,90.9,18.51,54.94,22.1,95.55000000000001,2.01,1.12,1.56,4.6899999999999995,191.13,2021,2025-08-15 15:21:15
LV,rai,27.96,10.7,13.94,9.79,45.04,107.42999999999999,31.93,20.85,22.74,75.52,3.51,1.25,1.37,6.13,189.93,2021,2025-08-15 15:21:15
BUF,buf,13.82,5.56,23.74,2.51,40.27,85.9,47.13,23.62,27.39,98.14,1.46,1.6,1.45,4.51,189.34,2021,2025-08-15 15:21:15
PHI,phi,37.56,4.03,21.92,12.59,39.42,115.52000000000001,44.21,4.59,20.24,69.03999999999999,2.1,0.68,1.83,4.61,189.18,2021,2025-08-15 15:21:15
CHI,chi,15.16,7.06,25.85,10.87,25.38,84.32,29.04,43.05,28.63,100.72,1.63,1.08,0.99,3.7,188.75,2021,2025-08-15 15:21:15
MIN,min,33.51,7.6,14.91,6.76,23.02,85.8,36.73,23.98,32.66,93.36999999999999,2.9,2.66,0.89,6.45,188.62,2021,2025-08-15 15:21:15
DEN,den,7.91,14.05,16.89,7.28,32.53,78.66,14.63,43.23,45.94,103.8,2.31,2.78,0.78,5.87,188.34,2021,2025-08-15 15:21:15
IND,clt,22.99,7.5,16.7,10.36,44.2,101.75,42.37,13.57,25.35,81.28999999999999,1.21,2.0,1.06,4.27,187.32,2021,2025-08-15 15:21:15
HOU,htx,23.82,12.0,18.52,7.22,33.47,95.03,19.42,30.24,33.52,83.18,4.4,3.18,0.99,8.57,186.83,2021,2025-08-15 15:21:15
ATL,atl,28.82,7.68,17.29,12.11,32.7,98.60000000000001,32.1,26.69,23.61,82.4,0.98,1.22,0.85,3.0500000000000003,185.5,2021,2025-08-15 15:21:15
NO,nor,22.68,9.77,21.13,6.63,31.96,92.17,32.96,12.36,38.76,84.08,3.96,2.66,1.18,7.8,185.31,2021,2025-08-15 15:21:15
KC,kan,9.61,6.18,22.72,10.23,29.06,77.8,49.53,18.05,32.79,100.37,3.98,0.85,1.26,6.09,185.11,2021,2025-08-15 15:21:15
TEN,oti,12.26,16.95,16.64,7.59,50.11,103.55,12.15,21.92,38.92,72.99000000000001,1.61,3.38,1.44,6.43,184.42,2021,2025-08-15 15:21:15
LAR,ram,46.23,15.31,19.54,8.79,19.91,109.78,29.14,16.06,23.72,68.92,0.94,3.69,0.91,5.54,184.24,2021,2025-08-15 15:21:15
LAC,sdg,8.96,8.57,35.25,8.05,31.93,92.75999999999999,21.19,32.93,32.69,86.81,1.02,0.85,0.87,2.74,183.05,2021,2025-08-15 15:21:15
BAL,rav,4.27,9.12,14.79,11.72,28.35,68.25,33.3,19.97,50.23,103.5,3.48,2.92,0.66,7.0600000000000005,182.78,2021,2025-08-15 15:21:15
NYG,nyg,8.95,13.5,23.2,13.66,34.14,93.45,21.04,16.91,41.35,79.30000000000001,3.91,2.77,1.2,7.88,182.52,2021,2025-08-15 15:21:15
CAR,car,29.44,10.03,17.82,5.39,23.01,85.69,35.97,22.23,31.8,90.0,2.58,1.39,1.44,5.41,181.77,2021,2025-08-15 15:21:15
GB,gnb,30.18,6.83,26.1,6.5,28.19,97.8,15.88,37.5,24.87,78.25,3.33,1.07,0.87,5.2700000000000005,181.32,2021,2025-08-15 15:21:15
TB,tam,13.89,8.15,31.82,11.48,34.07,99.41,20.75,35.03,17.8,73.58,3.83,2.89,1.41,8.13,181.12,2021,2025-08-15 15:21:15
JAX,jax,9.12,6.73,15.1,8.09,51.74,90.78,21.12,34.57,26.51,82.2,5.04,1.69,0.78,7.510000000000001,180.47,2021,2025-08-15 15:21:15
PIT,pit,29.86,5.52,8.88,9.86,26.35,80.47,25.49,22.81,37.55,85.85,4.82,0.91,0.89,6.62,175.91,2021,2025-08-15 15:21:15
SEA,sea,33.77,9.16,13.48,6.73,29.85,92.99000000000001,26.29,23.57,20.32,70.18,4.35,2.37,1.12,7.84,172.7,2021,2025-08-15 15:21:15
