Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
CAR,car,14.64,15.03,32.94,19.16,69.83,151.6,24.28,26.47,52.58,103.33,2.55,2.73,1.15,6.43,261.36,2024,2025-08-15 15:16:57
LAC,sdg,21.92,5.76,39.9,7.57,33.0,108.15,12.34,69.32,61.6,143.26,2.39,2.51,1.46,6.36,259.84,2024,2025-08-15 15:16:57
CIN,cin,31.04,9.76,37.12,10.92,49.44,138.27999999999997,64.8,21.17,30.43,116.4,2.63,1.02,0.99,4.64,259.32,2024,2025-08-15 15:16:57
NYJ,nyj,29.24,6.13,29.75,14.94,45.81,125.87,58.15,24.33,44.09,126.57,2.5,2.05,1.39,5.9399999999999995,258.49,2024,2025-08-15 15:16:57
NYG,nyg,54.87,6.02,21.86,6.76,50.96,140.47,37.0,44.05,24.56,105.61,7.77,2.67,1.15,11.59,258.03,2024,2025-08-15 15:16:57
ARI,crd,50.55,16.24,17.2,8.73,48.75,141.47,35.82,21.55,50.01,107.38,5.6,1.84,1.64,9.08,257.92,2024,2025-08-15 15:16:57
BUF,buf,33.49,4.96,45.34,12.18,37.59,133.56,46.82,24.43,41.19,112.44,4.57,2.07,1.21,7.8500000000000005,256.07,2024,2025-08-15 15:16:57
NO,nor,18.16,23.33,25.26,18.31,54.91,139.97,44.77,19.45,46.79,111.00999999999999,1.14,0.8,1.41,3.3499999999999996,255.45,2024,2025-08-15 15:16:57
CHI,chi,11.6,10.52,39.25,19.98,40.16,121.50999999999999,47.28,37.72,39.49,124.49000000000001,4.26,1.02,2.27,7.549999999999999,254.72,2024,2025-08-15 15:16:57
LAR,ram,50.19,4.18,40.09,18.98,68.66,182.10000000000002,32.62,14.44,22.62,69.67999999999999,0.87,1.03,0.92,2.82,254.6,2024,2025-08-15 15:16:57
HOU,htx,15.2,9.99,32.04,15.4,53.53,126.16,59.78,15.06,42.54,117.38,4.4,2.23,1.15,7.780000000000001,253.61,2024,2025-08-15 15:16:57
SEA,sea,27.97,5.47,42.74,16.15,24.03,116.36000000000001,38.62,27.64,59.25,125.50999999999999,5.51,3.92,0.92,10.35,253.36,2024,2025-08-15 15:16:57
ATL,atl,33.43,10.95,20.02,16.95,55.88,137.23,38.74,29.07,38.11,105.92,5.53,3.0,0.99,9.520000000000001,253.13,2024,2025-08-15 15:16:57
MIN,min,40.86,10.63,18.33,16.61,50.18,136.60999999999999,23.02,40.04,45.88,108.94,1.06,0.99,1.7,3.75,252.56,2024,2025-08-15 15:16:57
