Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
BUF,buf,13.63,11.58,19.84,3.4,19.48,67.92999999999999,40.76,13.28,19.92,73.96000000000001,3.64,0.42,1.23,5.290000000000001,147.68,2014,2025-08-15 15:18:32
MIA,mia,9.01,5.68,28.92,3.08,20.27,66.96,25.36,23.57,21.47,70.4,0.53,3.59,0.98,5.1,142.46,2014,2025-08-15 15:18:32
TB,tam,5.7,3.57,17.26,4.35,27.16,58.040000000000006,39.37,10.59,24.44,74.39999999999999,0.42,3.26,0.42,4.1,137.12,2014,2025-08-15 15:18:32
DEN,den,18.64,4.16,19.31,4.45,28.48,75.04,10.38,20.63,24.59,55.599999999999994,1.43,3.25,0.58,5.26,135.89,2014,2025-08-15 15:18:32
CLE,cle,7.17,9.97,11.4,4.7,30.95,64.19,18.29,25.71,24.73,68.73,0.77,0.5,0.68,1.9500000000000002,135.4,2014,2025-08-15 15:18:32
PHI,phi,3.78,12.49,17.78,5.74,31.27,71.06,11.01,22.85,22.95,56.81,0.53,1.34,1.06,2.93,134.78,2014,2025-08-15 15:18:32
NE,nwe,15.61,4.03,14.39,15.19,20.84,70.06,13.84,18.46,26.33,58.629999999999995,3.8,0.5,0.75,5.05,134.32,2014,2025-08-15 15:18:32
SD,sdg,17.94,8.85,14.77,9.32,24.33,75.21000000000001,7.64,19.48,24.4,51.519999999999996,1.7,4.14,0.84,6.68,134.24,2014,2025-08-15 15:18:32
GB,gnb,19.28,3.15,9.49,2.95,20.62,55.49000000000001,14.49,30.47,27.08,72.03999999999999,3.4,1.24,0.84,5.4799999999999995,134.04,2014,2025-08-15 15:18:32
CAR,car,9.0,11.73,11.0,9.88,19.17,60.78,33.51,21.06,11.37,65.94,1.75,0.59,0.98,3.32,133.4,2014,2025-08-15 15:18:32
ARI,crd,15.95,3.58,15.02,5.04,25.85,65.44,27.74,16.2,20.65,64.59,0.42,1.7,1.09,3.21,133.23,2014,2025-08-15 15:18:32
ATL,atl,18.58,7.44,18.79,3.0,30.29,78.1,16.24,18.11,14.74,49.089999999999996,3.31,1.17,0.67,5.15,133.01,2014,2025-08-15 15:18:32
KC,kan,8.84,11.56,18.84,5.65,12.44,57.32999999999999,14.79,24.76,29.05,68.6,1.18,3.8,0.6,5.579999999999999,132.72,2014,2025-08-15 15:18:32
WAS,was,7.09,2.88,22.4,4.04,28.56,64.97,25.74,25.34,12.92,64.0,0.59,0.58,0.91,2.08,132.41,2014,2025-08-15 15:18:32
DET,det,17.03,7.68,21.43,5.56,12.53,64.23,39.33,13.14,12.1,64.57,0.57,0.54,0.64,1.75,132.39,2014,2025-08-15 15:18:32
HOU,htx,15.45,9.88,19.92,6.25,23.55,75.05,10.55,15.28,27.23,53.06,0.62,2.08,0.79,3.49,132.04,2014,2025-08-15 15:18:32
PIT,pit,21.33,3.09,7.7,7.88,19.58,59.58,9.58,34.92,24.46,68.96000000000001,1.76,0.42,0.64,2.8200000000000003,131.95,2014,2025-08-15 15:18:32
NYG,nyg,21.14,5.39,13.02,3.04,27.7,70.28999999999999,18.7,9.74,27.41,55.849999999999994,1.35,1.98,1.15,4.48,131.94,2014,2025-08-15 15:18:32
NO,nor,19.15,5.95,15.31,6.37,25.78,72.56,10.1,17.68,24.14,51.92,1.6,3.24,0.86,5.7,131.77,2014,2025-08-15 15:18:32
CIN,cin,11.0,4.26,11.06,7.93,21.66,55.91,31.44,14.6,24.66,70.7,1.4,2.32,0.76,4.4799999999999995,131.64,2014,2025-08-15 15:18:32
