Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
SF,sfo,21.55,12.82,23.82,4.75,39.73,102.67,48.68,26.32,32.15,107.15,4.02,0.69,0.27,4.979999999999999,220.65,2019,2025-08-15 15:24:42
ATL,atl,20.2,12.22,22.48,8.67,44.87,108.44,47.3,9.77,38.55,95.61999999999999,5.66,3.65,1.86,11.17,216.84,2019,2025-08-15 15:24:42
CLE,cle,11.91,6.68,37.91,8.14,44.86,109.5,42.19,18.18,40.73,101.1,0.6,0.5,0.81,1.9100000000000001,212.75,2019,2025-08-15 15:24:42
PIT,pit,28.23,3.02,28.74,9.08,38.7,107.77,31.79,28.44,30.27,90.5,4.2,1.53,0.72,6.45,206.4,2019,2025-08-15 15:24:42
HOU,htx,8.0,13.17,31.6,4.27,33.77,90.81,25.95,35.4,40.39,101.74,3.1,0.97,0.98,5.050000000000001,198.11,2019,2025-08-15 15:24:42
TEN,oti,27.09,7.76,17.16,8.22,38.97,99.2,27.21,21.26,40.14,88.61,4.27,2.95,1.27,8.49,197.09,2019,2025-08-15 15:24:42
IND,clt,31.28,3.77,32.11,14.4,29.66,111.22,38.13,5.58,32.61,76.32,3.99,3.0,1.57,8.56,196.1,2019,2025-08-15 15:24:42
NE,nwe,24.45,12.39,28.96,5.54,25.91,97.25000000000001,16.88,25.47,49.04,91.38999999999999,3.07,0.67,0.96,4.699999999999999,194.99,2019,2025-08-15 15:24:42
NYG,nyg,30.13,8.79,32.42,10.0,30.05,111.39,14.23,35.94,29.93,80.1,0.65,0.89,0.94,2.48,194.61,2019,2025-08-15 15:24:42
ARI,crd,24.58,12.43,20.28,9.65,39.79,106.72999999999999,15.56,35.3,30.68,81.53999999999999,0.65,2.06,1.05,3.76,192.02,2019,2025-08-15 15:24:42
GB,gnb,30.38,2.73,17.07,16.23,46.81,113.22,12.27,34.85,24.23,71.35000000000001,4.85,0.62,0.59,6.06,191.76,2019,2025-08-15 15:24:42
MIN,min,30.04,3.77,25.26,6.19,26.29,91.55000000000001,38.4,13.76,42.89,95.05,2.19,0.65,0.62,3.46,191.02,2019,2025-08-15 15:24:42
JAX,jax,28.67,10.54,14.77,7.2,32.63,93.81,42.23,12.97,38.29,93.49,2.13,0.59,0.52,3.2399999999999998,190.54,2019,2025-08-15 15:24:42
BAL,rav,20.19,4.94,17.28,6.84,29.35,78.6,21.81,11.24,67.52,100.57,4.7,3.95,1.24,9.89,190.03,2019,2025-08-15 15:24:42
NYJ,nyj,9.61,13.78,20.28,3.08,39.3,86.05,33.69,31.05,34.5,99.24,1.0,0.74,0.77,2.51,188.46,2019,2025-08-15 15:24:42
NO,nor,29.35,4.07,16.19,9.96,45.34,104.91,26.41,20.92,27.64,74.97,1.9,4.25,0.65,6.800000000000001,187.89,2019,2025-08-15 15:24:42
CIN,cin,17.73,8.63,29.58,12.1,34.68,102.72,32.63,11.61,31.92,76.16,1.84,2.75,1.11,5.7,184.95,2019,2025-08-15 15:24:42
TB,tam,23.31,5.01,22.47,11.74,43.35,105.88,31.47,28.55,15.17,75.19,0.77,2.6,0.5,3.87,184.94,2019,2025-08-15 15:24:42
SEA,sea,27.06,5.05,20.71,7.11,34.17,94.1,29.76,29.78,26.18,85.72,2.5,1.24,0.88,4.62,184.89,2019,2025-08-15 15:24:42
LAC,sdg,27.06,6.58,24.92,7.1,38.39,104.05,40.63,14.36,21.91,76.9,1.19,0.55,0.65,2.39,184.1,2019,2025-08-15 15:24:42
CAR,car,24.4,6.38,11.87,9.74,28.45,80.84,34.38,40.27,20.99,95.64,4.06,1.4,1.17,6.629999999999999,183.74,2019,2025-08-15 15:24:42
CHI,chi,14.28,3.74,29.75,13.9,20.3,81.97,19.04,35.34,39.49,93.87,4.56,1.65,0.82,7.029999999999999,182.86,2019,2025-08-15 15:24:42
DAL,dal,2.98,7.46,28.01,5.74,53.23,97.42,42.68,17.37,19.53,79.58,0.63,2.3,0.74,3.67,182.37,2019,2025-08-15 15:24:42
DEN,den,15.97,5.09,15.65,7.82,28.07,72.6,20.18,44.59,37.85,102.62,4.0,0.9,1.0,5.9,182.23,2019,2025-08-15 15:24:42
LAR,ram,11.77,12.45,27.27,4.26,33.01,88.75999999999999,31.24,27.03,27.94,86.21,2.58,2.19,1.25,6.02,180.98,2019,2025-08-15 15:24:42
WAS,was,29.99,8.79,13.0,17.41,32.18,101.37,14.68,25.74,32.1,72.52000000000001,3.23,2.0,1.08,6.3100000000000005,180.63,2019,2025-08-15 15:24:42
DET,det,31.99,6.29,17.43,7.2,30.0,92.91,25.39,15.54,35.82,76.75,3.4,2.36,0.74,6.5,176.63,2019,2025-08-15 15:24:42
MIA,mia,25.54,3.46,23.54,5.33,18.45,76.32,28.18,9.61,59.22,97.00999999999999,0.59,0.65,0.66,1.9,175.76,2019,2025-08-15 15:24:42
BUF,buf,9.03,8.33,20.57,14.87,32.75,85.55,47.86,11.45,21.36,80.67,5.03,0.57,0.85,6.45,174.8,2019,2025-08-15 15:24:42
OAK,rai,25.84,7.62,19.83,6.79,43.78,103.86,22.85,11.06,33.03,66.94,0.59,0.55,0.6,1.7400000000000002,173.15,2019,2025-08-15 15:24:42
