Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
JAX,jax,11.65,5.91,30.3,16.95,28.65,93.46000000000001,34.35,46.3,51.37,132.02,2.02,2.68,1.05,5.75,231.23,2022,2025-08-15 15:20:38
PHI,phi,7.25,5.64,21.57,10.35,45.84,90.65,80.28,11.39,31.53,123.2,2.91,1.23,1.46,5.6000000000000005,219.45,2022,2025-08-15 15:20:38
SEA,sea,31.32,12.87,24.63,10.31,28.55,107.67999999999999,38.42,20.44,34.44,93.3,5.0,4.38,2.08,11.459999999999999,215.8,2022,2025-08-15 15:20:38
DAL,dal,21.1,21.32,20.55,16.12,47.13,126.22,29.21,21.91,32.44,83.56,1.37,2.2,1.77,5.34,215.34,2022,2025-08-15 15:20:38
DET,det,34.5,9.14,16.63,8.66,42.8,111.72999999999999,36.33,33.3,28.22,97.85,1.23,1.25,0.83,3.31,214.42,2022,2025-08-15 15:20:38
HOU,htx,21.68,8.2,21.95,9.03,38.69,99.55,25.28,44.14,36.0,105.42,3.04,2.2,1.05,6.29,212.67,2022,2025-08-15 15:20:38
LAC,sdg,10.29,11.19,38.59,7.5,34.47,102.03999999999999,18.41,50.07,35.85,104.33000000000001,2.18,1.35,1.32,4.8500000000000005,212.13,2022,2025-08-15 15:20:38
GB,gnb,32.12,9.16,14.46,11.42,36.9,104.06,24.11,41.09,35.17,100.37,5.08,1.63,0.71,7.42,211.85,2022,2025-08-15 15:20:38
DEN,den,19.29,9.81,20.02,7.08,51.65,107.85,22.83,22.87,49.81,95.51,4.23,1.31,1.32,6.860000000000001,211.46,2022,2025-08-15 15:20:38
PIT,pit,20.62,5.96,22.47,7.08,20.21,76.34,41.76,47.04,33.68,122.47999999999999,5.41,0.88,0.83,7.12,210.66,2022,2025-08-15 15:20:38
CIN,cin,11.66,15.59,23.72,7.34,36.82,95.13,50.15,9.05,50.59,109.79,0.91,2.42,1.95,5.28,210.2,2022,2025-08-15 15:20:38
