Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,OFF,DEF,Year,Scraped_Date
ARI,crd,11.66,7.14,20.4,5.31,17.9,62.410000000000004,15.81,14.76,20.97,51.54,1.25,1.0,1.09,3.34,117.8,62.92M,50.21M,2012,2025-08-15 15:18:14
ATL,atl,14.04,9.84,14.92,7.54,18.35,64.69,17.11,14.24,27.54,58.89,2.61,0.49,0.42,3.5199999999999996,127.68,65.28M,57.59M,2012,2025-08-15 15:18:14
BAL,rav,8.49,10.46,12.72,2.04,14.57,48.28,15.22,28.29,29.93,73.44,0.99,2.2,0.54,3.7300000000000004,129.85,52.68M,63.45M,2012,2025-08-15 15:18:14
BUF,buf,9.8,7.55,16.52,4.1,13.14,51.11000000000001,40.28,15.86,18.59,74.73,2.52,2.07,1.01,5.6,132.48,51.29M,70.90M,2012,2025-08-15 15:18:14
CAR,car,6.41,13.46,11.78,4.65,26.61,62.91,21.1,18.78,19.7,59.58,1.61,0.97,0.77,3.35,127.17,63.09M,56.60M,2012,2025-08-15 15:18:14
CHI,chi,13.68,10.84,18.42,6.07,13.17,62.18,20.74,21.57,14.58,56.89,2.94,1.68,1.06,5.68,125.65,62.63M,47.19M,2012,2025-08-15 15:18:14
CIN,cin,3.19,4.4,10.32,3.42,25.63,46.959999999999994,21.48,10.68,31.59,63.75,2.76,1.31,1.36,5.430000000000001,118.19,49.01M,61.15M,2012,2025-08-15 15:18:14
CLE,cle,4.5,7.8,7.83,7.2,24.4,51.730000000000004,22.63,19.62,27.06,69.31,3.81,1.34,0.39,5.54,127.13,52.29M,58.86M,2012,2025-08-15 15:18:14
DAL,dal,11.29,7.53,18.52,9.19,19.97,66.5,19.13,24.65,19.02,62.8,0.5,1.39,0.95,2.84,133.05,67.39M,61.85M,2012,2025-08-15 15:18:14
DEN,den,19.76,8.13,7.31,4.44,16.23,55.870000000000005,12.18,34.58,27.94,74.7,1.81,0.54,0.57,2.92,133.89,55.88M,73.69M,2012,2025-08-15 15:18:14
DET,det,11.58,4.03,21.09,5.97,24.53,67.2,32.74,10.45,17.65,60.839999999999996,3.23,0.99,0.61,4.83,132.86,63.39M,60.39M,2012,2025-08-15 15:18:14
GB,gnb,9.05,3.18,21.41,4.37,16.68,54.69,14.68,19.29,26.99,60.959999999999994,2.4,0.78,0.88,4.06,122.11,57.10M,60.15M,2012,2025-08-15 15:18:14
HOU,htx,14.1,9.95,12.95,6.16,20.03,63.19,19.86,18.95,19.84,58.650000000000006,1.07,0.89,0.6,2.56,126.01,64.57M,57.11M,2012,2025-08-15 15:18:14
IND,clt,16.24,8.07,7.42,9.23,10.8,51.75999999999999,9.71,32.55,22.18,64.44,3.2,1.32,0.39,4.91,121.5,52.15M,61.03M,2012,2025-08-15 15:18:14
JAX,jax,6.04,9.75,11.68,10.35,19.16,56.980000000000004,24.54,16.33,17.69,58.56,1.94,0.62,1.03,3.59,126.08,63.81M,58.46M,2012,2025-08-15 15:18:14
KC,kan,9.98,10.02,18.03,5.12,13.55,56.7,24.94,24.69,31.74,81.37,2.4,2.31,0.79,5.5,143.96,56.39M,77.57M,2012,2025-08-15 15:18:14
MIA,mia,7.32,8.17,13.52,6.32,29.02,64.35,18.34,21.54,12.99,52.87,2.86,1.4,0.99,5.25,122.86,62.81M,52.87M,2012,2025-08-15 15:18:14
MIN,min,3.81,14.74,9.35,6.01,16.61,50.519999999999996,34.11,11.91,13.88,59.9,3.04,1.63,0.98,5.65,116.84,51.29M,59.81M,2012,2025-08-15 15:18:14
NE,nwe,9.06,3.78,19.42,10.2,24.76,67.22000000000001,20.21,19.26,18.65,58.12,3.0,0.59,0.47,4.06,129.56,61.74M,55.05M,2012,2025-08-15 15:18:14
NO,nor,11.4,9.43,11.86,2.98,23.17,58.839999999999996,12.81,22.63,19.8,55.239999999999995,1.45,2.02,0.54,4.01,118.5,47.46M,51.22M,2012,2025-08-15 15:18:14
NYG,nyg,10.14,8.67,5.57,4.37,23.16,51.910000000000004,25.66,13.72,28.93,68.31,1.6,1.48,1.11,4.19,124.97,51.46M,62.92M,2012,2025-08-15 15:18:14
NYJ,nyj,9.99,3.08,16.23,8.35,20.19,57.84,8.69,31.66,32.33,72.68,0.64,0.47,0.54,1.65,132.82,57.50M,65.48M,2012,2025-08-15 15:18:14
OAK,rai,3.7,11.44,12.23,2.31,9.290000000000001,38.97,22.35,15.81,23.89,62.050000000000004,4.5,5.29,1.28,11.069999999999999,113.24000000000001,39.97M,61.15M,2012,2025-08-15 15:18:14
PHI,phi,18.65,4.47,11.61,5.41,25.28,65.42,15.07,13.5,20.56,49.129999999999995,0.57,0.83,0.93,2.33,117.41,65.47M,48.94M,2012,2025-08-15 15:18:14
PIT,pit,10.04,5.97,11.24,8.56,17.38,53.19,16.8,26.53,24.75,68.08,2.08,0.39,0.93,3.4000000000000004,125.06,53.13M,66.15M,2012,2025-08-15 15:18:14
SD,sd,16.57,8.95,11.28,8.47,23.8,69.07,14.61,14.83,20.42,49.86,2.54,1.61,0.54,4.69,125.99,62.77M,45.70M,2012,2025-08-15 15:18:14
SEA,sea,5.29,9.38,14.15,8.59,23.74,61.14999999999999,26.1,19.56,13.92,59.58,1.96,1.31,0.49,3.76,126.99,61.76M,54.65M,2012,2025-08-15 15:18:14
SF,sfo,11.05,9.43,14.26,9.2,14.45,58.39,20.2,30.15,22.79,73.13999999999999,3.62,1.96,1.15,6.73,139.21,59.35M,70.83M,2012,2025-08-15 15:18:14
STL,stl,16.53,10.88,7.34,2.33,27.45,64.53,29.47,5.46,17.77,52.7,1.22,0.39,0.47,2.08,119.57,62.28M,52.14M,2012,2025-08-15 15:18:14
TB,tam,8.82,3.58,22.52,4.19,40.17,79.28,21.54,12.85,14.81,49.2,4.91,3.0,0.81,8.72,137.72,79.76M,42.91M,2012,2025-08-15 15:18:14
TEN,oti,10.93,13.64,10.6,4.29,30.24,69.7,7.49,17.97,14.19,39.65,3.68,1.24,0.4,5.32,115.65,70.70M,37.89M,2012,2025-08-15 15:18:14
WAS,was,5.65,3.24,15.03,7.97,28.14,60.03,19.2,9.16,23.87,52.230000000000004,0.52,1.85,0.54,2.91,116.43,56.05M,51.66M,2012,2025-08-15 15:18:14
