PFR_Team,Year,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
ATL,2011,104.85,-4.85,96.93,4.18,3.42
BUF,2011,90.97,25.06,58.19,21.93,10.85
CAR,2011,101.28,1.05,97.03,1.48,2.77
CHI,2011,89.88,16.55,83.76,0.0,6.11
CIN,2011,90.38,22.09,83.34,2.81,3.98
CLE,2011,87.57,19.89,80.95,1.87,4.59
CLT,2011,100.32,1.76,94.87,2.93,2.44
CRD,2011,98.45,3.21,92.24,2.17,3.97
DAL,2011,88.95,25.29,75.03,0.0,13.84
DEN,2011,90.91,30.69,79.45,0.0,11.46
DET,2011,101.73,-0.65,100.17,0.48,1.08
GNB,2011,96.42,7.9,93.58,0.0,2.67
HTX,2011,101.47,-1.47,93.83,2.57,4.98
JAX,2011,75.28,50.47,69.48,2.49,3.07
KAN,2011,86.79,33.15,85.49,0.62,0.52
MIA,2011,110.54,-3.15,94.45,0.0,15.69
MIN,2011,102.89,-1.27,92.71,7.51,2.34
NOR,2011,89.49,14.01,82.88,0.19,6.43
NWE,2011,95.75,9.79,87.28,0.73,6.98
NYG,2011,103.89,-3.01,101.15,0.24,2.5
NYJ,2011,103.83,2.98,94.98,0.0,8.84
OTI,2011,94.38,12.36,89.62,0.0,4.77
PHI,2011,104.48,4.57,98.25,0.44,5.4
PIT,2011,106.8,-6.38,96.42,7.6,2.78
RAI,2011,91.93,10.56,87.75,3.42,0.69
RAM,2011,91.31,11.59,88.67,0.67,1.73
RAV,2011,100.06,4.75,88.89,7.32,3.3
SDG,2011,97.3,2.7,87.76,7.6,1.78
SEA,2011,90.81,26.72,73.55,0.0,17.13
SFO,2011,95.84,17.86,89.04,0.0,6.65
TAM,2011,72.88,46.64,67.67,0.0,5.14
WAS,2011,104.71,6.5,83.79,6.67,14.25
ATL,2012,105.87,-5.87,85.44,13.3,6.89
BUF,2012,109.85,-9.85,65.91,26.04,17.9
CAR,2012,105.44,-5.44,75.59,24.76,5.09
CHI,2012,104.19,-4.19,90.46,9.24,4.49
CIN,2012,98.0,2.0,75.34,14.57,7.92
CLE,2012,105.42,-5.42,85.92,13.65,5.84
CLT,2012,100.75,-0.75,62.52,8.26,29.97
CRD,2012,97.68,2.32,73.61,15.69,8.38
DAL,2012,110.33,-10.33,81.52,7.67,21.13
DEN,2012,111.02,-11.02,96.51,7.48,7.03
DET,2012,110.17,-10.17,95.94,13.62,0.61
GNB,2012,101.25,-1.25,88.11,9.41,3.65
HTX,2012,104.48,-4.48,83.54,6.89,13.9
JAX,2012,104.54,-4.54,79.0,18.0,7.41
KAN,2012,119.37,-19.37,94.64,19.7,5.03
MIA,2012,101.87,-1.87,74.66,17.0,10.03
MIN,2012,96.88,3.12,84.5,2.36,9.54
NOR,2012,98.26,1.74,80.73,12.55,4.98
NWE,2012,107.43,-7.43,85.04,6.3,16.03
NYG,2012,103.63,-3.63,94.51,5.1,4.02
NYJ,2012,110.13,-10.13,85.0,20.11,5.02
OTI,2012,95.9,4.1,75.33,18.32,2.25
PHI,2012,97.36,2.64,73.64,15.75,7.8
PIT,2012,103.7,-3.7,77.12,17.79,8.64
RAI,2012,93.78,6.22,65.94,10.37,17.47
RAM,2012,99.14,0.86,80.36,6.81,11.47
RAV,2012,107.67,-7.67,83.97,13.69,9.63
SDG,2012,104.47,-4.47,78.3,17.93,8.24
SEA,2012,105.3,-5.3,77.4,8.84,19.06
SFO,2012,115.43,-15.43,107.49,5.45,1.85
TAM,2012,114.2,-14.2,79.61,30.97,3.62
WAS,2012,96.54,3.46,73.78,15.68,6.75
ATL,2013,98.88,1.35,72.64,12.29,13.88
BUF,2013,93.16,15.07,75.49,2.73,14.84
CAR,2013,89.73,13.3,59.24,15.69,14.74
CHI,2013,103.91,1.28,83.46,15.39,5.02
CIN,2013,102.8,6.45,75.19,21.02,6.58
CLE,2013,89.05,22.77,65.44,12.1,11.15
CLT,2013,104.41,-2.86,79.88,15.1,8.78
CRD,2013,97.12,6.08,74.73,7.43,14.93
DAL,2013,94.05,3.53,58.28,22.5,13.25
DEN,2013,107.98,5.99,78.61,20.02,9.32
DET,2013,96.9,2.28,77.56,7.28,12.0
GNB,2013,97.64,9.1,81.48,13.62,2.52
HTX,2013,100.18,1.88,62.65,31.95,5.51
JAX,2013,97.24,21.01,54.05,13.94,28.63
