Team,Year,Team_Int_Passing_Norm,Team_Pen_Norm,Team_Yds_Penalties_Norm,Opp_Int_Passing_Norm,Opp_Pen_Norm,Opp_Yds_Penalties_Norm,Extraction_Date
ATL,1970,0.2366,-0.3638,-0.2343,-0.108,1.2162,0.4208,2025-08-17 09:13:19
ATL,1971,0.0109,0.348,-0.2308,-0.1827,-1.2152,-1.1023,2025-08-17 09:13:19
ATL,1972,-0.6486,0.1433,-0.1131,-0.0811,-0.9632,-1.0305,2025-08-17 09:13:19
ATL,1973,-1.0353,-0.3887,-0.5055,0.754,-1.0795,-0.9455,2025-08-17 09:13:19
ATL,1974,2.0848,0.4977,-0.2053,-0.4626,-2.6979,-2.0489,2025-08-17 09:13:19
ATL,1975,1.303,-0.6364,-0.8561,0.7466,-0.8016,-0.1379,2025-08-17 09:13:19
ATL,1976,1.2671,-0.702,-0.6359,0.0408,0.9349,0.79,2025-08-17 09:13:19
ATL,1977,-0.7158,0.6873,0.8598,1.0288,0.7395,0.8516,2025-08-17 09:13:19
ATL,1978,0.0302,1.6255,1.1752,-2.2055,0.5775,0.7001,2025-08-17 09:13:19
ATL,1979,0.3836,0.3676,1.2038,-1.2535,-0.3772,-0.489,2025-08-17 09:13:19
ATL,1980,-1.0906,-0.6943,0.0881,0.6615,0.1473,0.6719,2025-08-17 09:13:19
ATL,1981,0.412,-1.08,0.7315,0.5703,-0.6041,-0.6617,2025-08-17 09:13:19
ATL,1982,-0.4606,1.8965,1.5759,-0.6464,0.5591,0.9544,2025-08-17 09:13:19
ATL,1983,-1.9854,-0.6253,-0.318,-1.2953,-1.4101,-0.9873,2025-08-17 09:13:19
ATL,1984,-0.1655,1.2208,0.9241,-1.367,-0.596,-0.2965,2025-08-17 09:13:19
ATL,1985,-0.2708,1.7389,2.5293,0.0999,-0.2873,-0.6458,2025-08-17 09:13:19
ATL,1986,-0.7348,-0.2628,-0.5763,0.1943,0.2456,0.0354,2025-08-17 09:13:19
ATL,1987,2.9231,-0.1641,-0.1718,-0.8585,-0.7597,-0.9507,2025-08-17 09:13:19
ATL,1988,-0.1499,-2.0716,-1.7327,0.7905,-0.5871,-0.4723,2025-08-17 09:13:19
ATL,1989,-1.585,-1.0882,-0.9921,0.007,-2.0811,-1.3098,2025-08-17 09:13:19
ATL,1990,0.1575,1.702,1.7343,-0.0276,-0.1742,0.412,2025-08-17 09:13:19
ATL,1991,0.8634,1.2155,1.4345,0.3305,0.3598,0.3108,2025-08-17 09:13:19
ATL,1992,-0.7255,-1.2501,-1.0155,-1.7851,-0.3263,-0.1303,2025-08-17 09:13:19
ATL,1993,1.5822,0.7861,0.6735,-0.7648,0.2517,1.079,2025-08-17 09:13:19
ATL,1994,1.7986,0.787,0.6139,1.225,0.4361,0.1066,2025-08-17 09:13:19
ATL,1995,-1.1369,-0.4454,-0.6136,0.2329,-0.7621,-1.0851,2025-08-17 09:13:19
ATL,1996,2.5031,0.3249,0.8915,-2.0901,0.0146,-0.2109,2025-08-17 09:13:19
ATL,1997,-0.8785,-0.1662,-0.7246,0.4427,0.9397,0.0936,2025-08-17 09:13:19
ATL,1998,-0.3783,0.2377,-0.496,0.4319,0.504,-0.4735,2025-08-17 09:13:19
ATL,1999,0.1977,0.3179,0.6678,-1.0709,1.4543,0.8236,2025-08-17 09:13:19
ATL,2000,0.5847,-0.3087,-0.9699,-0.4131,1.6909,1.3953,2025-08-17 09:13:19
ATL,2001,-0.1327,-0.1651,-0.2234,0.0785,0.4435,0.6875,2025-08-17 09:13:19
ATL,2002,-0.9435,0.0674,0.559,1.4253,0.9184,0.6183,2025-08-17 09:13:19
ATL,2003,1.0281,-1.0442,-0.6249,-0.3494,1.5982,0.9957,2025-08-17 09:13:19
ATL,2004,-0.0864,-0.2119,-0.0822,0.5468,1.616,0.1829,2025-08-17 09:13:19
ATL,2005,-0.5753,-0.1391,0.8366,0.0353,-0.1662,0.4705,2025-08-17 09:13:19
ATL,2006,-0.268,0.0574,0.6797,-0.9166,0.3513,0.1222,2025-08-17 09:13:19
ATL,2007,-0.3837,0.7806,1.1871,-0.1808,-0.0503,0.9037,2025-08-17 09:13:19
ATL,2008,-0.8811,-1.3183,-1.0655,-0.9074,1.6409,1.3579,2025-08-17 09:13:19
ATL,2009,0.1063,-1.2276,-0.8971,-0.2516,1.2414,0.998,2025-08-17 09:13:19
ATL,2010,-1.3207,-2.0858,-1.3768,1.4155,1.4949,1.5119,2025-08-17 09:13:19
ATL,2011,-0.5608,-0.5495,-0.6629,0.5994,-0.1567,-0.2563,2025-08-17 09:13:19
ATL,2012,-0.1743,-3.2706,-3.419,1.1931,-1.3013,-1.6631,2025-08-17 09:13:19
ATL,2013,0.2507,-0.4345,-0.3801,-1.2572,0.5015,0.3368,2025-08-17 09:13:19
ATL,2014,0.2421,-0.6157,-0.3497,0.4155,-1.1051,-1.1727,2025-08-17 09:13:19
ATL,2015,0.7646,-0.7447,0.2073,0.3254,-1.5627,-1.6959,2025-08-17 09:13:19
ATL,2016,-1.1454,-0.2864,-0.6441,-0.283,0.4564,0.4345,2025-08-17 09:13:19
ATL,2017,-0.3175,-0.3482,-0.0502,-1.2686,-0.4409,-0.4946,2025-08-17 09:13:19
ATL,2018,-1.293,-0.5851,-0.2103,0.4109,0.0274,0.6982,2025-08-17 09:13:19
ATL,2019,0.3877,0.8743,0.3332,-0.2225,1.8254,1.553,2025-08-17 09:13:19
ATL,2020,-0.3547,-0.599,-0.3302,-0.0971,0.1062,0.1804,2025-08-17 09:13:19
ATL,2021,0.329,-0.5974,-0.8474,-0.3796,1.5493,0.9105,2025-08-17 09:13:19
ATL,2022,-1.2251,-2.2623,-1.8296,-0.8186,0.5921,0.3146,2025-08-17 09:13:19
ATL,2023,0.8722,-1.1183,-0.5528,-1.2394,0.6932,0.2841,2025-08-17 09:13:19
ATL,2024,1.4759,-0.8979,-0.5813,-0.0216,0.9389,0.6639,2025-08-17 09:13:19
BUF,1970,1.0912,1.7689,1.9772,-1.512,-0.6439,-0.1802,2025-08-17 09:13:19
BUF,1971,1.5763,-0.1906,-0.4935,-1.9638,1.0886,1.0603,2025-08-17 09:13:19
BUF,1972,1.0378,1.3848,2.0359,0.7973,0.0571,0.2082,2025-08-17 09:13:19
BUF,1973,-0.6945,0.3056,0.6082,-0.7836,-1.4935,-1.6575,2025-08-17 09:13:19
BUF,1974,-0.7494,0.2354,0.4312,0.1595,-0.4,-0.602,2025-08-17 09:13:19
BUF,1975,-0.2299,0.4606,0.1832,0.7466,-0.2982,-0.8803,2025-08-17 09:13:19
BUF,1976,-0.1521,-0.1239,0.0556,0.2042,-0.0492,-0.8779,2025-08-17 09:13:19
BUF,1977,0.6907,-0.2515,0.6296,0.1611,-1.7702,-1.4672,2025-08-17 09:13:19
BUF,1978,-0.986,0.903,1.3226,-1.7979,-0.6455,0.1412,2025-08-17 09:13:19
BUF,1979,-1.4447,0.1225,0.1263,0.5311,0.2934,-0.7259,2025-08-17 09:13:19
BUF,1980,-0.6861,-0.7766,-1.0335,0.2947,-0.2276,-0.451,2025-08-17 09:13:19
BUF,1981,-0.3204,0.9304,1.3473,-0.4826,-1.0141,-1.849,2025-08-17 09:13:19
BUF,1982,1.4268,1.2102,0.98,0.1405,-0.6451,-0.7336,2025-08-17 09:13:19
BUF,1983,0.9576,2.7392,1.9216,-1.658,2.0714,3.2534,2025-08-17 09:13:19
BUF,1984,1.7649,1.0055,0.8389,-0.7497,-0.9796,-0.948,2025-08-17 09:13:19
BUF,1985,1.7152,2.1498,1.1689,-0.2998,0.5091,0.5916,2025-08-17 09:13:19
BUF,1986,-0.3429,1.3087,0.4198,-1.6707,1.8722,2.1314,2025-08-17 09:13:19
