PFR_Team,Year,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct
ATL,2011,13.06,10.35,10.68,8.07,13.3,10.13,17.75,13.87,1.43,0.32,0.74,55.45,41.75,2.5,100.0
BUF,2011,7.45,8.41,10.54,2.96,7.88,23.87,16.58,17.53,1.8,1.53,0.44,37.24,57.99,3.77,100.0
CAR,2011,4.5,8.97,11.02,5.84,23.75,13.63,14.03,12.92,1.97,1.61,0.98,54.09,40.58,4.56,100.0
CHI,2011,9.24,4.12,9.52,4.64,14.82,17.04,18.6,15.71,1.99,2.68,0.97,42.34,51.35,5.64,100.0
CIN,2011,2.71,4.72,8.59,4.77,23.86,16.67,12.46,23.93,0.63,0.52,0.55,44.66,53.06,1.71,100.0
CLE,2011,3.84,3.68,6.67,9.07,31.91,7.31,13.57,19.16,3.08,1.24,0.0,55.17,40.04,4.33,100.0
CLT,2011,16.41,7.25,10.92,8.57,10.53,7.04,23.72,12.66,2.15,0.44,0.0,53.68,43.42,2.59,100.0
CRD,2011,9.88,3.92,17.29,3.79,19.65,9.88,11.99,19.94,1.9,0.57,0.84,54.53,41.81,3.31,100.0
DAL,2011,9.54,4.38,10.51,9.63,14.62,10.88,17.0,19.1,1.19,2.41,0.76,48.68,46.98,4.35,100.0
DEN,2011,0.64,5.44,5.87,6.39,10.86,17.21,28.32,21.75,2.23,0.37,0.96,29.19,67.28,3.56,100.0
DET,2011,7.39,6.1,19.62,4.61,18.51,22.3,7.45,9.86,2.33,1.12,0.72,56.23,39.61,4.16,100.0
GNB,2011,7.6,4.89,15.57,2.69,16.43,9.93,15.73,21.95,1.94,0.35,0.63,47.18,47.62,2.92,100.0
JAX,2011,4.91,9.09,6.99,5.67,15.71,19.09,13.14,15.58,2.66,0.0,0.97,42.38,47.82,3.63,100.0
KAN,2011,15.68,9.08,8.34,1.57,8.65,21.27,12.32,17.49,0.89,1.9,0.66,43.32,51.07,3.45,100.0
MIA,2011,4.29,4.7,11.87,3.03,27.15,21.05,14.86,10.42,1.01,0.97,0.64,51.04,46.34,2.62,100.0
MIN,2011,6.49,11.44,6.54,7.48,11.38,22.7,12.44,17.66,1.92,1.22,0.73,43.33,52.8,3.87,100.0
NOR,2011,12.15,10.55,11.61,1.92,14.59,12.5,19.67,14.28,1.51,0.48,0.38,50.83,46.45,2.38,100.0
NWE,2011,12.18,3.35,9.99,3.78,23.9,16.19,15.8,11.61,2.26,0.43,0.33,53.2,43.6,3.02,100.0
NYG,2011,14.47,9.53,5.45,1.22,21.43,19.96,9.86,15.08,1.2,0.69,0.74,52.09,44.9,2.62,100.0
NYJ,2011,15.45,2.43,8.47,2.5,21.79,7.84,22.65,17.38,0.44,0.3,0.36,50.65,47.87,1.1,100.0
PHI,2011,16.47,1.49,8.44,3.0,14.88,26.48,7.41,19.86,0.38,0.3,0.73,44.29,53.75,1.42,100.0
PIT,2011,12.03,3.13,7.21,4.67,15.87,14.83,22.29,17.7,0.89,0.76,0.61,42.91,54.81,2.27,100.0
RAI,2011,7.55,13.55,13.37,4.55,8.85,19.55,10.78,13.27,3.37,3.89,0.87,47.87,43.61,8.12,100.0
SEA,2011,7.0,5.65,12.47,5.19,23.47,16.41,11.69,15.41,0.0,1.11,0.38,53.78,43.51,1.48,100.0
SFO,2011,6.15,8.79,10.74,7.9,15.61,18.07,12.61,15.23,1.66,1.16,0.98,49.18,45.91,3.81,100.0
TAM,2011,3.31,2.75,8.65,10.45,30.05,11.79,9.96,15.02,2.1,4.56,0.89,55.2,36.77,7.55,100.0
WAS,2011,2.07,4.23,7.97,6.8,23.15,17.11,12.2,23.73,0.42,1.07,0.36,44.22,53.04,1.85,100.42
ATL,2012,11.0,7.71,11.69,5.91,14.37,13.4,11.15,21.57,2.04,0.38,0.33,50.67,46.12,2.76,100.0
BUF,2012,7.4,5.7,12.47,3.09,9.92,30.4,11.97,14.03,1.9,1.56,0.76,38.58,56.41,4.23,100.0
CAR,2012,5.04,10.58,9.26,3.66,20.93,16.59,14.77,15.49,1.27,0.76,0.61,49.47,46.85,2.63,100.0
CHI,2012,10.89,8.63,14.66,4.83,10.48,16.51,17.17,11.6,2.34,1.34,0.84,49.49,45.28,4.52,100.0
CIN,2012,2.7,3.72,8.73,2.89,21.69,18.17,9.04,26.73,2.34,1.11,1.15,39.73,53.94,4.59,100.0
CLE,2012,3.54,6.14,6.16,5.66,19.19,17.8,15.43,21.28,3.0,1.05,0.31,40.69,54.52,4.36,100.0
CLT,2012,13.37,6.64,6.11,7.6,8.89,7.99,26.79,18.26,2.63,1.09,0.32,42.6,53.04,4.04,100.0
CRD,2012,9.9,6.06,17.32,4.51,15.2,13.42,12.53,17.8,1.06,0.85,0.93,52.98,43.75,2.84,100.0
DAL,2012,8.49,5.66,13.92,6.91,15.01,14.38,18.53,14.3,0.38,1.04,0.71,49.98,47.2,2.13,100.0
DEN,2012,14.76,6.07,5.46,3.32,12.12,9.1,25.83,20.87,1.35,0.4,0.43,41.73,55.79,2.18,100.0
DET,2012,8.72,3.03,15.87,4.49,18.46,24.64,7.87,13.28,2.43,0.75,0.46,50.58,45.79,3.64,100.0
GNB,2012,7.41,2.6,17.53,3.58,13.66,12.02,15.8,22.1,1.97,0.64,0.72,44.79,49.92,3.32,100.0
JAX,2012,4.79,7.73,9.26,8.21,15.2,19.46,12.95,14.03,1.54,0.49,0.82,45.19,46.45,2.85,100.0
KAN,2012,6.93,6.96,12.52,3.56,9.41,17.32,17.15,22.05,1.67,1.6,0.55,39.39,56.52,3.82,100.0
MIA,2012,5.96,6.65,11.0,5.14,23.62,14.93,17.53,10.57,2.33,1.14,0.81,52.38,43.03,4.27,100.0
MIN,2012,3.26,12.62,8.0,5.14,14.22,29.19,10.19,11.88,2.6,1.4,0.84,43.24,51.27,4.84,100.0
NOR,2012,9.62,7.96,10.01,2.51,19.55,10.81,19.1,16.71,1.22,1.7,0.46,49.65,46.62,3.38,100.0
NWE,2012,6.99,2.92,14.99,7.87,19.11,15.6,14.87,14.4,2.32,0.46,0.36,51.89,44.86,3.13,100.0
NYG,2012,8.11,6.94,4.46,3.5,18.53,20.53,10.98,23.15,1.28,1.18,0.89,41.54,54.66,3.35,100.0
NYJ,2012,7.52,2.32,12.22,6.29,15.2,6.54,23.84,24.34,0.48,0.35,0.41,43.55,54.72,1.24,100.0
PHI,2012,15.88,3.81,9.89,4.61,21.53,12.83,11.5,17.51,0.49,0.71,0.79,55.72,41.84,1.98,100.0
PIT,2012,8.03,4.77,8.99,6.84,13.9,13.43,21.21,19.79,1.66,0.31,0.74,42.53,54.44,2.72,100.0
RAI,2012,3.27,10.12,10.81,2.04,8.21,19.76,13.98,21.12,3.98,4.68,1.13,34.46,54.87,9.79,100.13
SEA,2012,4.17,7.39,11.14,6.76,18.69,20.55,15.4,10.96,1.54,1.03,0.39,48.15,46.92,2.96,100.0
SFO,2012,7.94,6.77,10.24,6.61,10.38,14.51,21.66,16.37,2.6,1.41,0.83,41.94,52.54,4.83,100.0
TAM,2012,6.4,2.6,16.35,3.04,29.17,15.64,9.33,10.75,3.57,2.18,0.59,57.57,35.72,6.33,100.0
WAS,2012,4.85,2.78,12.91,6.85,24.17,16.49,7.87,20.5,0.45,1.59,0.46,51.56,44.86,2.5,100.0
ATL,2013,8.1,6.5,14.5,5.85,14.92,13.42,14.09,18.61,2.42,0.47,0.39,49.87,46.12,3.29,100.0
BUF,2013,7.44,7.23,9.64,4.32,13.49,28.55,6.41,19.33,1.59,0.46,0.92,42.12,54.29,2.97,100.0
CAR,2013,6.78,8.45,10.63,4.4,16.39,16.45,17.51,13.6,2.48,0.45,0.78,46.65,47.56,3.72,100.0
CHI,2013,8.85,7.92,15.11,3.57,9.08,22.81,11.32,15.65,2.75,1.35,0.86,44.53,49.79,4.96,100.0
CIN,2013,2.17,4.68,7.4,3.48,19.04,31.35,7.97,18.29,1.26,2.19,1.05,36.76,57.61,4.5,100.0
CLE,2013,4.6,5.79,5.62,1.84,22.88,23.28,19.45,14.24,0.89,0.37,0.96,40.73,56.97,2.23,100.0
CLT,2013,6.63,5.7,10.29,2.22,18.35,11.86,20.05,18.84,2.63,2.31,0.37,43.19,50.75,5.32,100.0
CRD,2013,10.18,5.22,13.01,4.22,19.31,18.62,12.62,12.8,1.71,1.32,0.91,51.94,44.04,3.93,100.0
DAL,2013,11.95,1.96,6.56,5.19,18.45,9.13,26.15,18.59,0.48,0.48,0.85,44.11,53.87,1.82,100.0
DEN,2013,14.12,4.18,7.15,6.01,20.94,9.25,15.39,18.13,2.48,1.5,0.49,52.4,42.76,4.47,100.0
DET,2013,18.0,4.3,14.92,6.22,12.1,23.08,10.09,9.06,0.52,0.38,0.52,55.54,42.22,1.41,100.0
GNB,2013,10.61,2.27,8.37,9.59,15.31,14.89,17.03,16.22,1.95,0.92,0.68,46.15,48.14,3.55,100.0
JAX,2013,7.06,7.54,14.7,6.26,15.04,17.39,14.7,12.37,2.74,0.57,0.49,50.59,44.46,3.79,100.0
KAN,2013,11.69,4.96,8.7,4.33,17.96,13.1,16.12,19.87,1.08,1.35,0.42,47.64,49.09,2.85,100.0
MIA,2013,5.22,1.72,8.87,5.35,18.07,25.94,12.1,19.47,0.69,1.47,0.97,39.23,57.51,3.13,100.0
MIN,2013,7.19,12.06,8.96,3.61,15.99,28.93,10.38,9.22,0.4,0.35,0.81,47.81,48.53,1.56,100.0
NOR,2013,14.71,7.38,9.53,3.26,14.82,7.98,19.04,18.7,1.87,1.57,0.61,49.71,45.72,4.05,100.0
NWE,2013,11.77,3.46,12.05,5.89,18.64,16.09,13.75,14.35,2.74,0.36,0.45,51.81,44.19,3.56,100.0
NYG,2013,17.38,6.17,7.13,2.35,17.95,16.35,10.23,18.86,0.49,1.44,0.82,50.98,45.44,2.74,100.0
NYJ,2013,12.7,3.54,10.64,3.42,17.62,6.59,20.54,23.15,0.5,0.34,0.57,47.92,50.28,1.42,100.0
PHI,2013,10.65,5.01,15.28,4.65,21.32,10.26,13.4,14.43,0.52,0.5,0.82,56.91,38.09,1.83,100.0
PIT,2013,12.27,3.25,9.0,7.55,11.42,10.98,21.96,20.79,1.43,0.47,0.49,43.49,53.73,2.4,100.0
RAI,2013,11.46,9.72,8.48,2.96,9.11,22.86,13.49,14.5,4.18,0.38,0.93,41.74,50.86,5.49,100.0
SEA,2013,4.18,8.14,13.56,9.61,21.27,26.1,4.3,10.19,0.46,1.05,0.58,56.77,40.6,2.09,100.0
SFO,2013,2.02,7.37,15.28,8.29,14.41,10.12,14.63,20.69,2.39,3.34,0.52,47.38,45.44,6.24,100.0
TAM,2013,8.53,3.43,12.1,1.99,20.54,16.19,7.22,23.18,3.08,2.54,0.44,46.59,46.59,6.06,100.0
WAS,2013,5.62,2.2,18.5,4.79,21.53,16.0,15.73,12.18,0.52,0.82,1.2,52.63,43.91,2.54,100.0
ATL,2014,13.97,5.59,14.13,2.26,22.77,12.21,13.62,11.08,2.49,0.88,0.5,58.72,36.91,3.87,100.0
BUF,2014,9.23,7.84,13.43,2.3,13.19,27.6,8.99,13.49,2.46,0.28,0.83,46.0,50.08,3.58,100.0
CAR,2014,6.75,8.79,8.25,7.41,14.37,25.12,15.79,8.52,1.31,0.44,0.73,45.56,49.43,2.49,100.0
CHI,2014,14.74,8.31,11.06,5.98,13.56,13.14,15.88,13.46,2.08,0.95,0.43,53.64,42.48,3.46,100.0
CIN,2014,8.36,3.24,8.4,6.02,16.45,23.88,11.09,18.73,1.06,1.76,0.58,42.47,53.71,3.4,100.0
CLE,2014,5.3,7.36,8.42,3.47,22.86,13.51,18.99,18.26,0.57,0.37,0.5,47.41,50.76,1.44,100.0
CLT,2014,7.91,3.56,10.55,2.38,15.26,16.17,19.37,19.74,1.82,2.38,0.46,39.66,55.28,4.66,100.0
