Feature,Importance,Is_Coach_Feature
Int Passing__dc_Norm,0.0027686132,True
Avg_Starter_Exp_TE,0.0027494014,False
CB_Players_Departed,0.0027456235,False
Avg_Starter_Age_CB,0.002737762,False
TE_Departure_Rate_Pct,0.0027196687,False
Y/A Rushing__hc_Norm,0.0027166689,True
WR_Retention_Rate_Pct_crosstab,0.0027141166,False
Avg_Roster_Exp_DL,0.0026934901,False
LB_Net_Change,0.0026880407,False
QB_Pct,0.0026708713,False
1stPy__oc_Norm,0.0026663658,True
Cmp Passing__opp__hc_Norm,0.0026618638,True
Int Passing__opp__hc_Norm,0.0026595546,True
Avg_Roster_Exp_RB,0.002641837,False
Avg_Starter_Exp_CB,0.002631884,False
TO__opp__hc_Norm,0.002629726,True
Sc%__oc_Norm,0.0026195357,True
CB_Min_Games_Missed_Pct,0.0026167384,False
WR_Avg_Games_Missed_Pct,0.002602013,False
Def_Pct,0.0025854565,False
3D%__dc_Norm,0.0025663197,True
TO%__opp__hc_Norm,0.0025569731,True
OL_Players_Departed,0.0025465167,False
TD Passing__dc_Norm,0.0025437057,True
LB_Departure_Rate_Pct_crosstab,0.0025346307,False
Team_Pen_Norm,0.0025341439,False
TO%__oc_Norm,0.0025065548,True
WR_Retention_Rate_Pct,0.0025009704,False
DL_Players_New,0.00250039,False
QB_Retention_Rate_Pct_crosstab,0.0024991245,False
num_yr_col_pos,0.0024968695,True
TE_Players_Count,0.0024926246,False
Y/P__dc_Norm,0.0024751397,True
Avg_Starter_Age_TE,0.0024594206,False
3DAtt__opp__hc_Norm,0.0024564385,True
TO__dc_Norm,0.002454113,True
Avg_Roster_Age_QB,0.0024478647,False
Avg_Roster_Exp_WR,0.002438768,False
Cmp Passing__oc_Norm,0.0024140216,True
LB_Retention_Rate_Pct,0.002394109,False
Avg_Starter_Age_DL,0.002392378,False
num_yr_col_hc,0.002392276,True
Avg_Starter_Exp_LB,0.0023821476,False
RB_Retention_Rate_Pct,0.0023793178,False
DL_Max_Games_Missed_Pct,0.0023718197,False
PF (Points For)__dc_Norm,0.002370997,True
Off_Pct,0.0023539318,False
Y/A Rushing__dc_Norm,0.002334757,True
TE_Pct,0.0023266978,False
RZPct__oc_Norm,0.0023204144,True
RZPct__dc_Norm,0.0023129536,True
3DAtt__hc_Norm,0.0023074911,True
TE_Avg_Games_Missed_Pct,0.0022990005,False
Att Passing__dc_Norm,0.002275305,True
DL_Min_Games_Missed_Pct,0.0022735328,False
Avg_Roster_Exp_LB,0.0022714422,False
Plays Average Drive__hc_Norm,0.0022635066,True
1stD Passing__dc_Norm,0.002260227,True
Att Rushing__hc_Norm,0.0022533096,True
Cmp Passing__dc_Norm,0.0022528155,True
3DAtt__dc_Norm,0.0022444217,True
Y/A Rushing__oc_Norm,0.0022434439,True
Avg_Starter_Exp_RB,0.0022420816,False
Opp_Yds_Penalties_Norm,0.0022402743,False
Yds Average Drive__oc_Norm,0.0022393467,True
Prev_1Yr_Round_4_Picks,0.0022317192,False
CB_Retention_Rate_Pct,0.0022293185,False
Current_Round_7Plus_Picks,0.0022224148,False
Cmp Passing__hc_Norm,0.0022135123,True
WR_Net_Change,0.002212791,False
OL_Min_Games_Missed_Pct,0.0022091132,False
Yds Passing__hc_Norm,0.0022074506,True
Yds Passing__dc_Norm,0.002201568,True
Prev_2Yr_Round_6_Picks,0.0021950414,False
OL_Pct,0.0021904379,False
Att Rushing__oc_Norm,0.0021849992,True
Yds Passing__opp__hc_Norm,0.0021698864,True
S_Departure_Rate_Pct_crosstab,0.0021499414,False
4DAtt__dc_Norm,0.0021340523,True
TE_Net_Change,0.002132622,False
Avg_Roster_Age_LB,0.0021313298,False
Avg_Roster_Exp_S,0.0021245873,False
TE_Players_Retained,0.00212126,False
Time Average Drive__oc_Norm,0.0021178091,True
Att Passing__hc_Norm,0.0020981338,True
Pts Average Drive__dc_Norm,0.0020951072,True
#Dr__oc_Norm,0.002072595,True
StdDev_Starter_Age,0.0020582338,False
CB_Net_Change,0.0020579572,False
WR_Players_Departed,0.002049275,False
Int Passing__oc_Norm,0.0020376306,True
WR_New_Player_Rate_Pct_crosstab,0.002032516,False
OL_Retention_Rate_Pct_crosstab,0.002032373,False
Current_Round_3_Picks,0.0020051245,False
WR_Max_Games_Missed_Pct,0.0020034132,False
Plays Average Drive__dc_Norm,0.0020002984,True
Y/P__hc_Norm,0.0019902897,True
Opp_Pen_Norm,0.0019890126,False
Yds Rushing__oc_Norm,0.0019761447,True
Avg_Roster_Exp_TE,0.001975657,False
StdDev_Starter_Experience,0.0019576817,False
4DAtt__hc_Norm,0.001956131,True
LB_Players_New,0.0019410948,False
LB_Players_Retained,0.0019363101,False
Avg_Starter_Exp_WR,0.0019273235,False
num_yr_nfl_hc,0.0019209526,True
1stPy__opp__hc_Norm,0.0019155255,True
Avg_Starter_Age_S,0.00190111,False
3D%__hc_Norm,0.0018972728,True
Pen__hc_Norm,0.0018870503,True
DL_Departure_Rate_Pct_crosstab,0.001884521,False
LB_Max_Games_Missed_Pct,0.0018756004,False
Yds__dc_Norm,0.0018636539,True
DL_New_Player_Rate_Pct,0.0018400411,False
1stD Rushing__oc_Norm,0.0018168421,True
LS_Pct,0.0018136054,False
LB_Retention_Rate_Pct_crosstab,0.0017983032,False
RB_New_Player_Rate_Pct,0.0017845312,False
DL_Pct,0.0017643261,False
Prev_3Yr_Round_3_Picks,0.0017642028,False
TD Passing__opp__hc_Norm,0.0017633697,True
S_Retention_Rate_Pct,0.0017483265,False
CB_Departure_Rate_Pct,0.0017386866,False
Att Passing__opp__hc_Norm,0.0017329097,True
Prev_1Yr_Round_7Plus_Picks,0.0017297171,False
QB_Players_Retained,0.0017279946,False
RZAtt__oc_Norm,0.0017061381,True
Prev_3Yr_Round_5_Picks,0.0016957177,False
Avg_Starter_Exp_DL,0.0016874647,False
NY/A Passing__dc_Norm,0.0016680651,True
Avg_Roster_Age_RB,0.0016307429,False
Avg_Roster_Age_OL,0.001626876,False
Team_Yds_Penalties_Norm,0.0015972877,False
TO__hc_Norm,0.0015950558,True
Yds Rushing__hc_Norm,0.001585369,True
Avg_Roster_Age_WR,0.0015694593,False
WR_Min_Games_Missed_Pct,0.0015567078,False
Pen__opp__hc_Norm,0.0015505797,True
Yds Penalties__hc_Norm,0.0015386901,True
Avg_Starter_Age_LB,0.0014711921,False
Avg_Roster_Age_CB,0.0014670858,False
LB_New_Player_Rate_Pct_crosstab,0.0014189042,False
Pen__dc_Norm,0.0013941051,True
Prev_1Yr_Round_5_Picks,0.0013881887,False
1stD__dc_Norm,0.0013860404,True
Att Passing__oc_Norm,0.0013682107,True
S_Avg_Games_Missed_Pct,0.0013417351,False
Prev_3Yr_Round_2_Picks,0.0013307999,False
Avg_Roster_Age_TE,0.0013299,False
S_Max_Games_Missed_Pct,0.0013173883,False
Current_Round_5_Picks,0.001207552,False
Att Rushing__dc_Norm,0.0010276298,True
num_yr_nfl_coor,0.000997642,True
Time Average Drive__hc_Norm,0.00076879683,True
TE_Max_Games_Missed_Pct,0.0007122851,False
TE_New_Player_Rate_Pct_crosstab,0.000621599,False
Current_Round_2_Picks,0.00047096182,False
Sc%__dc_Norm,5.1654213e-05,True
num_times_hc,0.0,True
RB_Players_Retained,0.0,False
RB_Players_Departed,0.0,False
Total_Games_In_Season,0.0,False
CB_Max_Games_Missed_Pct,0.0,False
CB_Players_Count,0.0,False
Prev_2Yr_Round_3_Picks,0.0,False
Prev_1Yr_Round_1_Picks,0.0,False
S_Net_Change,0.0,False
Current_Round_1_Picks,0.0,False
RB_Departure_Rate_Pct,0.0,False
S_Min_Games_Missed_Pct,0.0,False
S_Departure_Rate_Pct,0.0,False
WR_Players_Retained,0.0,False
LB_Players_Count,0.0,False
Current_Round_4_Picks,0.0,False
1stD Rushing__opp__hc_Norm,0.0,True
S_New_Player_Rate_Pct_crosstab,0.0,False
LB_Min_Games_Missed_Pct,0.0,False
num_yr_col_coor,0.0,True
#Dr__opp__hc_Norm,0.0,True
RB_Retention_Rate_Pct_crosstab,0.0,False
LB_Avg_Games_Missed_Pct,0.0,False
QB_Departure_Rate_Pct_crosstab,0.0,False
DL_Players_Count,0.0,False
QB_New_Player_Rate_Pct_crosstab,0.0,False
QB_Players_Count,0.0,False
OL_Players_Count,0.0,False
RB_Players_Count,0.0,False
WR_Pct,0.0,False
WR_Players_Count,0.0,False
S_Players_Count,0.0,False
WR_Departure_Rate_Pct,0.0,False
WR_Departure_Rate_Pct_crosstab,0.0,False
DL_Players_Retained,0.0,False
Prev_3Yr_Round_6_Picks,0.0,False
LB_Departure_Rate_Pct,0.0,False
Int Passing__hc_Norm,0.0,True
LB_Players_Departed,0.0,False
OL_Departure_Rate_Pct_crosstab,0.0,False
TE_Retention_Rate_Pct_crosstab,0.0,False
Prev_1Yr_Round_6_Picks,0.0,False
TE_Departure_Rate_Pct_crosstab,0.0,False
RB_New_Player_Rate_Pct_crosstab,0.0,False
Prev_2Yr_Round_7Plus_Picks,0.0,False
DL_Departure_Rate_Pct,0.0,False
Prev_2Yr_Round_5_Picks,0.0,False
Pts Average Drive__oc_Norm,0.0,True
Avg_Starter_Exp_S,0.0,False
DL_Retention_Rate_Pct_crosstab,0.0,False
1stD Rushing__dc_Norm,0.0,True
Prev_1Yr_Round_3_Picks,0.0,False
RB_Departure_Rate_Pct_crosstab,0.0,False
TE_Retention_Rate_Pct,0.0,False
S_Players_Retained,0.0,False
TD Rushing__dc_Norm,0.0,True
TE_Players_Departed,0.0,False
Prev_4Yr_Round_1_Picks,0.0,False
Avg_Starter_Age_QB,0.0,False
Prev_1Yr_Round_2_Picks,0.0,False
CB_Departure_Rate_Pct_crosstab,0.0,False
Yds Average Drive__hc_Norm,0.0,True
CB_New_Player_Rate_Pct_crosstab,0.0,False
S_Retention_Rate_Pct_crosstab,0.0,False
S_Players_Departed,0.0,False
S_Players_New,0.0,False
Current_Round_6_Picks,0.0,False
