Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ATL,21,35,113,108,140,111,166,93,105,227,61,116,193,194,130
BUF,122,148,135,127,97,161,231,115,81,105,157,70,109,154,88
CAR,148,155,142,236,138,120,181,308,204,180,129,152,125,207,151
CHI,40,70,75,78,78,125,237,187,101,108,184,113,125,87,156
CIN,118,91,180,170,125,70,101,166,247,179,142,148,135,92,159
CLE,140,105,122,97,108,164,192,205,202,138,251,148,219,221,255
CLT,237,141,217,194,236,129,171,365,460,188,151,209,147,222,164
CRD,44,77,103,126,119,126,190,213,210,181,114,155,239,217,149
DAL,70,91,111,126,134,111,164,159,176,195,232,189,206,153,174
DEN,74,114,142,184,97,107,95,162,217,223,218,180,268,135,91
DET,177,107,113,73,127,118,190,288,158,131,180,199,181,220,282
GNB,212,93,210,235,154,103,223,194,171,159,175,149,75,91,116
HTX,133,132,128,118,137,171,249,226,187,227,113,141,154,314,215
JAX,147,157,221,102,194,154,163,302,308,236,238,115,71,116,98
KAN,67,82,122,34,139,146,118,204,215,252,171,84,89,139,151
MIA,86,66,48,61,143,57,135,198,150,247,88,131,182,124,198
MIN,37,53,48,65,104,115,188,122,191,98,180,122,144,150,150
NOR,93,149,100,159,110,130,288,372,242,199,198,181,205,159,167
NWE,161,117,202,184,145,230,125,281,262,210,269,183,177,187,129
NYG,159,204,132,152,186,202,174,351,216,201,205,303,226,169,164
NYJ,57,75,56,146,103,115,209,293,127,233,215,221,123,214,171
OTI,97,41,180,66,138,97,75,144,266,168,146,300,287,175,178
PHI,123,52,89,96,88,120,70,185,287,168,237,113,107,137,141
PIT,95,97,72,163,51,168,220,140,165,129,89,157,137,118,209
RAI,29,78,165,128,141,112,103,131,252,178,135,161,180,118,179
RAM,167,147,55,76,108,88,131,136,203,111,110,129,217,69,156
RAV,144,109,210,92,196,209,254,268,244,138,171,200,195,149,150
SDG,104,118,109,145,185,102,340,140,180,183,102,106,214,124,169
SEA,117,163,77,153,251,117,196,243,291,253,221,136,208,122,126
SFO,53,91,72,198,220,147,132,282,188,259,314,203,171,141,203
TAM,68,70,113,189,63,127,167,166,250,192,143,125,142,90,185
WAS,99,80,210,90,144,195,168,251,258,268,198,180,175,206,118
