Category,Total_SHAP,Avg_SHAP,Max_Feature_SHAP,Feature_Count,Pct_Total_Importance
Coaching Performance,0.115081884,0.0008718325,0.016634643,132,27.71
Salary Cap,0.0955053,0.0050265947,0.049438316,19,23.0
Team Performance,0.08182129,0.011688756,0.03745871,7,19.7
Roster Turnover,0.04241682,0.00047129797,0.005533752,90,10.21
Injury/Availability,0.04149936,0.0011216043,0.020889571,37,9.99
Player Age & Experience,0.028171137,0.0006402531,0.0050405003,44,6.78
Draft Strategy,0.009500279,0.00032759583,0.0033199769,29,2.29
Coaching Experience,0.0012758204,0.00018226006,0.00092977047,7,0.31
