Primary_Coach,Games,Avg_Difference,Std_Difference,Min_Difference,Max_Difference,Avg_Actual_Win_Pct,Avg_Predicted_Win_Pct
John North,2,0.0972,0.0052,0.0936,0.1009,0.3571,0.2599
Nick Skorich,4,0.0792,0.0673,-0.016,0.135,0.5536,0.4744
Brian Flores,3,0.0656,0.0073,0.0591,0.0735,0.489,0.4234
Tony Sparano,3,0.0637,0.0061,0.0582,0.0702,0.5208,0.4572
Adam Gase,5,0.0592,0.0644,-0.0388,0.1272,0.4,0.3408
Ed Khayat,3,0.0557,0.0548,-0.0075,0.0891,0.3691,0.3133
Jim Caldwell,7,0.0533,0.081,-0.0701,0.1886,0.5536,0.5003
Tom Cable,2,0.0515,0.0685,0.0031,0.1,0.4062,0.3547
Red Miller,4,0.0515,0.038,0.0173,0.1054,0.6518,0.6003
Mike Munchak,3,0.0498,0.0985,-0.0633,0.1173,0.4583,0.4086
Frank Kush,2,0.0496,0.0014,0.0486,0.0506,0.25,0.2004
Raheem Morris,4,0.0486,0.0485,-0.0053,0.1061,0.3833,0.3347
Sean McDermott,8,0.0476,0.0826,-0.0533,0.1679,0.6558,0.6082
Dave McGinnis,4,0.0466,0.0423,0.008,0.0995,0.2969,0.2503
Ray Rhodes,5,0.045,0.0446,-0.0186,0.1074,0.4687,0.4237
Butch Davis,4,0.0448,0.0686,-0.0129,0.1439,0.3906,0.3458
John Mazur,3,0.0448,0.047,0.0059,0.0971,0.2857,0.2409
Mike Vrabel,6,0.0446,0.0235,0.0106,0.0699,0.5472,0.5026
John Madden,9,0.0441,0.0624,-0.0601,0.1711,0.7371,0.693
Mike McDaniel,3,0.0434,0.0062,0.0383,0.0502,0.549,0.5057
DeMeco Ryans,2,0.0413,0.0253,0.0234,0.0592,0.5882,0.5469
Shane Steichen,2,0.0409,0.0044,0.0378,0.0441,0.5,0.4591
Joe Walton,7,0.0395,0.057,-0.0453,0.1416,0.4812,0.4418
Vince Tobin,4,0.0379,0.0858,-0.0793,0.127,0.4062,0.3683
Kevin O'Connell,3,0.0376,0.0711,-0.0429,0.0917,0.6667,0.6291
Mike Nolan,4,0.0367,0.0201,0.0208,0.063,0.3594,0.3226
Chuck Pagano,6,0.0351,0.0535,-0.0463,0.1089,0.5521,0.517
Joe Gibbs,16,0.0328,0.0613,-0.1142,0.1543,0.6287,0.5959
Matt Nagy,4,0.0327,0.035,-0.0016,0.0689,0.5257,0.493
Dick Jauron,10,0.0316,0.0381,-0.0368,0.0791,0.4188,0.3872
Al Saunders,4,0.0311,0.0951,-0.0638,0.1157,0.3521,0.321
Raymond Berry,7,0.0299,0.0371,-0.0202,0.102,0.5583,0.5285
Jay Gruden,5,0.0283,0.0703,-0.0481,0.1074,0.4437,0.4154
Sam Rutigliano,6,0.0279,0.0388,-0.0374,0.0659,0.5116,0.4836
Jeff Fisher,14,0.0266,0.066,-0.0782,0.1628,0.5625,0.5359
Ron Meyer,6,0.0264,0.0485,-0.0321,0.0901,0.5259,0.4996
Bart Starr,9,0.0262,0.0482,-0.0531,0.1008,0.4141,0.3879
Lou Holtz,2,0.0245,0.001,0.0238,0.0253,0.2143,0.1898
Vic Fangio,3,0.0235,0.0113,0.0139,0.036,0.3873,0.3638
Lou Saban,5,0.0235,0.0677,-0.0694,0.0865,0.5143,0.4908
Jimmy Johnson,9,0.023,0.0438,-0.0391,0.0978,0.5556,0.5325
Don Shula,27,0.0216,0.0449,-0.0571,0.1066,0.6545,0.6329
Jim Dooley,2,0.0215,0.0361,-0.004,0.047,0.4286,0.4071
Jim Mora,4,0.0214,0.0794,-0.0527,0.1332,0.4844,0.4629
Art Shell,8,0.0208,0.0401,-0.0587,0.0638,0.5078,0.487
Lovie Smith,12,0.0207,0.0549,-0.0877,0.0751,0.4807,0.46
Bum Phillips,5,0.0207,0.0172,0.0037,0.0404,0.3889,0.3682
