Team,Year,Actual_Win_Pct,Predicted_With_Coach,Predicted_Replacement,Coaching_WAR,Predicted_Impact,Prediction_Error_Coach,Prediction_Error_Replacement,WAR_SE,Primary_Coach,Combined_Coach,WAR_Percentile
CHI,1987,0.7333,0.4434371,0.36402857,0.3692714269638061,0.07940853,0.28986290054321284,0.3692714269638061,2.076191738337326,Mike Ditka,Mike Ditka,100.0
DET,2024,0.8824,0.60230875,0.5982459,0.284154081249237,0.0040628314,0.28009124984741207,0.284154081249237,2.076191738337326,Dan Campbell,Dan Campbell,99.93891264508247
SFO,2019,0.8125,0.5822873,0.53065145,0.2818485498428345,0.05163586,0.23021268844604492,0.2818485498428345,2.076191738337326,Kyle Shanahan,Kyle Shanahan,99.87782529016494
CRD,1989,0.4545,0.16733027,0.17642899,0.27807101142406465,-0.0090987235,0.287169734954834,0.27807101142406465,2.076191738337326,Gene Stallings,Gene Stallings / Hank Kuhlmann,99.8167379352474
PIT,2004,0.9375,0.70079273,0.66422766,0.2732723355293274,0.036565065,0.23670727014541626,0.2732723355293274,2.076191738337326,Bill Cowher,Bill Cowher,99.75565058032987
NWE,2017,0.8125,0.5689901,0.539605,0.2728949785232544,0.02938509,0.24350988864898682,0.2728949785232544,2.076191738337326,Bill Belichick,Bill Belichick,99.69456322541234
MIN,2017,0.8125,0.5503854,0.5401721,0.27232789993286133,0.0102133155,0.26211458444595337,0.27232789993286133,2.076191738337326,Mike Zimmer,Mike Zimmer,99.6334758704948
CLT,2012,0.6875,0.45420536,0.41706496,0.27043503522872925,0.0371404,0.23329463601112366,0.27043503522872925,2.076191738337326,Chuck Pagano,Chuck Pagano,99.57238851557727
GNB,1998,0.6875,0.46094725,0.42443702,0.263062983751297,0.03651023,0.22655275464057922,0.263062983751297,2.076191738337326,Mike Holmgren,Mike Holmgren,99.51130116065976
CLT,2009,0.875,0.6333417,0.6165751,0.25842487812042236,0.016766608,0.2416582703590393,0.25842487812042236,2.076191738337326,Jim Caldwell,Jim Caldwell,99.45021380574221
RAI,1976,0.9286,0.7368738,0.6717997,0.2568002806663513,0.065074086,0.19172619447708128,0.2568002806663513,2.076191738337326,John Madden,John Madden,99.38912645082468
MIA,1974,0.7857,0.56644535,0.53140825,0.2542917496681213,0.0350371,0.2192546493530273,0.2542917496681213,2.076191738337326,Don Shula,Don Shula,99.32803909590714
NWE,2013,0.75,0.5282134,0.50148094,0.24851906299591064,0.026732445,0.22178661823272705,0.24851906299591064,2.076191738337326,Bill Belichick,Bill Belichick,99.26695174098961
RAI,1985,0.75,0.54842395,0.50161046,0.24838954210281372,0.046813488,0.20157605409622192,0.24838954210281372,2.076191738337326,Tom Flores,Tom Flores,99.20586438607208
RAV,2019,0.875,0.67162716,0.6304085,0.24459147453308105,0.04121864,0.20337283611297607,0.24459147453308105,2.076191738337326,John Harbaugh,John Harbaugh,99.14477703115455
GNB,1995,0.6875,0.48303032,0.44779843,0.23970156908035278,0.03523189,0.2044696807861328,0.23970156908035278,2.076191738337326,Mike Holmgren,Mike Holmgren,99.08368967623701
CLE,2023,0.6471,0.43845597,0.40869042,0.2384095772266388,0.029765546,0.2086440309047699,0.2384095772266388,2.076191738337326,Kevin Stefanski,Kevin Stefanski,99.02260232131948
NWE,2007,1.0,0.8094284,0.76619357,0.23380643129348755,0.043234825,0.1905716061592102,0.23380643129348755,2.076191738337326,Bill Belichick,Bill Belichick,98.96151496640195
BUF,1973,0.6429,0.46228024,0.41052487,0.23237512507438662,0.05175537,0.18061975636482241,0.23237512507438662,2.076191738337326,Lou Saban,Lou Saban,98.90042761148442
NWE,2015,0.75,0.55126184,0.51869917,0.23130083084106445,0.032562673,0.19873815774917603,0.23130083084106445,2.076191738337326,Bill Belichick,Bill Belichick,98.83934025656689
MIN,1998,0.9375,0.70979816,0.7077341,0.2297658920288086,0.0020640492,0.2277018427848816,0.2297658920288086,2.076191738337326,Dennis Green,Dennis Green,98.77825290164935
SFO,1989,0.875,0.6931073,0.6461506,0.2288494110107422,0.046956718,0.18189269304275513,0.2288494110107422,2.076191738337326,George Seifert,George Seifert,98.71716554673182
NWE,1978,0.7333,0.5831796,0.50832325,0.22497674779891963,0.07485634,0.15012040691375728,0.22497674779891963,2.076191738337326,Chuck Fairbanks,Chuck Fairbanks / Hank Bullough / Ron Erhardt,98.65607819181429
CLE,1972,0.7143,0.5200738,0.48932356,0.2249764435768128,0.030750215,0.19422622852325444,0.2249764435768128,2.076191738337326,Nick Skorich,Nick Skorich,98.59499083689677
NWE,2004,0.875,0.6790519,0.6500633,0.22493672370910645,0.0289886,0.19594812393188477,0.22493672370910645,2.076191738337326,Bill Belichick,Bill Belichick,98.53390348197924
SDG,2014,0.5625,0.37318102,0.33889723,0.2236027717590332,0.034283787,0.18931898474693298,0.2236027717590332,2.076191738337326,Mike McCoy,Mike McCoy,98.4728161270617
MIA,1977,0.7143,0.5546496,0.49084026,0.2234597437858582,0.063809335,0.1596504085540772,0.2234597437858582,2.076191738337326,Don Shula,Don Shula,98.41172877214417
SDG,1987,0.5333,0.3914831,0.31044072,0.22285928087234497,0.08104238,0.14181690173149109,0.22285928087234497,2.076191738337326,Al Saunders,Al Saunders,98.35064141722664
SFO,1990,0.875,0.6911868,0.6526218,0.2223781943321228,0.03856498,0.183813214302063,0.2223781943321228,2.076191738337326,George Seifert,George Seifert,98.28955406230911
MIA,1985,0.75,0.57582253,0.5294835,0.22051650285720825,0.046339035,0.17417746782302856,0.22051650285720825,2.076191738337326,Don Shula,Don Shula,98.22846670739158
CLT,2014,0.6875,0.50522894,0.46737167,0.22012832760810852,0.037857264,0.1822710633277893,0.22012832760810852,2.076191738337326,Chuck Pagano,Chuck Pagano,98.16737935247404
SFO,1987,0.8667,0.6537484,0.6466381,0.2200619046211243,0.0071102977,0.21295160694122317,0.2200619046211243,2.076191738337326,Bill Walsh,Bill Walsh,98.10629199755651
NWE,2016,0.875,0.6861158,0.6555624,0.2194375991821289,0.0305534,0.1888841986656189,0.2194375991821289,2.076191738337326,Bill Belichick,Bill Belichick,98.04520464263898
DEN,1992,0.5,0.31805786,0.28100592,0.21899408102035522,0.037051946,0.1819421350955963,0.21899408102035522,2.076191738337326,Dan Reeves,Dan Reeves,97.98411728772145
ATL,1998,0.875,0.6911426,0.6573035,0.21769648790359497,0.033839107,0.18385738134384155,0.21769648790359497,2.076191738337326,Dan Reeves,Dan Reeves,97.9230299328039
NOR,2011,0.8125,0.62309086,0.595404,0.2170959711074829,0.027686834,0.18940913677215576,0.2170959711074829,2.076191738337326,Sean Payton,Sean Payton,97.86194257788637
GNB,1985,0.5,0.32517123,0.2838217,0.216178297996521,0.04134953,0.17482876777648926,0.216178297996521,2.076191738337326,Forrest Gregg,Forrest Gregg,97.80085522296883
PHI,2017,0.8125,0.6121245,0.59654516,0.21595484018325806,0.015579343,0.200375497341156,0.21595484018325806,2.076191738337326,Doug Pederson,Doug Pederson,97.7397678680513
DET,1991,0.75,0.53902626,0.53484905,0.21515095233917236,0.0041772127,0.21097373962402344,0.21515095233917236,2.076191738337326,Wayne Fontes,Wayne Fontes,97.67868051313378
MIA,1993,0.5625,0.39283153,0.3481452,0.21435481309890747,0.044686347,0.16966846585273743,0.21435481309890747,2.076191738337326,Don Shula,Don Shula,97.61759315821625
OTI,2018,0.5625,0.37899446,0.3499475,0.2125524878501892,0.029046953,0.18350553512573242,0.2125524878501892,2.076191738337326,Mike Vrabel,Mike Vrabel,97.55650580329872
WAS,1982,0.8889,0.67389184,0.676632,0.21226801290512087,-0.0027401447,0.21500815763473513,0.21226801290512087,2.076191738337326,Joe Gibbs,Joe Gibbs,97.49541844838119
NYG,1986,0.875,0.68740696,0.6635722,0.21142780780792236,0.023834765,0.18759304285049438,0.21142780780792236,2.076191738337326,Bill Parcells,Bill Parcells,97.43433109346365
DEN,1979,0.625,0.43064156,0.41644922,0.20855078101158142,0.014192343,0.1943584382534027,0.20855078101158142,2.076191738337326,Red Miller,Red Miller,97.37324373854612
SDG,2006,0.875,0.7101617,0.669958,0.2050420045852661,0.04020369,0.16483831405639648,0.2050420045852661,2.076191738337326,Marty Schottenheimer,Marty Schottenheimer,97.31215638362859
DEN,2015,0.75,0.5546703,0.54604167,0.20395833253860474,0.008628607,0.1953297257423401,0.20395833253860474,2.076191738337326,Gary Kubiak,Gary Kubiak,97.25106902871106
RAV,2020,0.6875,0.5206508,0.48613834,0.20136165618896484,0.03451246,0.16684919595718384,0.20136165618896484,2.076191738337326,John Harbaugh,John Harbaugh,97.18998167379353
RAI,1974,0.8571,0.73662305,0.655754,0.201345970249176,0.08086902,0.12047695121765134,0.201345970249176,2.076191738337326,John Madden,John Madden,97.128894318876
PIT,2015,0.625,0.45246118,0.4238713,0.20112869143486023,0.028589875,0.17253881692886353,0.20112869143486023,2.076191738337326,Mike Tomlin,Mike Tomlin,97.06780696395846
ATL,1991,0.625,0.4308104,0.42393714,0.2010628581047058,0.00687325,0.19418960809707642,0.2010628581047058,2.076191738337326,Jerry Glanville,Jerry Glanville,97.00671960904093
HTX,2016,0.5625,0.3523655,0.36189005,0.20060995221138,-0.009524554,0.21013450622558594,0.20060995221138,2.076191738337326,Bill O'Brien,Bill O'Brien,96.9456322541234
CLT,2010,0.625,0.46734494,0.4277108,0.19728919863700867,0.03963414,0.15765506029129028,0.19728919863700867,2.076191738337326,Jim Caldwell,Jim Caldwell,96.88454489920586
CLT,2008,0.75,0.58363825,0.5539058,0.19609421491622925,0.029732466,0.1663617491722107,0.19609421491622925,2.076191738337326,Tony Dungy,Tony Dungy,96.82345754428833
NWE,2005,0.625,0.46545777,0.42906678,0.19593322277069092,0.03639099,0.1595422327518463,0.19593322277069092,2.076191738337326,Bill Belichick,Bill Belichick,96.7623701893708
KAN,2024,0.8824,0.7117897,0.68666464,0.19573535909652706,0.025125086,0.17061027278900143,0.19573535909652706,2.076191738337326,Andy Reid,Andy Reid,96.70128283445327
CLT,1999,0.8125,0.64905196,0.61680734,0.19569265842437744,0.032244623,0.1634480357170105,0.19569265842437744,2.076191738337326,Jim Mora Sr,Jim Mora Sr,96.64019547953573
GNB,2004,0.625,0.47680047,0.4307312,0.19426879286766052,0.046069264,0.14819952845573425,0.19426879286766052,2.076191738337326,Mike Sherman,Mike Sherman,96.5791081246182
DAL,1991,0.6875,0.5401431,0.49491808,0.1925819218158722,0.045224994,0.14735692739486694,0.1925819218158722,2.076191738337326,Jimmy Johnson,Jimmy Johnson,96.51802076970067
HTX,2007,0.5,0.3058292,0.30769566,0.1923043429851532,-0.0018664598,0.19417080283164978,0.1923043429851532,2.076191738337326,Gary Kubiak,Gary Kubiak,96.45693341478314
CLT,1990,0.4375,0.29282337,0.24593006,0.19156993925571442,0.046893314,0.14467662572860718,0.19156993925571442,2.076191738337326,Ron Meyer,Ron Meyer,96.3958460598656
NWE,2010,0.875,0.72626674,0.68365186,0.191348135471344,0.042614877,0.1487332582473755,0.191348135471344,2.076191738337326,Bill Belichick,Bill Belichick,96.33475870494807
MIA,1972,1.0,0.83703613,0.80867505,0.19132494926452637,0.028361082,0.1629638671875,0.19132494926452637,2.076191738337326,Don Shula,Don Shula,96.27367135003054
DAL,2016,0.8125,0.62019813,0.62186134,0.19063866138458252,-0.001663208,0.19230186939239502,0.19063866138458252,2.076191738337326,Jason Garrett,Jason Garrett,96.21258399511301
TAM,2024,0.5882,0.3677762,0.39826247,0.18993752903938288,-0.030486286,0.2204238147258758,0.18993752903938288,2.076191738337326,Todd Bowles,Todd Bowles,96.15149664019548
MIN,2000,0.6875,0.5057846,0.49764258,0.18985742330551147,0.0081419945,0.18171542882919312,0.18985742330551147,2.076191738337326,Dennis Green,Dennis Green,96.09040928527794
