Team,Year,Actual_Win_Pct,Predicted_With_Coach,Predicted_Replacement,Coaching_WAR,Predicted_Impact,Prediction_Error_Coach,Prediction_Error_Replacement,WAR_SE,Primary_Coach,Combined_Coach,WAR_Percentile
CHI,1987,0.7333,0.42943996,0.2930131,0.44028690414428706,0.13642687,0.30386003808975215,0.44028690414428706,2.0391335215540014,Mike Ditka,Mike Ditka,100.0
WAS,1982,0.8889,0.5879852,0.51368886,0.37521113767623904,0.074296355,0.3009147824287415,0.37521113767623904,2.0391335215540014,Joe Gibbs,Joe Gibbs,99.93891264508247
CLT,2009,0.875,0.5469072,0.50141585,0.37358415126800537,0.045491338,0.3280928134918213,0.37358415126800537,2.0391335215540014,Jim Caldwell,Jim Caldwell,99.87782529016494
RAI,1976,0.9286,0.7125847,0.62411076,0.30448924169540403,0.088473916,0.21601532564163206,0.30448924169540403,2.0391335215540014,John Madden,John Madden,99.8167379352474
DET,2024,0.8824,0.6391137,0.5826899,0.2997101186752319,0.056423843,0.24328627576828,0.2997101186752319,2.0391335215540014,Dan Campbell,Dan Campbell,99.75565058032987
NYG,1986,0.875,0.6341531,0.57633996,0.2986600399017334,0.057813168,0.24084687232971191,0.2986600399017334,2.0391335215540014,Bill Parcells,Bill Parcells,99.69456322541234
NWE,2007,1.0,0.7459159,0.70698506,0.2930149435997009,0.038930833,0.25408411026000977,0.2930149435997009,2.0391335215540014,Bill Belichick,Bill Belichick,99.6334758704948
MIA,1972,1.0,0.7966748,0.708594,0.29140597581863403,0.088080764,0.20332521200180054,0.29140597581863403,2.0391335215540014,Don Shula,Don Shula,99.57238851557727
RAI,1982,0.8889,0.6493533,0.59754574,0.2913542570114136,0.051807582,0.23954667463302615,0.2913542570114136,2.0391335215540014,Tom Flores,Tom Flores,99.51130116065976
SFO,1987,0.8667,0.6565353,0.5786707,0.2880293194770813,0.07786465,0.21016467256546023,0.2880293194770813,2.0391335215540014,Bill Walsh,Bill Walsh,99.45021380574221
NOR,2011,0.8125,0.57173723,0.52475506,0.28774493932724,0.04698217,0.24076277017593384,0.28774493932724,2.0391335215540014,Sean Payton,Sean Payton,99.38912645082468
PIT,2004,0.9375,0.7194349,0.6500969,0.2874031066894531,0.06933802,0.218065083026886,0.2874031066894531,2.0391335215540014,Bill Cowher,Bill Cowher,99.32803909590714
MIA,1993,0.5625,0.3519655,0.2763787,0.28612130880355835,0.075586796,0.21053451299667358,0.28612130880355835,2.0391335215540014,Don Shula,Don Shula,99.26695174098961
