Subcategory,Total_SHAP,Avg_SHAP,Max_Feature_SHAP,Feature_Count,Pct_Coaching_Importance
Coaching: HC Defense,0.034407645,0.0010426559,0.0057739867,33,37.53
Coaching: HC Offense,0.021991614,0.0006664125,0.005491928,33,23.99
Coaching: DC,0.020567983,0.0006232722,0.0030071954,33,22.44
Coaching: OC,0.01470119,0.00044549062,0.0025488373,33,16.04
