Primary_Coach,Avg_Impact,Impact_StdDev,Seasons,Total_Impact,Avg_Actual_Win,Avg_Pred_Coach,Avg_Pred_Replace,Avg_WAR,Total_WAR
Aaron Kromer,0.068216,,1,0.068216,0.4375,0.468725,0.400509,1.159672,1.159672
Abe Gibron,-0.095436,0.093157,3,-0.286307,0.2738,0.306751,0.402187,-1.6224120000000002,-4.8672189999999995
Adam Gase,0.038645,0.036424,5,0.193223,0.4,0.381178,0.342534,0.656965,3.2847910000000002
Al Groh,0.092018,,1,0.092018,0.5625,0.542486,0.450468,1.564306,1.564306
Al Saunders,0.03824,0.056765,4,0.152961,0.352075,0.291266,0.253025,0.6500800000000001,2.600337
Alex Webster,0.006046,0.029286,4,0.024184,0.41965,0.447665,0.441619,0.102782,0.411128
Andy Reid,0.073811,0.047217,26,1.919091,0.650104,0.629143,0.555332,1.254787,32.624547
Anthony Lynn,0.010377,0.021927,5,0.051883,0.5,0.536166,0.52579,0.176409,0.882011
Art Shell,0.01735,0.042814,8,0.138802,0.507812,0.463556,0.446205,0.29495,2.3596340000000002
Arthur Smith,-0.001049,0.039367,3,-0.003147,0.4118,0.400599,0.401648,-0.017833,-0.053499
Barry Switzer,0.116324,0.042569,4,0.465297,0.625,0.626132,0.509807,1.977508,7.910049
Bart Starr,-0.009891,0.064612,9,-0.089017,0.414122,0.399547,0.409438,-0.16814700000000002,-1.5132889999999999
Ben McAdoo,-0.010979,0.027358,2,-0.021958,0.4375,0.421434,0.432413,-0.18664299999999998,-0.37328599999999995
Bill Austin,-0.038721,,1,-0.038721,0.4286,0.46597,0.50469,-0.658257,-0.658257
Bill Belichick,0.062186,0.054954,29,1.803407,0.648072,0.627505,0.565319,1.057162,30.657919
Bill Callahan,0.0333,0.055405,3,0.0999,0.375,0.465872,0.432572,0.5661,1.6983000000000001
Bill Cowher,0.042626,0.038456,15,0.639395,0.622913,0.603404,0.560778,0.724642,10.869715000000001
Bill Johnson,0.023203,0.032356,4,0.092813,0.446425,0.437342,0.414139,0.394451,1.5778210000000001
Bill O'Brien,0.053465,0.036937,7,0.374252,0.5,0.474985,0.421521,0.908905,6.362284
Bill Parcells,0.061083,0.046176,19,1.160584,0.568753,0.53955,0.478467,1.038411,19.729928
Bill Walsh,0.058065,0.066373,10,0.580655,0.59812,0.601727,0.543661,0.987105,9.871135
Blanton Collier,-0.007661,,1,-0.007661,0.5,0.498256,0.505917,-0.130237,-0.130237
Bobby Petrino,-0.044928,,1,-0.044928,0.25,0.27908,0.324008,-0.763776,-0.763776
Bobby Ross,0.063213,0.034468,10,0.632134,0.54375,0.540198,0.476984,1.074621,10.746278
Brad Childress,0.005805,0.040368,6,0.034831,0.5,0.521329,0.515524,0.09868500000000001,0.5921270000000001
Brandon Staley,0.027054,0.026822,3,0.081161,0.470567,0.509386,0.482332,0.45991800000000005,1.379737
Brian Billick,0.018831,0.05511,9,0.169481,0.555556,0.545565,0.526733,0.320127,2.881177
Brian Callahan,-0.020589,,1,-0.020589,0.1765,0.259303,0.279892,-0.350013,-0.350013
Brian Daboll,0.00516,0.053486,3,0.015481,0.362733,0.377516,0.372355,0.08771999999999999,0.263177
Brian Flores,-0.015579,0.034375,3,-0.046736,0.488967,0.412826,0.428405,-0.264843,-0.794512
Bruce Arians,0.075778,0.024633,8,0.606227,0.622937,0.596439,0.52066,1.2882259999999999,10.305859
Bruce Coslet,-0.058307,0.044113,9,-0.524764,0.361111,0.418237,0.476544,-0.991219,-8.920988
Bud Carson,-0.045848,0.04173,2,-0.091696,0.39065,0.450253,0.496101,-0.779416,-1.558832
Bud Grant,0.070354,0.060478,15,1.055316,0.63316,0.633376,0.563022,1.196018,17.940372
Buddy Ryan,-0.035603,0.031846,7,-0.24922,0.499714,0.495849,0.531452,-0.6052510000000001,-4.23674
Bum Phillips,0.031779,0.076283,5,0.158894,0.38888,0.369022,0.337244,0.540243,2.701198
Butch Davis,-0.002966,0.010094,4,-0.011866,0.390625,0.385049,0.388015,-0.050421999999999995,-0.20172199999999998
Cam Cameron,-0.05311,,1,-0.05311,0.0625,0.200169,0.25328,-0.90287,-0.90287
Chan Gailey,0.036428,0.036452,5,0.182142,0.425,0.444265,0.407837,0.619276,3.0964139999999998
Charley Winner,0.061528,0.012734,2,0.123056,0.35715,0.371103,0.309574,1.045976,2.091952
Charlie Waller,-0.05206,,1,-0.05206,0.4643,0.389882,0.441942,-0.88502,-0.88502
Chip Kelly,0.020581,0.042663,4,0.082325,0.453125,0.507563,0.486982,0.349877,1.399525
Chris Palmer,-0.052541,0.052219,2,-0.105082,0.15625,0.219282,0.271823,-0.8931969999999999,-1.7863939999999998
Chris Tabor,-0.023077,,1,-0.023077,0.1176,0.290393,0.31347,-0.392309,-0.392309
Chuck Fairbanks,0.023302,0.062727,6,0.139815,0.53125,0.476552,0.453249,0.396134,2.376855
Chuck Knox,0.082861,0.050838,27,2.23724,0.6025,0.613259,0.530398,1.4086370000000001,38.03308
Chuck Noll,0.061435,0.03777,22,1.351564,0.591477,0.598615,0.53718,1.044395,22.976588
