Team,Year,Total_Games_In_Season,QB_Avg_Games_Missed_Pct,QB_Max_Games_Missed_Pct,QB_Min_Games_Missed_Pct,QB_Players_Count,RB_Avg_Games_Missed_Pct,RB_Max_Games_Missed_Pct,RB_Min_Games_Missed_Pct,RB_Players_Count,WR_Avg_Games_Missed_Pct,WR_Max_Games_Missed_Pct,WR_Min_Games_Missed_Pct,WR_Players_Count,TE_Avg_Games_Missed_Pct,TE_Max_Games_Missed_Pct,TE_Min_Games_Missed_Pct,TE_Players_Count,OL_Avg_Games_Missed_Pct,OL_Max_Games_Missed_Pct,OL_Min_Games_Missed_Pct,OL_Players_Count,DL_Avg_Games_Missed_Pct,DL_Max_Games_Missed_Pct,DL_Min_Games_Missed_Pct,DL_Players_Count,LB_Avg_Games_Missed_Pct,LB_Max_Games_Missed_Pct,LB_Min_Games_Missed_Pct,LB_Players_Count,CB_Avg_Games_Missed_Pct,CB_Max_Games_Missed_Pct,CB_Min_Games_Missed_Pct,CB_Players_Count,S_Avg_Games_Missed_Pct,S_Max_Games_Missed_Pct,S_Min_Games_Missed_Pct,S_Players_Count,Analysis_Date
ATL,1970,16,25.0,25.0,25.0,1,28.12,31.25,25.0,2,28.12,43.75,12.5,2,12.5,12.5,12.5,1,30.0,43.75,12.5,5,18.75,25.0,12.5,2,12.5,12.5,12.5,1,15.62,18.75,12.5,2,34.38,43.75,25.0,2,2025-08-17 09:12:22
ATL,1971,16,37.5,37.5,37.5,1,18.75,18.75,18.75,2,12.5,12.5,12.5,2,18.75,18.75,18.75,1,17.5,25.0,12.5,5,12.5,12.5,12.5,2,12.5,12.5,12.5,1,12.5,12.5,12.5,2,37.5,43.75,31.25,2,2025-08-17 09:12:22
ATL,1972,16,12.5,12.5,12.5,1,21.88,31.25,12.5,2,15.62,18.75,12.5,2,12.5,12.5,12.5,1,12.5,12.5,12.5,5,12.5,12.5,12.5,2,12.5,12.5,12.5,1,12.5,12.5,12.5,2,18.75,18.75,18.75,2,2025-08-17 09:12:22
ATL,1973,16,37.5,37.5,37.5,1,31.25,50.0,12.5,2,43.75,50.0,37.5,2,12.5,12.5,12.5,1,17.5,25.0,12.5,5,12.5,12.5,12.5,2,12.5,12.5,12.5,1,12.5,12.5,12.5,2,12.5,12.5,12.5,2,2025-08-17 09:12:22
ATL,1974,16,43.75,43.75,43.75,1,34.38,43.75,25.0,2,18.75,25.0,12.5,2,12.5,12.5,12.5,1,22.5,37.5,12.5,5,12.5,12.5,12.5,2,12.5,12.5,12.5,1,15.62,18.75,12.5,2,12.5,12.5,12.5,2,2025-08-17 09:12:22
ATL,1975,16,31.25,31.25,31.25,1,25.0,37.5,12.5,2,21.88,31.25,12.5,2,12.5,12.5,12.5,1,17.5,31.25,12.5,5,21.88,31.25,12.5,2,25.0,25.0,25.0,1,12.5,12.5,12.5,2,12.5,12.5,12.5,2,2025-08-17 09:12:22
ATL,1976,16,62.5,62.5,62.5,1,50.0,50.0,50.0,1,12.5,12.5,12.5,2,12.5,12.5,12.5,1,22.5,37.5,12.5,5,15.62,18.75,12.5,2,18.75,18.75,18.75,1,12.5,12.5,12.5,2,12.5,12.5,12.5,2,2025-08-17 09:12:22
ATL,1977,16,56.25,56.25,56.25,1,34.38,56.25,12.5,2,12.5,12.5,12.5,2,25.0,25.0,25.0,1,12.5,12.5,12.5,5,12.5,12.5,12.5,2,12.5,12.5,12.5,1,21.88,31.25,12.5,2,12.5,12.5,12.5,2,2025-08-17 09:12:22
ATL,1978,16,18.75,18.75,18.75,1,6.25,6.25,6.25,2,3.12,6.25,0.0,2,0.0,0.0,0.0,1,3.75,18.75,0.0,5,18.75,25.0,12.5,2,6.25,6.25,6.25,1,0.0,0.0,0.0,2,6.25,12.5,0.0,2,2025-08-17 09:12:22
ATL,1979,16,12.5,12.5,12.5,1,18.75,31.25,6.25,2,0.0,0.0,0.0,2,0.0,0.0,0.0,1,6.25,31.25,0.0,5,3.12,6.25,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,2,15.62,31.25,0.0,2,2025-08-17 09:12:22
