Feature,Mean_Abs_SHAP,Subcategory,Rank
Yds Rushing__opp__hc_Norm,0.006562853,Coaching: HC Defense,1
PF (Points For)__opp__hc_Norm,0.006048084,Coaching: HC Defense,2
RZAtt__hc_Norm,0.004512023,Coaching: HC Offense,3
PF (Points For)__hc_Norm,0.004462007,Coaching: HC Offense,4
Sc%__hc_Norm,0.004011268,Coaching: HC Offense,5
1stD Rushing__opp__hc_Norm,0.0033115994,Coaching: HC Defense,6
4D%__dc_Norm,0.00322372,Coaching: DC,7
NY/A Passing__opp__hc_Norm,0.0030636708,Coaching: HC Defense,8
Y/A Rushing__oc_Norm,0.002865353,Coaching: OC,9
3DAtt__opp__hc_Norm,0.0026680431,Coaching: HC Defense,10
4DAtt__dc_Norm,0.0022306512,Coaching: DC,11
RZAtt__dc_Norm,0.0020405245,Coaching: DC,12
1stPy__dc_Norm,0.0020361638,Coaching: DC,13
1stD__opp__hc_Norm,0.001666652,Coaching: HC Defense,14
Y/A Rushing__opp__hc_Norm,0.0016585892,Coaching: HC Defense,15
Yds__opp__hc_Norm,0.0016258886,Coaching: HC Defense,16
NY/A Passing__hc_Norm,0.0015428935,Coaching: HC Offense,17
Pts Average Drive__hc_Norm,0.0015380871,Coaching: HC Offense,18
Int Passing__opp__hc_Norm,0.0013795578,Coaching: HC Defense,19
TD Rushing__opp__hc_Norm,0.0011613779,Coaching: HC Defense,20
Y/P__opp__hc_Norm,0.0011584644,Coaching: HC Defense,21
1stD Passing__oc_Norm,0.0010834885,Coaching: OC,22
Pts Average Drive__dc_Norm,0.0010728263,Coaching: DC,23
TO__opp__hc_Norm,0.0010136729,Coaching: HC Defense,24
4DAtt__oc_Norm,0.0009743979,Coaching: OC,25
RZPct__oc_Norm,0.00091136905,Coaching: OC,26
Yds Passing__opp__hc_Norm,0.00087412714,Coaching: HC Defense,27
1stPy__hc_Norm,0.000861792,Coaching: HC Offense,28
Y/P__dc_Norm,0.0008440998,Coaching: DC,29
Int Passing__oc_Norm,0.0008246588,Coaching: OC,30
Yds Passing__hc_Norm,0.0008233516,Coaching: HC Offense,31
TO%__dc_Norm,0.0007591083,Coaching: DC,32
Sc%__oc_Norm,0.00075068604,Coaching: OC,33
Y/P__hc_Norm,0.0007453772,Coaching: HC Offense,34
Y/A Rushing__dc_Norm,0.0007366087,Coaching: DC,35
3DAtt__oc_Norm,0.0007286013,Coaching: OC,36
Yds Penalties__hc_Norm,0.00072089577,Coaching: HC Offense,37
Pen__oc_Norm,0.0007141216,Coaching: OC,38
Cmp Passing__dc_Norm,0.0007114173,Coaching: DC,39
1stPy__opp__hc_Norm,0.00070009846,Coaching: HC Defense,40
Att Rushing__oc_Norm,0.00063672726,Coaching: OC,41
3DAtt__dc_Norm,0.00061034976,Coaching: DC,42
TO%__oc_Norm,0.00059854053,Coaching: OC,43
1stPy__oc_Norm,0.00055030035,Coaching: OC,44
#Dr__dc_Norm,0.0005305584,Coaching: DC,45
1stD__dc_Norm,0.00050823943,Coaching: DC,46
1stD Passing__hc_Norm,0.0005057407,Coaching: HC Offense,47
1stD Rushing__dc_Norm,0.00049291254,Coaching: DC,48
NY/A Passing__dc_Norm,0.00048049248,Coaching: DC,49
Yds Penalties__dc_Norm,0.00047953302,Coaching: DC,50
TO__dc_Norm,0.00047581282,Coaching: DC,51
Yds__dc_Norm,0.0004724999,Coaching: DC,52
TO%__hc_Norm,0.0004660873,Coaching: HC Offense,53
4D%__hc_Norm,0.00045568883,Coaching: HC Offense,54
