Feature,Mean_Abs_SHAP,Category,Rank
Opp_Int_Passing_Norm,0.0398853,Team Performance,1
ReservesIR/PUP/NFI/SUSP_Pct,0.03915522,Salary Cap,2
Team_Int_Passing_Norm,0.03323469,Team Performance,3
Active53-Man_Pct,0.029776096,Salary Cap,4
QB_Avg_Games_Missed_Pct,0.025357772,Injury/Availability,5
SoS,0.009768406,Team Performance,6
OL_Players_Count,0.008281997,Injury/Availability,7
RB_Pct,0.0075950874,Salary Cap,8
OL_Max_Games_Missed_Pct,0.006532722,Injury/Availability,9
S_Max_Games_Missed_Pct,0.0062820753,Injury/Availability,10
Yds Rushing__opp__hc_Norm,0.0057739867,Coaching Performance,11
OL_Avg_Games_Missed_Pct,0.0056803185,Injury/Availability,12
PF (Points For)__hc_Norm,0.005491928,Coaching Performance,13
Avg_Starter_Experience,0.0053741736,Player Age & Experience,14
WR_Avg_Games_Missed_Pct,0.005177904,Injury/Availability,15
QB_Retention_Rate_Pct,0.004716498,Roster Turnover,16
TE_New_Player_Rate_Pct,0.0038673766,Roster Turnover,17
PF (Points For)__opp__hc_Norm,0.0037399465,Coaching Performance,18
Cap SpaceAll_Pct,0.0036161256,Salary Cap,19
NY/A Passing__hc_Norm,0.0035967133,Coaching Performance,20
Avg_Starter_Exp_OL,0.0035361743,Player Age & Experience,21
OL_Min_Games_Missed_Pct,0.0035243763,Injury/Availability,22
LB_New_Player_Rate_Pct,0.003337882,Roster Turnover,23
S_Avg_Games_Missed_Pct,0.0032728014,Injury/Availability,24
Avg_Starter_Exp_TE,0.003105916,Player Age & Experience,25
Pts Average Drive__hc_Norm,0.0030611544,Coaching Performance,26
1stPy__dc_Norm,0.0030071954,Coaching Performance,27
P_Pct,0.0029010787,Salary Cap,28
TE_Max_Games_Missed_Pct,0.0026694096,Injury/Availability,29
Avg_Starter_Exp_LB,0.0025978275,Player Age & Experience,30
WR_New_Player_Rate_Pct_crosstab,0.0025799207,Roster Turnover,31
Prev_2Yr_Round_1_Picks,0.0025652237,Draft Strategy,32
S_Min_Games_Missed_Pct,0.0025549761,Injury/Availability,33
1stD Passing__oc_Norm,0.0025488373,Coaching Performance,34
Avg_Roster_Experience,0.0025422657,Player Age & Experience,35
