PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,DeadCap_Pct,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
crd,ARIARI,118509697,3865303,4781989,98.45,3.21,3.97,118509697,11.71,4.64,20.49,4.49,23.29,64.62,11.71,14.21,23.63,49.55,2.25,0.67,1.0,3.92,118.51,98.45,3.21,92.24,2.17,3.97,9.88,3.92,17.29,3.79,19.65,9.88,11.99,19.94,1.9,0.57,0.84,54.53,41.81,3.31,2011,2025-08-15 15:18:04,ARI,21,-,58,27.4,111028866,2610442.0
atl,ATLATL,126208186,-5833186,4119309,104.85,-4.85,3.42,126208186,16.48,13.06,13.48,10.18,16.78,69.97999999999999,12.79,22.4,17.5,52.69,1.81,0.4,0.94,3.15,126.21,104.85,-4.85,96.93,4.18,3.42,13.06,10.35,10.68,8.07,13.3,10.13,17.75,13.87,1.43,0.32,0.74,55.45,41.75,2.5,2011,2025-08-15 15:18:04,ATL,31,-,53,27.3,116684491,5033886.0
rav,BALBAL,120452189,5722811,3966847,100.06,4.75,3.3,120452189,6.13,5.44,12.84,2.72,20.05,47.18,12.85,28.21,25.43,66.49000000000001,2.1,1.9,0.45,4.45,120.45,100.06,4.75,88.89,7.32,3.3,5.09,4.52,10.66,2.26,16.65,10.67,23.42,21.11,1.74,1.58,0.37,39.17,55.2,3.69,2011,2025-08-15 15:18:04,BAL,19,-,53,26.9,106996060,8810982.0
buf,BUFBUF,109501667,30163333,13063291,90.97,25.06,10.85,109501667,8.16,9.21,11.54,3.24,8.63,40.78,26.14,18.16,19.2,63.5,1.97,1.68,0.48,4.13,109.5,90.97,25.06,58.19,21.93,10.85,7.45,8.41,10.54,2.96,7.88,23.87,16.58,17.53,1.8,1.53,0.44,37.24,57.99,3.77,2011,2025-08-15 15:18:04,BUF,7,-,50,26.3,70042948,26395428.0
car,CARCAR,121912984,1262016,3339553,101.28,1.05,2.77,121912984,5.49,10.93,13.44,7.12,28.96,65.94,16.62,17.1,15.75,49.47,2.4,1.96,1.2,5.56,121.91,101.28,1.05,97.03,1.48,2.77,4.5,8.97,11.02,5.84,23.75,13.63,14.03,12.92,1.97,1.61,0.98,54.09,40.58,4.56,2011,2025-08-15 15:18:04,CAR,25,-,66,25.7,116797431,1776000.0
chi,CHICHI,108187493,19927507,7360863,89.88,16.55,6.11,108187493,10.0,4.46,10.3,5.02,16.03,45.81,18.43,20.12,17.0,55.55,2.15,2.9,1.05,6.1,108.19,89.88,16.55,83.76,0.0,6.11,9.24,4.12,9.52,4.64,14.82,17.04,18.6,15.71,1.99,2.68,0.97,42.34,51.35,5.64,2011,2025-08-15 15:18:04,CHI,11,-,58,26.1,100826630,0.0
cin,CINCIN,108789165,26585835,4790769,90.38,22.09,3.98,108789165,2.95,5.14,9.35,5.19,25.96,48.59,18.14,13.55,26.03,57.72,0.69,0.57,0.6,1.86,108.79,90.38,22.09,83.34,2.81,3.98,2.71,4.72,8.59,4.77,23.86,16.67,12.46,23.93,0.63,0.52,0.55,44.66,53.06,1.71,2011,2025-08-15 15:18:04,CIN,8,-,56,26.1,100319460,3388236.0
cle,CLECLE,105417718,23937282,5529620,87.57,19.89,4.59,105417718,4.05,3.88,7.03,9.56,33.64,58.16,7.71,14.3,20.2,42.21,3.25,1.31,0.0,4.5600000000000005,105.42,87.57,19.89,80.95,1.87,4.59,3.84,3.68,6.67,9.07,31.91,7.31,13.57,19.16,3.08,1.24,0.0,55.17,40.04,4.33,2011,2025-08-15 15:18:04,CLE,9,-,50,26.5,97444298,2250000.0
dal,DALDAL,107076393,30438607,16657833,88.95,25.29,13.84,107076393,10.22,4.69,11.25,10.31,15.65,52.12,11.65,18.2,20.45,50.3,1.27,2.58,0.81,4.66,107.08,88.95,25.29,75.03,0.0,13.84,9.54,4.38,10.51,9.63,14.62,10.88,17.0,19.1,1.19,2.41,0.76,48.68,46.98,4.35,2011,2025-08-15 15:18:04,DAL,6,-,55,26.4,90321660,0.0
den,DENDEN,109429914,36945086,13797754,90.91,30.69,11.46,109429914,0.7,5.95,6.42,6.99,11.88,31.940000000000005,18.83,30.99,23.8,73.61999999999998,2.44,0.41,1.05,3.9,109.43,90.91,30.69,79.45,0.0,11.46,0.64,5.44,5.87,6.39,10.86,17.21,28.32,21.75,2.23,0.37,0.96,29.19,67.28,3.56,2011,2025-08-15 15:18:04,DEN,4,-,57,26.1,95632160,0.0
