PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
nyj,NYJNYJ,205736640,4861174,35850220,205736640,13.52,8.67,33.27,8.19,46.29,109.94,39.96,16.72,34.3,90.98,0.73,1.15,1.12,3.0,205.74,6.57,4.21,16.17,3.98,22.5,19.42,8.13,16.67,0.35,0.56,0.54,53.44,44.22,1.46,100.0,2021,2025-08-15 15:21:15,NYJ,12,4-13-0,55,25.4,88174985,79238768
dal,DALDAL,205327031,4635488,27047455,205327031,19.18,10.04,33.93,8.82,39.21,111.18,43.48,21.67,21.57,86.72,2.87,1.93,0.99,5.79,205.33,9.34,4.89,16.52,4.3,19.1,21.18,10.55,10.51,1.4,0.94,0.48,54.15,42.24,2.82,100.0,2021,2025-08-15 15:21:15,DAL,15,12-5-0,58,26.2,167631750,10017026
cle,CLECLE,202643673,9266018,29003079,202643673,18.44,11.44,35.58,16.53,48.83,130.82,29.68,9.08,27.86,66.62,1.4,0.95,1.15,3.5,202.64,9.1,5.65,17.56,8.16,24.1,14.65,4.48,13.75,0.69,0.47,0.57,64.56,32.88,1.73,100.0,2021,2025-08-15 15:21:15,CLE,6,8-9-0,56,25.6,126473899,46545095
nwe,NENE,200573159,5239388,33592321,200573159,8.44,7.5,22.13,15.57,33.15,86.78999999999998,20.14,32.41,55.28,107.83,2.87,0.96,1.18,5.01,200.57,4.21,3.74,11.03,7.76,16.53,10.04,16.16,27.56,1.43,0.48,0.59,43.27,53.76,2.5,100.0,2021,2025-08-15 15:21:15,NE,11,10-7-0,59,27.0,147576468,18877570
det,DETDET,196592545,1134882,67101393,196592545,36.04,5.67,11.43,13.07,32.65,98.86,14.87,45.34,32.76,92.97,2.28,0.8,0.73,3.81,196.59,18.33,2.88,5.81,6.65,16.61,7.56,23.06,16.66,1.16,0.41,0.37,50.29,47.29,1.94,100.0,2021,2025-08-15 15:21:15,DET,23,3-13-1,56,25.0,76519893,52394859
mia,MIAMIA,195163942,2019904,24429950,195163942,12.17,6.66,40.21,10.31,26.27,95.62,26.79,16.78,50.6,94.17,3.39,1.1,0.83,5.32,195.16,6.24,3.41,20.6,5.28,13.46,13.73,8.6,25.93,1.74,0.56,0.43,48.99,48.25,2.73,100.0,2021,2025-08-15 15:21:15,MIA,21,9-8-0,55,25.9,149454584,20371008
sfo,SFSF,195101014,662008,23504522,195101014,33.05,11.24,12.9,9.27,33.96,100.42,44.1,17.04,26.32,87.46000000000002,2.8,1.05,0.96,4.81,195.1,16.94,5.76,6.61,4.75,17.41,22.6,8.73,13.49,1.44,0.54,0.49,51.47,44.83,2.47,100.0,2021,2025-08-15 15:21:15,SF,26,10-7-0,55,26.9,138172427,32186465
was,WASWAS,193566718,6172203,22258385,193566718,25.83,5.25,12.32,6.89,46.45,96.74,34.85,11.37,45.11,91.33,2.03,2.61,0.69,5.33,193.57,13.34,2.71,6.36,3.56,24.0,18.0,5.87,23.3,1.05,1.35,0.36,49.98,47.18,2.75,100.0,2021,2025-08-15 15:21:15,WAS,9,7-10-0,56,25.7,108019140,62442393
cin,CINCIN,191286587,3851688,18929965,191286587,10.35,11.86,21.09,8.82,31.56,83.67999999999998,50.86,7.59,45.85,104.3,0.78,1.26,1.26,3.3,191.29,5.41,6.2,11.03,4.61,16.5,26.59,3.97,23.97,0.41,0.66,0.66,43.75,54.53,1.73,100.0,2021,2025-08-15 15:21:15,CIN,16,10-7-0,61,26.0,154339838,17685584
crd,ARIARI,191127625,913352,15710653,191127625,11.56,4.68,23.25,11.7,39.71,90.9,18.51,54.94,22.1,95.55,2.01,1.12,1.56,4.69,191.13,6.05,2.45,12.16,6.12,20.78,9.68,28.75,11.56,1.05,0.59,0.82,47.56,49.99,2.45,100.0,2021,2025-08-15 15:21:15,ARI,25,11-6-0,56,27.3,153976241,20408331
