PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
jax,JAXJAX,231233180,2719175,34849526,231233180,11.65,5.91,30.3,16.95,28.65,93.46,34.35,46.3,51.37,132.02,2.02,2.68,1.05,5.75,231.23,5.04,2.56,13.1,7.33,12.39,14.86,20.02,22.22,0.87,1.16,0.45,40.42,57.09,2.49,100.0,2022,2025-08-15 15:20:38,JAX,21,9-8-0,51,25.9,159988522,33889632
phi,PHIPHI,219445581,4954419,64487877,219445581,7.25,5.64,21.57,10.35,45.84,90.65,80.28,11.39,31.53,123.2,2.91,1.23,1.46,5.6000000000000005,219.45,3.3,2.57,9.83,4.72,20.89,36.58,5.19,14.37,1.33,0.56,0.67,41.31,56.14,2.55,100.0,2022,2025-08-15 15:20:38,PHI,12,14-3-0,53,26.5,145718346,7238058
sea,SEASEA,215796566,1403434,57370519,215796566,31.32,12.87,24.63,10.31,28.55,107.68,38.42,20.44,34.44,93.3,5.0,4.38,2.08,11.46,215.8,14.51,5.96,11.41,4.78,13.23,17.8,9.47,15.96,2.32,2.03,0.96,49.9,43.24,5.31,100.0,2022,2025-08-15 15:20:38,SEA,26,9-8-0,53,26.7,120909675,35451072
dal,DALDAL,215338768,4961232,32734451,215338768,21.1,21.32,20.55,16.12,47.13,126.22,29.21,21.91,32.44,83.56,1.37,2.2,1.77,5.34,215.34,9.8,9.9,9.54,7.49,21.89,13.56,10.17,15.06,0.64,1.02,0.82,58.61,38.8,2.48,100.0,2022,2025-08-15 15:20:38,DAL,11,12-5-0,53,26.4,161682742,18688275
det,DETDET,214423875,3276125,34960598,214423875,34.5,9.14,16.63,8.66,42.8,111.73,36.33,33.3,28.22,97.85,1.23,1.25,0.83,3.31,214.42,16.09,4.26,7.76,4.04,19.96,16.94,15.53,13.16,0.57,0.58,0.39,52.11,45.63,1.54,100.0,2022,2025-08-15 15:20:38,DET,18,9-8-0,53,25.5,157043784,20522793
gnb,GBGB,211847657,3552343,30661982,211847657,32.12,9.16,14.46,11.42,36.9,104.06,24.11,41.09,35.17,100.37,5.08,1.63,0.71,7.42,211.85,15.16,4.32,6.83,5.39,17.42,11.38,19.4,16.6,2.4,0.77,0.34,49.12,47.38,3.5,100.0,2022,2025-08-15 15:20:38,GB,16,8-9-0,53,26.2,162533410,16455765
den,DENDEN,211456385,8143615,34641934,211456385,19.29,9.81,20.02,7.08,51.65,107.85,22.83,22.87,49.81,95.51,4.23,1.31,1.32,6.860000000000001,211.46,9.12,4.64,9.47,3.35,24.43,10.8,10.82,23.56,2.0,0.62,0.62,51.0,45.17,3.24,100.0,2022,2025-08-15 15:20:38,DEN,4,5-12-0,53,26.3,108893408,67116043
pit,PITPIT,210658592,4541408,36520393,210658592,20.62,5.96,22.47,7.08,20.21,76.34,41.76,47.04,33.68,122.48,5.41,0.88,0.83,7.12,210.66,9.79,2.83,10.67,3.36,9.59,19.82,22.33,15.99,2.57,0.42,0.39,36.24,58.14,3.38,100.0,2022,2025-08-15 15:20:38,PIT,13,9-8-0,53,26.2,158603136,13161363
cin,CINCIN,210200068,1999932,15804219,210200068,11.66,15.59,23.72,7.34,36.82,95.13,50.15,9.05,50.59,109.79,0.91,2.42,1.95,5.28,210.2,5.55,7.42,11.28,3.49,17.52,23.86,4.31,24.07,0.43,1.15,0.93,45.26,52.23,2.51,100.0,2022,2025-08-15 15:20:38,CIN,24,12-4-0,54,25.5,175096752,16929797
min,MINMIN,208790359,1009641,28089925,208790359,33.73,14.94,21.06,8.2,24.68,102.61,24.77,46.99,26.08,97.84,2.44,1.43,1.04,4.91,208.79,16.15,7.16,10.09,3.93,11.82,11.86,22.51,12.49,1.17,0.68,0.5,49.14,46.86,2.35,100.0,2022,2025-08-15 15:20:38,MIN,29,13-4-0,54,26.2,162760165,15575169
mia,MIAMIA,208559442,4040558,18486649,208559442,15.61,11.57,30.35,19.62,26.89,104.04,24.98,30.49,40.69,96.16,3.15,1.05,0.94,5.1400000000000015,208.56,7.48,5.55,14.55,9.41,12.89,11.98,14.62,19.51,1.51,0.5,0.45,49.89,46.11,2.46,100.0,2022,2025-08-15 15:20:38,MIA,14,9-8-0,53,26.7,149787507,38149986
was,WASWAS,208068247,5931753,22383281,208068247,32.6,5.44,28.52,9.46,37.46,113.48000000000002,40.31,10.51,37.44,88.25999999999998,2.0,3.08,0.86,5.94,208.07,15.67,2.61,13.71,4.55,18.0,19.37,5.05,17.99,0.96,1.48,0.41,54.54,42.42,2.85,100.0,2022,2025-08-15 15:20:38,WAS,9,8-8-1,53,26.0,160094196,23252370
nwe,NENE,208004554,2195446,18589785,208004554,6.66,4.44,38.76,24.21,30.39,104.46,26.96,28.3,41.74,97.0,2.44,2.64,1.46,6.54,208.0,3.2,2.13,18.63,11.64,14.61,12.96,13.61,20.07,1.17,1.27,0.7,50.22,46.63,3.14,100.0,2022,2025-08-15 15:20:38,NE,23,8-9-0,53,26.9,161125235,25985134
nor,NONO,206828041,-828041,43937668,206828041,21.94,11.81,27.46,10.68,48.17,120.06,34.58,12.17,31.77,78.52,5.57,0.83,1.26,7.66,206.83,10.61,5.71,13.28,5.16,23.29,16.72,5.88,15.36,2.69,0.4,0.61,58.05,37.96,3.7,100.0,2022,2025-08-15 15:20:38,NO,32,7-10-0,54,27.2,131357406,29762067
buf,BUFBUF,206691460,1908540,25249314,206691460,20.51,8.42,23.24,6.16,36.16,94.49,36.46,24.93,45.62,107.01,0.94,1.48,1.54,3.96,206.69,9.92,4.07,11.24,2.98,17.49,17.64,12.06,22.07,0.45,0.72,0.75,45.72,51.77,1.92,100.0,2022,2025-08-15 15:20:38,BUF,25,13-3-0,53,26.9,163264230,15141716
sfo,SFSF,206082457,6417543,22250183,206082457,24.4,5.0,16.71,10.7,34.96,91.77,46.54,23.45,33.03,103.02,5.52,1.71,1.12,8.35,206.08,11.84,2.43,8.11,5.19,16.96,22.58,11.38,16.03,2.68,0.83,0.54,44.53,49.99,4.05,100.0,2022,2025-08-15 15:20:38,SF,8,13-4-0,53,26.8,162291139,18879035
clt,INDIND,205811217,7088783,16051894,205811217,22.59,7.83,11.87,10.25,44.8,97.34,52.59,20.86,29.4,102.85,1.33,3.25,1.04,5.62,205.81,10.98,3.8,5.77,4.98,21.77,25.55,10.14,14.28,0.65,1.58,0.51,47.3,49.97,2.73,100.0,2022,2025-08-15 15:20:38,IND,6,4-12-1,53,26.0,147156772,40761551
kan,KCKC,205249141,3350859,16397118,205249141,38.84,6.48,18.61,11.77,35.5,111.2,56.64,12.53,18.58,87.75,3.08,0.9,1.28,5.26,205.25,18.92,3.16,9.07,5.73,17.3,27.6,6.1,9.05,1.5,0.44,0.62,54.18,42.75,2.56,100.0,2022,2025-08-15 15:20:38,KC,17,14-3-0,53,26.1,181434543,5217280
