PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Effective_Cap,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
buf,BUFBUF,147684870,2899870,27015831,120669039,13.63,11.58,19.84,3.4,19.48,67.92999999999999,40.76,13.28,19.92,73.96000000000002,3.64,0.42,1.23,5.290000000000001,147.68,11.3,9.6,16.44,2.82,16.14,33.78,11.01,16.51,3.02,0.35,1.02,56.29,61.29,4.38,122.38,2014,2025-08-15 15:18:32,BUF,18,-,53,26.0,110273422,9570317
mia,MIAMIA,142455998,8166415,8367964,134088034,9.01,5.68,28.92,3.08,20.27,66.96,25.36,23.57,21.47,70.4,0.53,3.59,0.98,5.1,142.46,6.72,4.24,21.57,2.3,15.12,18.91,17.58,16.01,0.4,2.68,0.73,49.94,52.5,3.8,106.24,2014,2025-08-15 15:18:32,MIA,8,-,51,26.2,104746850,29227784
tam,TBTB,137116892,2219889,13814575,123302317,5.7,3.57,17.26,4.35,27.16,58.040000000000006,39.37,10.59,24.44,74.39999999999998,0.42,3.26,0.42,4.1,137.12,4.62,2.9,14.0,3.53,22.03,31.93,8.59,19.82,0.34,2.64,0.34,47.07,60.34,3.33,111.21,2014,2025-08-15 15:18:32,TB,23,-,53,25.9,94061905,28988412
den,DENDEN,135893026,356672,9683329,126209697,18.64,4.16,19.31,4.45,28.48,75.04,10.38,20.63,24.59,55.6,1.43,3.25,0.58,5.26,135.89,14.77,3.3,15.3,3.53,22.57,8.22,16.35,19.48,1.13,2.58,0.46,59.46,44.05,4.17,107.67,2014,2025-08-15 15:18:32,DEN,29,-,53,26.3,121215199,4408698
cle,CLECLE,135401214,21516542,20541725,114859489,7.17,9.97,11.4,4.7,30.95,64.19,18.29,25.71,24.73,68.73,0.77,0.5,0.68,1.95,135.4,6.24,8.68,9.93,4.09,26.95,15.92,22.38,21.53,0.67,0.44,0.59,55.89,59.84,1.7,117.88,2014,2025-08-15 15:18:32,CLE,2,-,55,25.8,97109089,17296800
phi,PHIPHI,134781802,14518147,10210533,124571269,3.78,12.49,17.78,5.74,31.27,71.06,11.01,22.85,22.95,56.81,0.53,1.34,1.06,2.93,134.78,3.03,10.03,14.27,4.61,25.1,8.84,18.34,18.42,0.43,1.08,0.85,57.04,45.6,2.35,108.2,2014,2025-08-15 15:18:32,PHI,4,-,53,26.6,116673474,6940195
nwe,NENE,134321836,4787215,18665581,115656255,15.61,4.03,14.39,15.19,20.84,70.06,13.84,18.46,26.33,58.63,3.8,0.5,0.75,5.05,134.32,13.5,3.48,12.44,13.13,18.02,11.97,15.96,22.77,3.29,0.43,0.65,60.58,50.69,4.37,116.14,2014,2025-08-15 15:18:32,NE,14,-,54,26.3,109964588,5231767
gnb,GBGB,134037242,7783967,5477890,128559352,19.28,3.15,9.49,2.95,20.62,55.49000000000001,14.49,30.47,27.08,72.03999999999998,3.4,1.24,0.84,5.48,134.04,15.0,2.45,7.38,2.29,16.04,11.27,23.7,21.06,2.64,0.96,0.65,43.16,56.04,4.26,104.26,2014,2025-08-15 15:18:32,GB,9,-,54,25.9,123610693,4306059
car,CARCAR,133399424,5275510,27093735,106305689,9.0,11.73,11.0,9.88,19.17,60.78,33.51,21.06,11.37,65.94,1.75,0.59,0.98,3.32,133.4,8.47,11.03,10.35,9.29,18.03,31.52,19.81,10.7,1.65,0.56,0.92,57.17,62.03,3.12,125.49,2014,2025-08-15 15:18:32,CAR,13,-,53,26.3,88019888,17737701
crd,ARIARI,133228945,2626620,15708766,117520179,15.95,3.58,15.02,5.04,25.85,65.44,27.74,16.2,20.65,64.59,0.42,1.7,1.09,3.21,133.23,13.57,3.05,12.78,4.29,22.0,23.6,13.78,17.57,0.36,1.45,0.93,55.68,54.96,2.73,113.37,2014,2025-08-15 15:18:32,ARI,20,-,54,26.4,93308619,23877660
atl,ATLATL,133009495,2734439,11065205,121944290,18.58,7.44,18.79,3.0,30.29,78.1,16.24,18.11,14.74,49.09,3.31,1.17,0.67,5.15,133.01,15.24,6.1,15.41,2.46,24.84,13.32,14.85,12.09,2.71,0.96,0.55,64.05,40.26,4.22,109.07,2014,2025-08-15 15:18:32,ATL,19,-,54,26.6,103552592,17767998
kan,KCKC,132717955,1750188,9407748,123310207,8.84,11.56,18.84,5.65,12.44,57.32999999999999,14.79,24.76,29.05,68.6,1.18,3.8,0.6,5.579999999999999,132.72,7.17,9.37,15.28,4.58,10.09,11.99,20.08,23.56,0.96,3.08,0.49,46.49,55.63,4.53,107.63,2014,2025-08-15 15:18:32,KC,24,-,53,26.2,96516582,26434525
was,WASWAS,132411712,-750444,16633031,115778681,7.09,2.88,22.4,4.04,28.56,64.97,25.74,25.34,12.92,64.0,0.59,0.58,0.91,2.08,132.41,6.12,2.49,19.35,3.49,24.67,22.23,21.89,11.16,0.51,0.5,0.79,56.12,55.28,1.8,114.36,2014,2025-08-15 15:18:32,WAS,32,-,53,26.2,89595971,25880310
det,DETDET,132391775,-169223,9379140,123012635,17.03,7.68,21.43,5.56,12.53,64.23,39.33,13.14,12.1,64.57,0.57,0.54,0.64,1.75,132.39,13.84,6.24,17.42,4.52,10.19,31.97,10.68,9.84,0.46,0.44,0.52,52.21,52.49,1.42,107.62,2014,2025-08-15 15:18:32,DET,31,-,54,26.8,112293516,10101719
